path	bytes	sha256	first_commit	first_date	last_commit	last_date	current_control	current_frontier	founding_source	frozen_manifest	historical_or_pre_july	active_regrade	hits_broad_phi_depth	hits_pointwise_or_physical_phi	hits_independent_phi_variation	hits_endpoint_difference	hits_selection_or_ownership	hits_presentation_or_factorization	hits_stationary_killing	hits_supplied_conditional	hits_placeholder_or_arbitrary
legacy/root_oneoffs_2026-07-01/phase0_birkhoff.py	5293	f16be832a4841e28edd1c5901246800ad6a02866915daae0876bb80bc74e9446	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	22	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase0_nonround_escape.py	7008	eb1da08636d052e9e44879ddbeebc7cae25db0ae5a63477dcf4770049e0c2f7b	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	4	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase0_rotation_sharpen.py	4766	903e3932831911988480ec95c12b58c11ecd58052b1fabd48a2f2a956d46d5a8	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	4	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_backreact.py	24581	9e7b4fb51c8108de6ba2a10d33ffb27f5adae94dbf366ea99ee046d10329008f	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_boxtest.py	5844	9486b0a735fc5520ee747852d6d75bec0fa83ba398d487a593a53bd1ba03b288	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	15	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_coeffs.py	4907	d519c81fa9972f1ca7cccddbdfb76565a8bf54d6922a7a8c6d4238477f1d5af1	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	7	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_reduce.py	12487	0a82de9c5479fc8af665141bb06d046060bb5eb8f0f78adc570ec167a45136d5	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	37	1	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_reduce_fast.py	5877	11b84b710f0e4aefd7b21ad202408002f34c4feb65e582535100a3e9b9a068dc	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	5	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_solve.py	14978	027d6675638e212c08d3e3090986493cc20fc3cc0f64a65e886d406862558619	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	27	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_geon_zerilli.py	16667	004405860abc3f6c25f38d314206a7c4731320dee549550e56eee71f33b01f8b	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase1_master_reduce.py	7577	30c65a02b4dc4a6003af425708e723e0d7e1e15e9f467be5b44538831a1c9f03	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	3	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase2b_cross_stress.py	23404	c4af507aa71008a034f496853574c0c23b5d8242bda61b8bae7305b13b628f9e	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase2b_ensemble_solve.py	18955	8221ea41254c6617b9a2e4bd3bc9a416a34f8d59b98ea8610f521925351e5465	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	18	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase3b_descend.py	4428	4cdd99eea7418d78bd7fbe959eadc846de514df9b73f35dc4640f28c35565131	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase3b_grid_converge.py	3938	6ea4617fd5b068d278dc39ca059966212976c5a4e2cd2d476c5cb3c28295a90d	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	8	0	0	0	1	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase3b_multistart.py	3974	1e29ce6dce586c62893a8235e477ac62b6d657b9bc831dae6babbc8fb80d3cb7	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	3	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase3b_platonic_solve.py	3713	59d0b0009cdc83c3ca816d72445fee3b0d9cbbfdeb2b81a03184d9b4e672bee5	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	5	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/phase3b_richardson.py	3563	b3fa75e1a8f693fe35077eca5eaaeea1549036b6c3f4356e8ea1873527ca89fa	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	4	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/ponder_horizon_signatures.py	5129	df78f605987f0fb5d520aa228b88561d2bf312811b9c7e18ca272741f13ae3f3	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/quantized_carrier_depthform.py	4467	dcd10a06e573e9965e0f6a508d4505b87c323e90f36668b08b4468778eb3a819	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	11	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/quantized_carrier_eigensolve.py	5955	360686b6e6e446b9571ebac3c0fad421fb173581b5c1d877d84e15ac9b256e20	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	11	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/quantized_carrier_structure.py	18161	453669e87937cc1d5b03db81c4ccd0ff13ab020d96695bbabac2e7c4e55db7d0	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	3cd2a99e402bd69cf180ca15e4b1337635dd5837	2026-07-18T11:15:44-04:00	NO	NO	NO	NO	NO	YES	45	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/radial_Bfree_depth.py	4899	5801f80ab9b044158e9d63ffe80540725961e60ab6adb0745a8100a1018f9d79	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	5	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/radial_Bfree_soliton.py	14292	5b6b22fdb3d37fbf9391dc19324a286a9694d7630e1b1db3c71f6dc4d056fd98	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	9	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/relrederiv_checks.py	5002	8d964049addd5d87deeb40a35a8b4f8819eb0c821a3fe2fcd4082dd5e16c6633	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	23	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/running_rate_bianchi_absorb.py	5407	78257a495f8091633488ca3a431bc134f79e0f68d7a94f2b21feb62aff911976	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	45	0	1	0	0	0	0	1	0
legacy/root_oneoffs_2026-07-01/running_rate_geometry.py	4270	bb644da9ed256624d72a3fa723e2871c7180069774d3800753cf06ae9debd2e6	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	26	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/running_rate_philaw.py	5067	07f3c4e1b9fc17c81a3d26c43ce21eab079351f5657f5d6e919e4c3852deecca	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	44	1	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/s2_s3_identity_derive.py	9933	fd571445fddc55850a660cc1412f433eb071004380cdfa7b0e16de64b139e3b2	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/seal_junction_timeon_check.py	8735	894a25abeaf8558d0e37dc6846b5dbf2be4c57aed1611ac1b1db8a38add34080	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	8	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/sf_scan_probe1b.py	6850	b8efd3e6e2342b5d0fa5b9c81372baee608ed5b8d5a41add4b002ba642715cec	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/sf_scan_probe2.py	9090	5a3fe6b138aa62d0418a9fa75cf1bc8f6d367184840152c59af4b6fba5eceeec	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	9	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/sf_scan_strongfield.py	14300	2b0ccca5b66f1fba954e0f4effd325c16002dddc0c2b26a4ae17281e97e13655	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	16	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/sf_scan_symcheck.py	14096	38de76d19d7558d5a4f345319780e79c882985f86c94edd95722373760c3c58e	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	10	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/spectral_catalog_search.py	6884	cfb4e16646c035361532642edf93173510d4fdfd559adef2df501a27f617562f	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	15	0	0	0	0	1	0	0	0
legacy/root_oneoffs_2026-07-01/spectral_catalog_solver.py	19088	b9e50fb80cdbcbcefbc158191b418c478e031a998eb76d51571cd790ffd14208	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	12	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/spectral_resolution_check.py	3845	e0889a831b653d507365de64401c42e8e72fb512432e34181eb30c7b66289688	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	5	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/step0_bridge.py	13272	7b4bcf89ddebc0869409ee73a69b5185504b57936518a71195648ba3dcf9ae81	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	34	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/su3_field_test.py	16270	73850eff68e11fb06232eeae61a6e005f1aa36fa87a9912f4ed7b49270ff8509	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/sweep_branch_map.py	7940	6f0537cac81f0c0bd966b3d8060bccfce348bbc96d7f02c08f3b9e4c32f8b43c	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	50	0	1	0	0	0	0	2	0
legacy/root_oneoffs_2026-07-01/sweep_radial_backbone.py	10495	3c558dad7e13143e47fbcf87a7dd08cda25e3aaf9c0e3d3d39ce19f7640654ff	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	67	0	0	0	0	0	0	3	0
legacy/root_oneoffs_2026-07-01/sweep_whole_metric.py	23238	d87baa667c7eec655a034ebf55e6d940cf0e8d112a63023e2e63f7d40d1ff154	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	143	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/test_shexact_cheap.py	3847	4fc98181bc577ea2021e4a7801267d3dba1c7cdb949aed5ec4eb6497c55f4d0a	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/timelive_nonround_structural.py	12926	44e6bc1a57a4752cf72f4b192a5c9e103f9d0f0de7a4e6c121b39a1b630e1585	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	9	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/timelive_nonround_verif_claim1.py	5598	45227a86df64c629c381133412ff1edc20b3b5b592e21ac4d6cc2d919986bfed	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/timelive_nonround_verif_claim2.py	5695	f40773a68fd11529eedbb84d3d0855702defd6812f252940c6086fdc79f7fcac	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/topo_d3_junction.py	12415	9b579e616d77f135e816489582989b2b26da47c2379f6f5ad1f6e6b35918b278	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	8	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/topo_doubling_fork.py	11197	bdabc4637fa1387edc961aa07ca6157ca6d588df2bbf85439f2046ca27caa58a	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	21	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/twoD_angular_attack.py	18994	bf4a39318023baf7953666d36689a063569a9c54e0fcd0db29412ea8deb2b2a8	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	25	0	0	0	0	0	0	2	0
legacy/root_oneoffs_2026-07-01/udta_a3_check.py	3834	fcbd0581e7eefa5a4069e75b8dfe105a65a6bf5118b8854993986ff663c3c9a8	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	33	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/udta_field_crosscheck.py	4253	cdc866ea26eb4f7ea13652327343d061d11688a4acbab1fc716991fd5fd517cd	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	25	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/udta_kinematic_derivation.py	7271	14c94406d6a430ede8604acd907d50864e86ba0a0780be2e3dcf63903270bb76	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	48	0	0	0	0	0	0	1	0
legacy/root_oneoffs_2026-07-01/udta_symmetric_resolution.py	3594	fa92beeadf0bfc2ecde606eed47b2062f3df191843d9199f2d1de772acd722d7	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	25	0	1	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/udtfe_field_equations.py	9078	ee3e819616ab50c328b41a6f61fcff02e3d629b0eeed6f0751094ddfef6845f8	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	39	0	2	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/udtfe_verify_axisC.py	4996	596df11ee37ca0683cba1eeae47343e5187686396a6f96af13915cb589df7ed1	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	19	0	1	0	0	0	0	1	0
legacy/root_oneoffs_2026-07-01/udtfe_verify_axisC2.py	3416	37c12ccd10901595da6bc5e18976f61400830dddf8c86f08144809a70341b96c	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	11	0	2	0	0	0	0	1	0
legacy/root_oneoffs_2026-07-01/udtfe_verify_blind.py	15051	46f7e0d38fe931d0350d423ee5ae75e49bbb3bad334d3f43fddbefb23e59ccb7	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	40	0	1	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_L4_check.py	3024	be53db68ee5f911e01e65abb37d81db2983ffcddd71b4e3f2d3cf11fca6daec2	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	10	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_berry_seal.py	4552	a242c5127d437837c28baa968a1507614edc63ae2702b1d269bee3ed88988fd3	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	11	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_monodromy_twist.py	2872	f4fb3aa6e1a7135633a3093d91e1af4e305abf05d7a2ca8a19a3250c340652bd	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	9	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_L2L4_split.py	2018	fe6467d54b334645656a478d5bc4cc1b6914464a006927d9b7cf9bd92aae8079	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	6	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_L4_recheck.py	2430	bc814a3c526ee4b01d1d68ede483e60665d8a27430d556a06a5abc741382ab88	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_L4_sympy.py	2622	901522439c7a1568b1987ec7d7e951bc2be61f5de14aad43e73ab1048f3ac312	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	6	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_alt_operationalizations.py	4232	3a7036f96e3b5c0872ff553a95da1cf1048ca59143ce88955deda1d653b2574e	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_angular_sympy.py	3086	19cb4100e7557c1626fef4f6eeb51e7cf2de4deafb35d46822fdafed3bb23fd6	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	3	0	0	0	0	0	0	1	0
legacy/root_oneoffs_2026-07-01/verif_n3_gpu_3d.py	7280	ca4e7169bd57d834073af2cf232f8da8fd7baa370452cb0d470452e0ca991e19	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	18	0	1	0	0	0	0	0	0
legacy/root_oneoffs_2026-07-01/verif_n3_sqrt_rescue.py	3682	8e31443c14ef33d9e016209124a64414d2fc8d9979f9b56a9935a23f254993e4	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	b8ba53722f99f888830d2eacbb6cf47f4724dfe3	2026-07-01T12:38:21-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
