path	source_sha256	first_date	current_control	current_frontier	frozen_manifest	historical_or_pre_july	focused_hit_count	dependency_flags	family_id	disposition	dependency_type	family_ruling	reuse_gate	manual_review_status
native_readout_map_selector_audit_results.md	16e144dbbf3bacd554a439f564b9deabb2fbee1fada572433d2b98b9ddf99336	2026-07-06T09:28:55-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
negatives_premise_sweep_2026-07-03.md	e3d90bd450dd96b133b5a6cb63421589aeb8c76594d8fe62904899a24e3e5f85	2026-07-03T09:56:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
noNull_phaseG_mass.py	52af60f0d5b6f7f5217e3f9edfbec2f9c065cfae0283669112f2196ec3e5122f	2026-07-16T19:35:01-04:00	NO	YES	NO	NO	1	supplied_conditional	F09_HOPF_CARRIER_STABILITY	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	CARRIER_ACTION_FINITE_BOX_RESULT	The corrected full-3D Hopf-capable and finite-box stability result depends on its explicit S2 carrier, L2+L4 and boundary premises, not on universal pointwise phi ownership.	Retain all existing carrier/action/boundary/time-live caveats.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
noNull_phaseG_mass_ALL.json	a293156985da8cbabc9a55ac6d4627a9ff92a29223f69c45228b21a314069332	2026-07-16T19:35:01-04:00	NO	YES	NO	NO	0	NONE	F09_HOPF_CARRIER_STABILITY	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	CARRIER_ACTION_FINITE_BOX_RESULT	The corrected full-3D Hopf-capable and finite-box stability result depends on its explicit S2 carrier, L2+L4 and boundary premises, not on universal pointwise phi ownership.	Retain all existing carrier/action/boundary/time-live caveats.	MECHANICAL_BROAD_ONLY
noNull_phaseG_mass_verify.json	33963837871598ce679914a48bdc7ef196c4a5f760a45bdf6c665549c241ede0	2026-07-16T19:35:01-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
no_selector_audit_results.md	a9090655f52f9c73a2d428c0eb23623a96c559d1f6baa847d378b4a9230e4a3e	2026-07-05T20:46:20-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node05_seal_parity_regrade_results.md	74607c0edc00866686fe155dfae8032511f0138713bada3cd871575c9bae9520	2026-07-04T22:08:33-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node1_seal_spin_verdict_results.md	de598bec4192559fb79ca999ea91d71a9ecbc9f171c2cd0f243ffb366ddcb3d1	2026-07-04T22:31:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node23_precompute_map.md	13da11a43aa10d835cb386b024bee2364de81e1ba1a12e1a9aaf9f7b662bb3f8	2026-07-04T22:49:35-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node3_f4_test_results.md	385edfc2f97ac3500c811a9fb406053ebf58f8cd4bdbd8c0fe26c14ad15f85c7	2026-07-04T23:50:25-04:00	NO	NO	NO	NO	1	supplied_conditional	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
node_H2_charge_ledger_results.md	3eca5bbfff94fd8fa74497eb8a9b21b6d95a5bc4cd56ab4b8619b5c90bb7c91a	2026-07-05T08:16:02-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node_H3_hopfion_solve_results.md	010bf8f2dc6a1e957cfe318879906a20cf95c52612ba18bd675ab1e63378b3b8	2026-07-05T09:48:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
node_R0_defect_coherence_results.md	8ce87b9964bf04d943447018a9aeff881042991d1ee3e8e2c40ce4ab9de8fd98	2026-07-05T00:58:15-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	3	selection_or_ownership;supplied_conditional	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	eb7cc8e5a5fd757cb67046113d453d645eb3fed68fc34f75900057b9881f5ac7	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
null_section_hopfion_metric_audit_2026-07-19/EXTERNAL_ADVERSARIAL_REVIEW.md	e49e0ce73f2f6747160655e5a0946d5bd00e6f4849550bad37c8fc1b99ed88bc	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	1	selection_or_ownership	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
null_section_hopfion_metric_audit_2026-07-19/PREREGISTRATION.md	ad46dc61f5b10f560f615b607b9053acb10f2908d28949fdc0ac0598b302a2c5	2026-07-19T12:56:24-04:00	NO	NO	NO	NO	3	selection_or_ownership	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	6f252615f91b41d6ea09eb33fc28c871d45205277c6a584d1fdd02eb4ed9dbcf	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	9	selection_or_ownership;presentation_or_factorization;supplied_conditional	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
null_section_hopfion_metric_audit_2026-07-19/derive_null_section_hopfion.py	a8c9cd54641e5c70ce8744842f326539cfe0320b4980a61228482dc587da87be	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
null_section_hopfion_metric_audit_2026-07-19/verify_null_section_hopfion.py	3e8f708efa416b23247db8d399abe4a3957f98602f7f577e979dc237e6818fb0	2026-07-19T13:22:26-04:00	NO	NO	NO	NO	1	supplied_conditional	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
one_body_null_deflection_cas.py	c61c1cbe6bc26ded5ab471cee5f7810c751b17e15a7c0e56aed86698f6e5f977	2026-07-05T18:47:16-04:00	NO	NO	NO	NO	1	presentation_or_factorization	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
one_body_null_deflection_results.md	a7815906940adee556504fa598273f92ab8c5234954e62482a514ff72612c2fa	2026-07-05T18:47:16-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
one_body_shapiro_delay_results.md	5ce80c22786cb1d48454acc3504a52db1abbe2624cf68c26cabb4c81b8712855	2026-07-05T19:08:28-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
p16_native_derivation_contract.md	36e3e120261d3fdd46b010e3b594095377c3c87c29dcb3fcd756a4c6013859b5	2026-07-04T23:38:11-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
p16_phi_sourcing_decision_note.md	6c0bec7b0708fb0c1fcacca55cdd016bf19c75d9dccc63fc53f0127ef8525dc7	2026-07-04T22:58:53-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
phaseG_evidence_2026-07-16/noNull_phaseG_mass_verify.json	33963837871598ce679914a48bdc7ef196c4a5f760a45bdf6c665549c241ede0	2026-07-16T19:35:01-04:00	NO	YES	NO	NO	0	NONE	F09_HOPF_CARRIER_STABILITY	UNCHANGED_NO_OWNERSHIP_DEPENDENCY	CARRIER_ACTION_FINITE_BOX_RESULT	The corrected full-3D Hopf-capable and finite-box stability result depends on its explicit S2 carrier, L2+L4 and boundary premises, not on universal pointwise phi ownership.	Retain all existing carrier/action/boundary/time-live caveats.	MECHANICAL_BROAD_ONLY
phi_source_derivation.py	b044091471f1982bf9f682611f65cf9702def439092b6f92770b43cad924f0d0	2026-07-07T19:07:13-04:00	NO	NO	NO	NO	1	independent_phi_variation	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
ponder_emergence_directions_2026-07-04.md	b889acdfba8871933850f43619b9ade064c4cb34985b3b54f0e1e482d8c828c1	2026-07-04T09:27:30-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
pre_native_era_census.md	de9eaa2b4804c61465f837c771fd639357da8074891505d33d973033803ab2ec	2026-07-06T11:41:39-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	7	pointwise_or_physical_phi;endpoint_difference;selection_or_ownership;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/CORRECTION_OVERLAY.tsv	545e46534e7c130d1267df6959032232f2b89df73cb64543e2bb4a1ed316d444	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	2	endpoint_difference;presentation_or_factorization	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/DERIVATION_RESULT.json	30e859e9d80fabe9b6f1f14ce95a2299dc77f468c080f075ddd933cacc42de15	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	1	endpoint_difference	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/DERIVATION_TRANSCRIPT.txt	4f01ce617d2b950def1537423dedac988efb0f2836c363b779005d2a3b3b9bb9	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	1	endpoint_difference	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/INTERNAL_ADVERSARIAL_REVIEW.md	ef490f532ff690a22b4e27140ad7f3fbaa63861b0b325f25e51bf9898685d029	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	5	selection_or_ownership;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/PREREGISTRATION.md	0b0ba18b14c3668694d59e407bdbb83e313edb98412b9ced4d8604848c8748f3	2026-07-19T20:36:11-04:00	NO	NO	NO	NO	6	endpoint_difference;presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/SOURCE_INVENTORY.tsv	29f77a514d71a355329c92c107976d5c54288da0f397b8d46ebd7dc7de292b16	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	1	pointwise_or_physical_phi	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/STATUS_LEDGER.tsv	ab56ec4e012b83e3852cfdfd88ce57770b8fd0d0d621e4f60b9a42d2c62d7c6f	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	3	supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/VERIFICATION_RESULT.json	7b81114d99f660a75a899f68ebeaea39139526b94babd79d1160387c62e47258	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	0	NONE	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	MECHANICAL_BROAD_ONLY
projective_position_direction_magnitude_correction_2026-07-19/VERIFICATION_TRANSCRIPT.txt	66fc2ee7a7028820cf2c7dabfc9bc25c4c2b763e2146cc6e07bb13778b5bf858	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	0	NONE	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	MECHANICAL_BROAD_ONLY
projective_position_direction_magnitude_correction_2026-07-19/build_source_inventory.py	10fde2da3459a7187ee5ed2f1869003e0c2736ba712373d5b503a1a0d1e4d493	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	1	pointwise_or_physical_phi	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/derive_direction_magnitude.py	c6bb7a845caf943b714fe1a208f23d46e696af020189583e89079d29343a72a0	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	2	endpoint_difference;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_direction_magnitude_correction_2026-07-19/verify_direction_magnitude.py	9933e06434773173da3dba163f128422d5414e371ba2de7eee82321cc947196e	2026-07-19T20:44:51-04:00	NO	NO	NO	NO	1	independent_phi_variation	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	8db9b5063ff3109f8c332644052b72e630e0268bc4693191300527bd731601f1	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	5	endpoint_difference;selection_or_ownership;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/DERIVATION_RESULT.json	7a3a36f516e018f7a0541c4ac4b4fb4325f3c59fac3540298165d9df5420e1c2	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	8	endpoint_difference;selection_or_ownership;presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/DERIVATION_TRANSCRIPT.txt	ba4bc31c71de58a0a5e146a1eb3f6194c0e26e8c11bdbea240c5f2217e9de28d	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	8	endpoint_difference;selection_or_ownership;presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/EXECUTION_LEDGER.tsv	0ce8719ba00f0a0a8b1bd276d9ac88067923c9f7f8bb5937500368ebb0b6612d	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	0	NONE	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	MECHANICAL_BROAD_ONLY
projective_position_join_audit_2026-07-19/INTERNAL_ADVERSARIAL_REVIEW.md	364057d897c174a450b0ac81548fb9e1f515416099b1b103650eba51e8c56a24	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	2	presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/PREREGISTRATION.md	980dda8fa8fc1549bd0a083036f3ef57c526061872aeb58ec9923375f523d2b6	2026-07-19T20:05:00-04:00	NO	NO	NO	NO	6	endpoint_difference;presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
projective_position_join_audit_2026-07-19/PROJECTIVE_JOIN_LEDGER.tsv	481d5a983cfcb890ae2dfddda9179a640bcd4a12e9b72ab229295e6bc5857cd7	2026-07-19T20:17:34-04:00	NO	NO	NO	NO	10	endpoint_difference;selection_or_ownership;presentation_or_factorization;supplied_conditional	F04_EARLY_DIRECTION_PROJECTIVE_XMAX	CONDITIONAL_REINTERPRETATION_ONLY	LOCAL_FIELD_OR_INPUT_XMAX_IDENTIFICATION	Exact group, chart, connection and curvature calculations survive, but the supplied local-field and symbolic-Xmax identifications are not founded observer-pair ownership laws.	Reuse only as conditional chart/configuration mathematics under explicit supplied-depth and supplied-Xmax stamps.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
