slot	directory	primary_report	exact_derivation	registry_row	registry_term	current_controlling_source	historical_report_is_current_controller
G239	udt_g239_metric_reference_projected_point_process_operator_2026-08-23	udt_g239_metric_reference_projected_point_process_operator_2026-08-23/AUDIT_REPORT.md	udt_g239_metric_reference_projected_point_process_operator_2026-08-23/EXACT_DERIVATION.md	PRESENT	metric_reference_projected_point_process_operator	udt_g239_metric_reference_projected_point_process_operator_2026-08-23/AUDIT_REPORT.md	true
G240	udt_g240_metric_null_image_cluster_census_2026-08-23	udt_g240_metric_null_image_cluster_census_2026-08-23/AUDIT_REPORT.md	udt_g240_metric_null_image_cluster_census_2026-08-23/EXACT_DERIVATION.md	PRESENT	metric_null_image_cluster_census	udt_g240_metric_null_image_cluster_census_2026-08-23/AUDIT_REPORT.md	true
G241	udt_g241_sne_anchored_native_tidal_bridge_2026-08-23	udt_g241_sne_anchored_native_tidal_bridge_2026-08-23/AUDIT_REPORT.md	udt_g241_sne_anchored_native_tidal_bridge_2026-08-23/EXACT_DERIVATION.md	PRESENT	sne_anchored_native_tidal_bridge	udt_g241_sne_anchored_native_tidal_bridge_2026-08-23/AUDIT_REPORT.md	true
G242	udt_g242_sne_exact_quiet_subfamily_anchor_2026-08-24	udt_g242_sne_exact_quiet_subfamily_anchor_2026-08-24/AUDIT_REPORT.md	udt_g242_sne_exact_quiet_subfamily_anchor_2026-08-24/EXACT_DERIVATION.md	PRESENT	sne_exact_quiet_subfamily_anchor	udt_g242_sne_exact_quiet_subfamily_anchor_2026-08-24/AUDIT_REPORT.md	true
G243	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/AUDIT_REPORT.md	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/EXACT_DERIVATION.md	PRESENT	reciprocal_sne_radial_spline_freeze	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/AUDIT_REPORT.md	true
G244	udt_g244_metric_native_observer_sky_response_query_2026-08-24	udt_g244_metric_native_observer_sky_response_query_2026-08-24/AUDIT_REPORT.md	udt_g244_metric_native_observer_sky_response_query_2026-08-24/EXACT_DERIVATION.md	PRESENT	metric_native_observer_sky_area_shape_query	udt_g244_metric_native_observer_sky_response_query_2026-08-24/AUDIT_REPORT.md	true
G245	udt_g245_metric_owned_observer_null_cone_field_2026-08-24	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/AUDIT_REPORT.md	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/EXACT_DERIVATION.md	PRESENT	metric_owned_observer_null_cone_field	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/AUDIT_REPORT.md	true
G246	udt_g246_two_observer_null_incidence_descent_2026-08-24	udt_g246_two_observer_null_incidence_descent_2026-08-24/AUDIT_REPORT.md	udt_g246_two_observer_null_incidence_descent_2026-08-24/EXACT_DERIVATION.md	PRESENT	two_observer_null_incidence_descent	udt_g246_two_observer_null_incidence_descent_2026-08-24/AUDIT_REPORT.md	true
G247	udt_g247_global_null_branch_network_descent_2026-08-24	udt_g247_global_null_branch_network_descent_2026-08-24/AUDIT_REPORT.md	udt_g247_global_null_branch_network_descent_2026-08-24/EXACT_DERIVATION.md	PRESENT	global_null_branch_network_descent	udt_g247_global_null_branch_network_descent_2026-08-24/AUDIT_REPORT.md	true
G248	udt_g248_metric_regular_branch_measure_ownership_2026-08-24	udt_g248_metric_regular_branch_measure_ownership_2026-08-24/AUDIT_REPORT.md	udt_g248_metric_regular_branch_measure_ownership_2026-08-24/EXACT_DERIVATION.md	PRESENT	metric_regular_branch_measure_ownership	udt_g248_metric_regular_branch_measure_ownership_2026-08-24/AUDIT_REPORT.md	true
G249	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/AUDIT_REPORT.md	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/EXACT_DERIVATION.md	PRESENT	reciprocal_angular_absolute_scale_ownership	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/AUDIT_REPORT.md	true
G250	udt_g250_absolute_scale_anchor_type_ownership_2026-08-24	udt_g250_absolute_scale_anchor_type_ownership_2026-08-24/AUDIT_REPORT.md	udt_g250_absolute_scale_anchor_type_ownership_2026-08-24/EXACT_DERIVATION.md	PRESENT	absolute_scale_anchor_type_ownership	udt_g250_absolute_scale_anchor_type_ownership_2026-08-24/AUDIT_REPORT.md	true
G251	udt_g251_same_object_metric_attachment_ownership_2026-08-24	udt_g251_same_object_metric_attachment_ownership_2026-08-24/AUDIT_REPORT.md	udt_g251_same_object_metric_attachment_ownership_2026-08-24/EXACT_DERIVATION.md	PRESENT	same_object_metric_attachment_ownership	udt_g251_same_object_metric_attachment_ownership_2026-08-24/AUDIT_REPORT.md	true
G252	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/AUDIT_REPORT.md	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/EXACT_DERIVATION.md	PRESENT	local_proper_clock_same_object_attachment_contract	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/AUDIT_REPORT.md	true
G253	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/AUDIT_REPORT.md	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/EXACT_DERIVATION.md	PRESENT	native_kernel_minimal_dependency_compression	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/AUDIT_REPORT.md	true
G254	udt_g254_complete_timelive_solver_closure_audit_2026-08-24	udt_g254_complete_timelive_solver_closure_audit_2026-08-24/AUDIT_REPORT.md	udt_g254_complete_timelive_solver_closure_audit_2026-08-24/EXACT_DERIVATION.md	PRESENT	complete_timelive_solver_closure	udt_g254_complete_timelive_solver_closure_audit_2026-08-24/AUDIT_REPORT.md	true
