source	immutability_class	forensic_occurrences	operational_occurrences	candidate_targets	root_basename_occurrences	qualified_suffix_occurrences	source_sha256_at_base
archive/branch_G_characterization_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_dilation_weight_derivation_results.md	1	0	3baed5a15f78132416169b17eb8091dee0babae1c8035c835a56cba1c79fd7ec
archive/branch_P_characterization_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_dilation_weight_derivation_results.md	1	0	2ad7102d17cdd4e52f485927875003c52471b188e2199c350edd115f999aa1e8
archive/branch_iii_hunt_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	open_domain_discreteness_results.md	2	0	3c0695c2b14fd5f8663df2b5e1396b208630c59f8651cfb7318e2399e8a5394c
archive/complete_metric_sweep_setup.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	75b8a5342af83a09db525bf73ea42dac69f00197beb0b8d18ccbf28e3c3ad55c
archive/coupled_cell_soliton_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	STATE.md;angular_lagrangian_results.md	3	0	faa0ab72456c84c2278aa84572700724479ec2a727ab62e3380dea239c49c703
archive/depth_selector_VERIFIER.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	0bc040f2ed710e7ce335b700f924c0745b25425f36b12543b977cbd0ba34a6f9
archive/depth_selector_breather_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	9ec0f724679b33cd9013e4de4c59005ad888ec0e9dc8c456af64ca39c48e80dc
archive/dpf2_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	exterior_cavity_results.md	1	0	548d930a20b373a6b6c4ddf48a4388c05a06483cf04f531e31a1906bf41ec830
archive/ens_scan_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	ab818cdd95ca1f98d202705f9610b6bd8bd69fff36bf307485122d82148de937
archive/ens_scan_verifier_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	0396fbaed3694a2ace1ed21e7221871617bf632d99328dc734a512f1f46694e8
archive/fermion_forcing_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	angular_lagrangian_results.md;native_stabilizer_results.md;w6_results.md	3	0	4e479a039a3fa0f3d7ad9b2d0dc93929a84e13d084053c880c0368aeef187b70
archive/fork_tests_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	exterior_cavity_results.md	1	0	f8f88a278446521481b32e31f64915106618ed36921fe8406614cfc947874a4b
archive/fourth_component_sourced_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CLAUDE.md;native_stabilizer_results.md	2	0	6bd43bed237aa21ed0c597f9d4fef2a4f728879bcc05196284853677ed37fdf0
archive/global_spin_structure_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	w6_results.md	1	0	62e2c8f25a7a1ad393beac65ed617c515e4b3011d3d113eb39b73eaf484bdafe
archive/gravity_sector_local_reduction_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CLAUDE.md;PROVENANCE.md;udt_canonical_geometry.md;udt_gravity_sector_rederivation_results.md	5	0	af2654904cfbd4dc1f567ec10bf8c996e17d7a27204b4300a23c299ae3cde58d
archive/gravity_sector_verifier_independent_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	udt_field_equations_derivation_results.md;udt_gravity_sector_rederivation_results.md	2	0	6ed9a01574a551085305b9cf77e1101ac78b6fc75011128bf259cf2d20c3c3e8
archive/h1_types_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	STATE.md	1	0	febbe9d7906c70bb75950837565919199c4312dba08fc1caed58d361fc022c4b
archive/hopf_spinor_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	native_stabilizer_results.md	2	0	975be2fba6ed74a88a2dcfa5aeb2e8de1c5f62d33a34d62f40094c0352f7336d
archive/horizon_cmb_correspondence.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	udt_canonical_geometry.md;weld_interface_mode_results.md	2	0	db91efbcf8024a455ba8b5e1ef5692356b80e899892f06492d1399e9b29c65b4
archive/lepton_soliton_spectrum_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_stabilizer_results.md	1	0	12849aafa98f06d9be3c470e8d6117809b0d8792ecc2bbcc3d811dc8e2f46e35
archive/macro_contamination_map.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	AUDIT.md;CANON.md;weld_status_results.md	4	0	70b4929b986b2b99b07da22c9f6abf649c3d1c1d395ab2e4fb6704c7c96ed189
archive/mass_audit_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	STATE.md	3	0	537494e124acc8dc081f01e70f3bdd90fd5b95bcdbc2a7c57c12b2e42ae001d0
archive/monodromy_depth_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	native_stabilizer_results.md	2	0	a750382aa094f93789e113e022a704529bc84143da8676ea9c2c5b089e852c5f
archive/n3_direction_distribution_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	native_stabilizer_results.md	2	0	31f858d1542a2e6d8d8a38ef98c2c0e654566b6c8f1d146d4b21c5ce6bed199e
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	337ff3cb44e0f44e8fe435d873ee38974c995d6626a3c47cb61c032d9bf074c1
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	e83cd1f13b5058ccb91be1951eca3675d13be1d309328d9e6961a845fa861975
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	94cc7fc02c3ab7e807b62e066d77d2027b1ed1da0fe0a81dd3cde5b565994942
archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	ad9fdf4d669579f11989c144a571ac83f2fda896d3cc1ef1deb3b339a74ad76b
archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	66dc5f62b9b8ce083cca52fbe567f3c0e89cb1fd5e86055a6db3757522333704
archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	97f40ed9d67c830b4f9a9771a94cd088d7ee37e749e60e4f7f5d64cf90ad50f9
archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;LIVE.md	3	0	50ff497ffae49ac4419de1d699c94009d43b88a522acc7123d1e2a08daa5f35e
archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	83f713e3751b26ce4f5377b0e95a4921a8b8856016964c24c2db26fc31dfac65
archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	1	1	b6bdb5416bd40d3264c2c7cf94cae7c03b9c072e066adb7e7e8ef7be3afca637
archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	7c6a5f6799c7ab2fe3612a97bd98f0613fead60ea4482e70a40a08f66074a44a
archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	0d45308724ecc4e363e6e34e267085eb3aa8cc943048769e6bfbf6503f2beb53
archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	08f47a0bb8dcbe1dbf9989f88e94bb3cf7d9a3621c58db098cd9d582ebfad86d
archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	1	1	c5cc87876d690bbcf1d9bdc68383c3c7daad4f4588586395b42a4cbd8c12c496
archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	bf5fc7108280f8f8b715c58ed8aecbbbff9923455f7219e52353b07805fbfa6b
archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;F2_matter_action_forcedness_results.md;LIVE.md	3	0	a0b341d9fe2204fa33ec8f9059c40e992c0eee6bd47281230f7aa2520f1d4ca7
archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	21272e9d3f71fd7ba8cb1253ca985db7b629fa6f1b96c16676b23debd3de3ac7
archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	abf0dd4b1a86d143157f4c3aceb16aee6e770d0cf0b6dc6af731fd8eac279751
archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	757b007426a67b8657cbd44d8b20aa809ce00f6a6b04456b791d5dad5e3594a4
archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CANON.md;F2_matter_action_forcedness_results.md;LIVE.md	5	0	a6fd7b8b7319c2c8e123fbca8bf7d9de6e603384daeaacc7a71cb9fa2973a7b1
archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;F2_matter_action_forcedness_results.md;LIVE.md	3	0	fbbba360ad96b98a6149d0b11af23272f1991d3b32a958bf18e910aeb18373c3
archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	ce808049670d24364a4eb70c0ca33bade8bd1da1dc20c8a52142a87f5820bb3c
archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	1d811c6e4ed10cea9ddfa9c6e97c54c19a2cfcdd8010082af8672eef8198330e
archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	861e6f3ddcdd233a1a59f8250ddfc8d1ee86ac8b6d91c015533df852d04cba4e
archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CANON.md	1	0	6c4b365c3a43097f7d13ce5d935c346dd0fcec7e5c4a9ebd6fd42d361b7beed0
archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	HANDOFF.md;LIVE.md	2	0	c82afb14ef299d6d7efa885cf857353d7a3d2452119f2ab59e61f7eee857d359
archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	1	1	abb0d0b28e88e2c482e1e9aef698888e70b3990a31ca5651fddd72a74004b8b9
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	4895568542226172ce3d903f309fe4c0aa23d51ddd94e2f67c6a03e4b7be4dc1
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	b1f6a58c59655b997404db7014f683a8d9edc1dc970664b8732b7236c211a10a
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	50bc4ed2cf36993eb1a50b94e0632f98a58d170921513c86810ab13a6326c22a
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	94eb87a1e48203f07edfa689582afd4af5a629b8cf561de99f7751c4dff44be6
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	3d7c13a47edf1998ba1f94905985efe79989283f6b40a3bf40c19fc946a5a0ab
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	6c1789e37fda070e02836a586e154744c6be9ec5827f631d7b08760fc7e06edb
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	c200746e72a3a56c497ab8f4e7d41c16b7e358b06d2d0aa9f2749185c084a8a2
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	a2011ff0c1872be0fc1fee8a2bb108c0da1731890a57e3941bb0566a52e17de9
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	bf1a57da51d4be00f8229a594d5e4d25c5baa0bb5eb81a2dc032f271e203a469
archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	1	1	e760a16b6c5ffb517c3566671210792f0ec06d18e24b2013e3cf1c4618667078
archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	05a4472242866e2c3c9eb919e9ba8f8c8d6f87bd52e782c884bf57e3399bcf20
archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	bfc5b29e2e8e4baa2f1b4b6ad461c2f1e5a3fb636bc20fa7639ee7dff345a1b6
archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	6bf975b8cdb75e604fc7c3faa158e0b6b4013bf8d1eadc11e21565ea27ca7b53
archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	ba3bd0677d1dc2910d2928c62845c4c4ea245fb371c13bd29ddbd32d62dc6193
archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	b917be25f63373e4dedb7e277fd93e11cc25d663549d1fd02a1975ed71c538ef
archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	69f5513fbf9f53cd098fd2f247111449cd500373ad323b33d488f2f0ea220d85
archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	80e90a8f5abc437ca465ad552105e95e3095bce8cdba7edeb1dda9ff7b0a0098
archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	7a0c73fdfcf3abd992f1d98162aa25fe3abbaa6be3e455d9134c51aec51a3d46
archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	9dbf79b1471823bcfcbd844d3cbad228744868b9c9fd75cac95861058a0fdb3b
archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	d74e408c9f24b424647c6b7cc7edacceb381a775b9d9476a244d219f25430983
archive/native_catalog_pi2_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	STATE.md;native_stabilizer_results.md	3	0	4ec777c12a459322e12d374f31dd7eed698cb42c346211ae24be26c8d9c2716f
archive/native_s2_twist_freed_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	matter_regrade_derived_operator_results.md	1	0	39c23dffb20fc8a69a36b533d271aab70966982facc3d32865b07ee8f5b3df6f
archive/offdiagIII_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	965d7c2237cf8703b80e9e667e2573396ae33c37ac2957199f12726689c9c0f8
archive/offdiag_scan_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	solution_space_map.md	1	0	3a63a08a58497f1662ca0f7c65bb02f522643625ed18afa2bb0a3448e6dc3d12
archive/p5a_jfnk_precond_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	p5_solver_survey_results.md	1	0	e4165a5eb70067730fc489165f39b42b8c7cf5de307680e21f5a95f7a939f91d
archive/p5a_prime_VERIFIER.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	p2_VERIFIER.md	1	0	bdf53c92dd7ab5303b32642ab4a002673cf417a79e1dcdbe5f2a3e64468f06a8
archive/pre_2026-07-01/F1F3_closure_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	F0_SYSTEMATIC_AUDIT_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md	4	0	f622623ca39958335584a61eb5b81a92fbb4e8527a36b899c60b7dacc8b8cd1a
archive/pre_2026-07-01/P1P5_reaudit_vs_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	P5e_proper_results.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md;scale_symmetry_bootstrap_analysis_results.md;seal_junction_condition_results.md	8	0	118219cfe882a9dff689108e6cda5360933509301191af8557486ba4e9939293
archive/pre_2026-07-01/STEP2_timelive_matter_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	STEP2_timelive_matter_MAP.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md	3	0	267e394e1101f6c3a4058f1530513cc845d5625a455abe2f034ee729d7e87868
archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_dilation_weight_derivation_results.md	1	0	f05222d69d5e62f099e43d8bbfafd26db77aaea94185045d818a67719809664c
archive/pre_2026-07-01/lepton_ladder_test_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	lepton_ladder_falsification_contract.md	1	0	3623678f20e2aead7ff4ac8cbe7b1d37b587c9d58d47c726ffd401e7cda3f167
archive/pre_2026-07-01/p1_offdiag_wiring_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	b93e73e91ade1492147952d383e8296fb67a6c08e8933d8a0967fe9c6d4bad41
archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md	2	0	e327dee6f9bf41cba356f923edc84c07b348fa87a6b2a3542b8064de7ba93be7
archive/pre_native_coupled/D1_FIX_DESIGN.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	GR_NUMERICS_RESEARCH_2026-06-29.md;LIVE.md;matter_amplitude_native_MAP_2026-06-29.md;seal_junction_condition_results.md	4	0	a6f2788a602e013a18edffdcfbe942250cea824a5c5f4a2a73c6a541f6e1e25a
archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md	2	0	2de220475cb9780adf76bcab07eefd21f2a100bd90cc4bf7cb7977f28b8c5e61
archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	D1_FIX_DESIGN.md;LIVE.md;native_dilation_weight_derivation_results.md;seal_junction_condition_results.md	5	0	6d23022c1ea8ddaab06e00613997da6c107d49705284dbf980d1d73a1748a63b
archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	CLAUDE.md;LIVE.md;matter_regrade_derived_operator_results.md	5	0	be2a47c09dec993c0e68a756ea4456d8316fa0972cb396a4dc0141566a3028d0
archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	NEGATIVES_REGISTRY.md	1	0	7e9b315568d1cbd01a697b830bec3242b809689598d0697d105be7501efb6128
archive/quant_stepA_geometric_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	QUANTIZATION_MAP.md	1	0	493299bfd226a7a2e922d38ba0185bffed7cdf7673f273d52518d4abdaefe710
archive/s2_s3_identity_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_stabilizer_results.md	1	0	1951366b09cfd64fa8756763ae61f13cf9ccea7acc76c3a222538931bfae3140
archive/sealed_cavity_s2_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	CLAUDE.md	1	0	7257391418637fb8348248db2a9e1959e8a8b5f94aa81067b64580d57de1ad53
archive/sf_scan_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	angular_completeness_results.md	1	0	2ba4da6014b6ace5715db0b00494cf2199dd3ff7209decb539d6140199e2dc74
archive/solution_space_baseline.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	7	7	NEGATIVES_REGISTRY.md;open_domain_discreteness_results.md;w6_results.md;w7_results.md;w8_results.md;w_whole_results.md	7	0	c8b53b2fa648efca4c55fd1a3b50650dc0d4b638212faac774d770142d75ec7f
archive/sparc_native_force_law_note.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CLAUDE.md;udt_canonical_geometry.md	2	0	c8f7634a43ab9f041a792c6c4c982c12336ad1ca002b668e6c790eae6f2ad2e0
archive/sphi0_derivation_panel_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	tier_d_round3_results.md	1	0	bc98289e4426c7ba03be35f371cfde8471170245c71ea858c04653b69e9bd258
archive/step0_bridge_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	udt_canonical_geometry.md	6	0	6511d8532377c6f61818bea9282db384e3d60940de3b1f6095faaf0135f8a684
archive/theta_bc_provenance_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	CANON.md;native_stabilizer_results.md	8	0	f97ae96520839510a66aad346d6958489a385897196a951785f8fe4ea646f3e4
archive/tier_d_round2_contract.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	STATE.md;dimension_ladder_null_audit.md;lepton_ladder_falsification_contract.md;weld_interface_mode_results.md;weld_two_sided_results.md	8	0	c6512a7f599155e994898e7fe6e53ffaaf7faad31edf79d9165f4c290164b4f3
archive/udt_a_exponent_derivation_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	udt_field_equations_derivation_results.md	1	0	04f3787cd34fc18604c5615c604536f811cc0b63123cf3f27bcdb27c574b1424
archive/udt_active_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	152	152	AUDIT.md;CLAUDE.md;HANDOFF.md;udt_canonical_geometry.md	24	128	c505d54b250fa4098b24dc152e32e536f062837803a6c1654690bb1ed6ffc596
archive/udt_field_equation_running_rate_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	udt_field_equations_derivation_results.md;udt_gravity_sector_rederivation_results.md	2	0	6056c074f00007fe7195f6924d4cfd63dbbfd4f1cc616514ac32ffc23abb69d2
archive/udt_field_equation_vacuum_structure_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	NEGATIVES_REGISTRY.md;udt_canonical_geometry.md	2	0	a0bbd9beaff994d7e45a657e62a6eac6693d4cecfaa0c3706e9df0280fd1b601
