path	first_commit_date	first_commit	last_commit_date_at_base	last_commit_at_base	last_commit_subject_at_base	git_blob_oid_at_base	sha256_at_base	size_bytes_at_base	selection_reason	r0_classification	current_frontier_target	forensic_occurrences	operational_occurrences	operational_root_references	hard_frozen_root_sources	runtime_or_unknown_root_sources	editable_root_sources	prohibited_dependency_edges	prohibited_dependency_categories	unresolved_dynamic_touches	destination	destination_collision_at_base	supersession_excerpt	classification	family	rationale	affirmative_evidence	move_authorized
PROVENANCE.md	2026-06-10	7565f9c6dca739326b288dd471ccaa0993270b40	2026-06-11	b5feed8dab7ecda57452a5f7e9e85ac7eb4bf52f	Provenance addendum: early-chat corpus exists (dozens-hundreds), archival deferred	2990e2054c8218381f3f1f944cca6c5784962194	90f2a0e73881e3a9de99802af8be75f820a9873b6d76d2baa82b1ad4e8d7d16c	5175	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	102	15	15	CANON.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	README.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/gravity_sector_local_reduction_results.md	0	-	0	archive/pre_2026-07-01/PROVENANCE.md	NO	screenshot is archived as `provenance_origin_prompts_2025-08-12.png`	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
QUANTIZATION_MAP.md	2026-06-20	0e88ddd996f94715e81ad98a03f9f597c12dd3e9	2026-06-20	0e88ddd996f94715e81ad98a03f9f597c12dd3e9	MAP the quantization step (postulate A on the clean substrate)	4f282b8c2f631237d1aa0d1ae8ba8b8df0bb59f1	f6e53f4cdf6689bbbe861b13ba771e0539717a601313b1c4e5f1d839367568d8	12945	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	25	3	3	F6_postulate_A_ledger_results.md	-	STATE.md;archive/quant_stepA_geometric_results.md	0	-	0	archive/pre_2026-07-01/QUANTIZATION_MAP.md	NO	input (§5). (c) a re-run of the retired pre-clean-solver quantization (the morning postulate-A	ACTIVE_CROSS_ERA	CURRENT_FOUNDATION_CROSS_ERA	Postulate-A boundary remains cited by the formal frozen F6 ledger and STATE.	F6_postulate_A_ledger_results.md:10-13,49-55	NO
SOLVER_INTEGRITY_UPGRADES_SPEC.md	2026-06-23	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23	4ef7add2262804b62c70ab6041039cdd5a806c63	P1 purity harness: machine-enforced solver integrity (SOLVER_INTEGRITY_UPGRADES_SPEC P1)	a9a92a60a13f24aff911511ac79cf91f88671e1a	f105bdb094d361c40046c688ca2428bf6e2f620e85915ee9c68962232a3b2312	3995	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	37	3	3	-	-	HANDOFF_ARCHIVE.md;P1_PURITY_HARNESS_MAP.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	0	-	0	archive/pre_2026-07-01/SOLVER_INTEGRITY_UPGRADES_SPEC.md	NO	-	ACTIVE_CROSS_ERA	LIVE_GOVERNANCE_AND_TEST_INFRA	Implemented solver-integrity specification remains part of the live harness history and navigation.	HANDOFF_ARCHIVE.md:50-54	NO
STATE.md	2026-06-10	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-07-18	3cd2a99e402bd69cf180ca15e4b1337635dd5837	Archive first provably safe R1A batch	20d245b117301a15224b6940ad3b48571035fb4c	a964ec91c1afe5e5144cc2ed05d5ee49d0a6ab141551bb45e45b30720b09d066	158949	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ACTIVE	NO	539	32	32	p5_live_state_shrink_results.md	legacy/root_oneoffs_2026-07-01/native_tier_d_round2_test.py	CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;HANDOFF_ARCHIVE.md;NEGATIVES_REGISTRY.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/RECON_C_session.md;archive/REORG_PLAN.md;archive/VISION_POST_POSTULATE.md;archive/coupled_cell_soliton_results.md;archive/h1_types_results.md;archive/mass_audit_results.md;archive/native_catalog_pi2_results.md;archive/tier_d_round2_contract.md;archive/w8_catalog_problem.md	2	STARTUP	0	archive/pre_2026-07-01/STATE.md	NO	> TOP). *(`PURSUIT_CHARTER_2026-07-04.md` is itself SUPERSEDED by the hopfion/H4 arc — do not treat it as frontier.)*	ACTIVE_CROSS_ERA	R0_ACTIVE_CROSS_ERA	Base inventory and current repository navigation retain this pre-cutoff record as active cross-era evidence.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
STEP2_timelive_matter_MAP.md	2026-06-21	b2fac70d937e2eea6870208e00274d3d0632fdc9	2026-07-18	3cd2a99e402bd69cf180ca15e4b1337635dd5837	Archive first provably safe R1A batch	abb120ced95b40a14cc69c13ad804d1743c6c23e	44447c0269c1712f2afe47497c89c2b6e908ba15e1e28735463dd0254f1ab715	23459	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	151	1	1	-	-	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	0	-	0	archive/pre_2026-07-01/STEP2_timelive_matter_MAP.md	NO	-	ARCHIVE_ELIGIBLE	PRE_NATIVE_STEP2_FAMILY	Pre-native scalar-tensor STEP2 family explicitly SUPERSEDED; the only operational root reference becomes a valid co-located archive reference.	pre_native_era_census.md:78-80	YES
TRACTABILITY_ROUTES.md	2026-06-27	1d5da1e4ad63a6dc0bfaee3eb3c9547a9d20ef0c	2026-06-27	1d5da1e4ad63a6dc0bfaee3eb3c9547a9d20ef0c	Track TRACTABILITY_ROUTES.md (Charles's throughput/coverage assessment)	f600b4c9389baf0f07bfa5426621580d8a318a1c	2a8c1fd0df19da5820f69f0caa29fdca34c4009c5ab92beab86febb3504f09a9	6786	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	28	4	4	native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	-	pre_native_era_census.md	0	-	0	archive/pre_2026-07-01/TRACTABILITY_ROUTES.md	NO	-	ACTIVE_CROSS_ERA	LIVE_GOVERNANCE_AND_TEST_INFRA	Clean category-A technique guidance remains valid across eras; it is not superseded physics.	pre_native_era_census.md:90	NO
angular_completeness_results.md	2026-06-11	d94380fcab6f94540162389a76f89b4c466d9ec7	2026-06-11	d94380fcab6f94540162389a76f89b4c466d9ec7	Angular flip verified: silence record diagonal-class-conditional; discrete real-frequency candidates at ell>=2; registry re-grade	592362e178475c1c76a44e70658a7a11bef550ec	12d1f4cacec98a760bf4a0ec21de9cd31ea3e691168f05eef24f043d9b9f0889	7264	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	36	6	6	-	legacy/root_oneoffs_2026-07-01/offdiag_gateB_character.py;legacy/root_oneoffs_2026-07-01/sf_scan_symcheck.py;legacy/root_oneoffs_2026-07-01/w_stiffness_routeA_enlarged_class.py	NEGATIVES_REGISTRY.md;archive/sf_scan_results.md;solution_space_map.md	0	-	0	archive/pre_2026-07-01/angular_completeness_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
angular_lagrangian_results.md	2026-06-14	35dee91b21e0109350ba562e938028901d48b570	2026-06-14	35dee91b21e0109350ba562e938028901d48b570	RESULT: B=1/A inside matter DERIVED by the angular sector (CANON C-2026-06-14-1)	89d5c93c005f2f2ec68e3aadf0adfb9a1325bab0	3f7e5d060aabeee3edb867d9e677c6ea8c5fe460b5e80c62b53e227a13356247	16829	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	139	33	33	CANON.md;F2_matter_action_forcedness_results.md;angular_lagrangian_verifier_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;no_selector_audit_results.md;node1_seal_spin_verdict_results.md	legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B1.py;legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B2.py;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	MATTER_SECTOR_MAP_new_foundation.md;STATE.md;archive/RECON_B_microphysics.md;archive/coupled_cell_soliton_results.md;archive/fermion_forcing_results.md;d1_charge_channel_projection_MAP.md;i_flow_hbar_clock_MAP.md;matter_amplitude_native_MAP_2026-06-29.md;matter_regrade_derived_operator_results.md	0	-	0	archive/pre_2026-07-01/angular_lagrangian_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
angular_lagrangian_verifier_results.md	2026-06-14	35dee91b21e0109350ba562e938028901d48b570	2026-06-14	35dee91b21e0109350ba562e938028901d48b570	RESULT: B=1/A inside matter DERIVED by the angular sector (CANON C-2026-06-14-1)	bda58d4bfcac6d9e608c155adcdf127936d7c5f9	01a2e0e13a105992de2f99c2042d1098e7c206c400d87e6ecf81196c2e101112	12953	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	63	13	13	CANON.md;angular_lagrangian_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	STATE.md	0	-	0	archive/pre_2026-07-01/angular_lagrangian_verifier_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
branchP_solver_floor_xcontinuation_results.md	2026-06-24	3dc5f8476736c1826136c1c4e97e6b28f0a1714c	2026-07-06	ead4c1f238b39d78c6aec3d04ed846d657e9c883	Org second pass: add missing branchP in-file banner (#66); tidy p3_VERIFIER banner placement.	3ac6b3724cbaa83c8d85fd2ca4601c7baf62d57c	a4149d38764478eec07be0f5922c53f09f8405779a560b8a43e4e754bcdf0d30	14229	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	33	3	3	-	-	NEGATIVES_REGISTRY.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;branch_operator_contamination_ledger.md	0	-	0	archive/pre_2026-07-01/branchP_solver_floor_xcontinuation_results.md	NO	> Rode the PRE-NATIVE Branch-P SCALAR-TENSOR operator (f=e^{2φ}, X=−2e5); superseded 2026-07-01 by the native	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
cognitive_corral_triggers_results.md	2026-06-27	06952144d186ebe271871f77e1decc6fe6da0b89	2026-06-27	fca3cf0ddde0ab19cece6cf4c9acdbfc82150345	"SessionStart banner hook: make corral-hook failure LOUD (answers ""how will I know if triggers fail"")"	a0981b3dc1bc34af7254ccfe2ba89fe492c16a48	9097e7400521ca4309c5ce5c7a21171398545545eee3265617ffffe1512f1a7c	6835	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	48	6	6	native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	-	archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;pre_native_era_census.md	0	-	0	archive/pre_2026-07-01/cognitive_corral_triggers_results.md	NO	DURABLE/CURRENT/SUPERSEDED/HISTORICAL vs `LIVE.md` (**26 DURABLE, 14 CURRENT, 7 SUPERSEDED, 1 HISTORICAL,	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
dimension_ladder_null_audit.md	2026-06-10	41f58c3a8889d43c8450726aef60ce95ee13ce9d	2026-06-10	41f58c3a8889d43c8450726aef60ce95ee13ce9d	Add dimension-ladder null/look-elsewhere audit	3793a1fc5ad43b4e1db82d715547652cb803b783	a802f4577c9cc5ff50e226c4e95d52480a05d2f46f15920469f6992372b626c5	10526	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ACTIVE	NO	69	11	11	codex_rehearsal_transcript.txt;sector_weight_spectral_probe_results.md	legacy/root_oneoffs_2026-07-01/native_tier_d_round2_test.py;legacy/root_oneoffs_2026-07-01/particles_verifier_test_b.py	CLAUDE.md;STATE.md;archive/tier_d_round2_contract.md;d1_angular_constants_native_rederivation.md;lepton_ladder_falsification_contract.md	1	STARTUP	0	archive/pre_2026-07-01/dimension_ladder_null_audit.md	NO	-	ACTIVE_CROSS_ERA	R0_ACTIVE_CROSS_ERA	Base inventory and current repository navigation retain this pre-cutoff record as active cross-era evidence.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
exterior_cavity_results.md	2026-06-11	db3a91a3a48fd763b56007c44d47380c7f1f0af8	2026-06-11	db3a91a3a48fd763b56007c44d47380c7f1f0af8	Exterior-sourced cavity: formation realized (c*=0.4989*gamma^2); linear binding shut theorem-grade; shell deleted for embedded cells; registry re-grades	fc6c1c90fe780a423d2c6bdeb5655b7a87b0d107	a5ef2553242d6f94a91d4654b2f4a9b36f65629f65c90cd25b8a73aca60d7e10	11942	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	89	19	19	angular_lagrangian_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	legacy/root_oneoffs_2026-07-01/angular_lagrangian_derive.py;legacy/root_oneoffs_2026-07-01/dpf2_derive.py;rescued_workspaces/2026-06-11/pde_p1/derive_system.py;rescued_workspaces/2026-06-11/pde_p1/log_derive.txt	NEGATIVES_REGISTRY.md;STATE.md;archive/dpf2_results.md;archive/fork_tests_results.md;archive/w8_catalog_problem.md;pre_native_era_census.md	0	-	0	archive/pre_2026-07-01/exterior_cavity_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
external_input_notes.md	2026-06-14	66cfdf1372e9d01bff475c653591a5491072de4f	2026-06-14	06b611f9e13b96bf44f364bfbabd3759e625c8ad	Fold QED/QCD-skeleton => hbar-quantization-native into notes; clean stale HANDOFF content	9b5c9b88d86948770d505834592e2f4ceb2cf5f6	163a87a7a35cb0f300f2293c47acb3368350b07acd5605d8c39536cf94a45d48	9354	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	45	11	11	CANON.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	-	0	-	0	archive/pre_2026-07-01/external_input_notes.md	NO	-	ACTIVE_CROSS_ERA	CANON_PROVENANCE	The file remains provenance for a canonized fork resolution and is also named by hard-frozen transcripts.	CANON.md:145-148	NO
kap8_characterization_complete_solver_results.md	2026-06-27	2075a2c9f1be4218492044f2a3234a4d9cdf46ff	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	2da94b04d0f9fd6240b70f2103293caf97c9e2b2	91df3b4efa721529596cb9ca5948a320a87bde768096d30c74f59b9a5eae5a9f	15881	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	63	9	8	native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	-	NEGATIVES_REGISTRY.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;branch_operator_contamination_ledger.md;pre_native_era_census.md	0	-	0	archive/pre_2026-07-01/kap8_characterization_complete_solver_results.md	NO	> **⚠ QUARANTINE / CONDITIONS-CHANGED (2026-07-06 supersession sweep) — DO NOT CITE AS A NATIVE-MICRO RESULT.**	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
legacy_hadron_survivor_filter.md	2026-06-10	cf2d6aa55c17d7f821ff6d877dab1aa2df7c7541	2026-06-10	845a0cd8dbb538dcf8b927ac70421dcc893a6948	Add quotient channel unit bridge	78e6aa8fd8f6b6e8b0d19086efb99daa307b97c1	ebb7d7d84ff1bcbd43c0ade99422f6fd32cd4703a5b82a85330efd29befff706	23681	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ACTIVE	NO	36	2	2	-	legacy/root_oneoffs_2026-07-01/null_test_dimension_ladder.py	CLAUDE.md	1	STARTUP	0	archive/pre_2026-07-01/legacy_hadron_survivor_filter.md	NO	-	ACTIVE_CROSS_ERA	R0_ACTIVE_CROSS_ERA	Base inventory and current repository navigation retain this pre-cutoff record as active cross-era evidence.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
lepton_ladder_falsification_contract.md	2026-06-10	26fc757428c5251111af235436479362a8d9e078	2026-07-18	3cd2a99e402bd69cf180ca15e4b1337635dd5837	Archive first provably safe R1A batch	a1247e7c523e1fa9f94d671d0995107d5bffef58	ff975218deca7071d1f82f76ab3dac54e0c752a8e921ecc337205fae49c605d0	6524	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	71	7	7	-	legacy/root_oneoffs_2026-07-01/native_lepton_ladder_frozen_test.py	STATE.md;archive/pre_2026-07-01/lepton_ladder_test_results.md;archive/tier_d_round2_contract.md;archive/w8_catalog_problem.md;archive/w_stiffness_push_declaration.md	0	-	0	archive/pre_2026-07-01/lepton_ladder_falsification_contract.md	NO	-	BLOCKED	SUPERSEDED_BUT_PATH_BLOCKED	The ladder family is explicitly superseded, but a retained Python falsification harness requires this root path.	macro_spine_provenance_2026-07-06.md:44;legacy/root_oneoffs_2026-07-01/native_lepton_ladder_frozen_test.py	NO
mass_emergence_canonical_geometry.md	2026-06-10	691e04a3fbbacdaaf04e16a78e49645a22677054	2026-06-10	691e04a3fbbacdaaf04e16a78e49645a22677054	Initial UDT mass emergence research snapshot	4659bd5253317a7853001b02521bcf768a526418	e217a91b067f2c8356c34067e9e3e2d3d0cd7c8064a639ca17921165b67993f6	52616	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ACTIVE	NO	72	12	12	-	-	CLAUDE.md;archive/B1_nativeness_verifier_results.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/RECON_B_microphysics.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/UDT_REBUILD.md;dimension_ladder_null_audit.md;legacy_hadron_survivor_filter.md;mass_emergence_canonical_geometry.md	1	STARTUP	0	archive/pre_2026-07-01/mass_emergence_canonical_geometry.md	NO	-	ACTIVE_CROSS_ERA	R0_ACTIVE_CROSS_ERA	Base inventory and current repository navigation retain this pre-cutoff record as active cross-era evidence.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
matter_amplitude_native_MAP_2026-06-29.md	2026-06-29	1fa6921e3e330529384031d343a439a47fba26f8	2026-06-29	715c8e44f6f03a31e589a8f7153b56b0fdbdf6e2	"Amplitude fork RESOLVED + blind-verified: the ""more complete"" object is a gated import, not native"	e9f7d7513fce60e1d5d5bcfee3992f66a40d0168	dcec8d8d10ab90f049b91e23bb74aa0d4f6a973be2184e6458b8dda1cdc7606c	8631	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	40	2	2	-	-	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/D1_FIX_DESIGN.md	0	-	0	archive/pre_2026-07-01/matter_amplitude_native_MAP_2026-06-29.md	NO	-	SOFT_EVIDENCE_PATH_ONLY	SOFT_CLEAN_FOUNDATION_MAP	Census grades this MAP clean and no base record affirmatively supersedes it as a whole.	pre_native_era_census.md:59	NO
matter_regrade_derived_operator_results.md	2026-06-21	b72abebffecbfdcfbb247693d124115c66aaad06	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	41d041f7e9f1b524d52d4572656f89d026a5e5f3	3036d3950cafabd07fdcbe9cc4edff877c89e743fae5b398728bb780ac79f058	23810	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ARCHIVE_CANDIDATE	NO	396	21	21	F2_closure_results.md;p4_cross_model_verify_results.md	branch_operator.py;tests/test_branch_operator.py	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;STEP2_timelive_matter_MAP.md;archive/M10_M11_object_identity_closure_results.md;archive/P5c_regrade_derived_operator_results.md;archive/native_s2_twist_freed_derived_operator_results.md;archive/pre_2026-07-01/F1F3_closure_results.md;archive/pre_2026-07-01/P1P5_reaudit_vs_derived_operator_results.md;archive/pre_2026-07-01/STEP2_timelive_matter_results.md;archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;branch_operator_contamination_ledger.md;d1_angular_constants_native_rederivation.md	0	-	0	archive/pre_2026-07-01/matter_regrade_derived_operator_results.md	NO	> **SUPERSEDED / CONDITIONS-CHANGED (2026-07-06 supersession sweep) — NOT a native-micro UDT result; mine for history.**	BLOCKED	SUPERSEDED_BUT_PATH_BLOCKED	Explicitly superseded, but formal frozen results, Python, and tests require the root path.	matter_regrade_derived_operator_results.md:1-5	NO
measure_fork_results.md	2026-06-11	208740ed43bb3b0387eb98b548f89ceb6279dd1b	2026-06-11	208740ed43bb3b0387eb98b548f89ceb6279dd1b	Measure fork settled: W_A derived exactly (composition identity); W_B retired; weld mass refuted-as-native; theta-family real	c0ea72c39658d91eb56302dd908d5f1581088eb7	2ec4aedd013955f8038af73b97ef9836c2269469e2fb9fe6274e42846a5912f5	6108	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	37	7	7	-	legacy/root_oneoffs_2026-07-01/w_stiffness_routeB_forced_completion.py;legacy/root_oneoffs_2026-07-01/w_stiffness_routeC_sector_audit.py;rescued_workspaces/2026-06-11/pde_p1/derive_system.py;rescued_workspaces/2026-06-11/pde_p1/log_derive.txt	NEGATIVES_REGISTRY.md;udt_canonical_geometry.md	0	-	0	archive/pre_2026-07-01/measure_fork_results.md	NO	is RETIRED: structurally unattainable — the flip factor is f-free	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
n_derivation_results.md	2026-06-11	8ac32667bc4d2c560dea82111b79eea79756f268	2026-06-11	8ac32667bc4d2c560dea82111b79eea79756f268	n derivation: W_ff is a kernel, quasi-static n~1; banked weld n=0 attained nowhere; slot-covariance proven	99dca4315a0cefdf863c9c49b5e72460a4a89b3c	231895b649115c736ee20aca6daa7c759d6153e9ad62fbaa96a9a32afe3bd4cb	10097	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	33	7	7	exterior_cavity_results.md	legacy/root_oneoffs_2026-07-01/w_stiffness_routeC_sector_audit.py	STATE.md;archive/B1_nativeness_verifier_results.md	0	-	0	archive/pre_2026-07-01/n_derivation_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
