family	all_matching_sources	primary_claim_sources	adjudication_status	effective_owner	routing_basis
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26	4	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_csn_dphi_transport_selector_audit_2026-07-23	3	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_dual_systole_global_transport_audit_2026-07-24	9	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G09-G13-G15;null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv;angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_dual_systole_wall_crossing_selector_audit_2026-07-24	4	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G09-G13-G15;null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv;angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_finite_cell_cartan_transport_atlas_2026-07-23	3	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_finite_cell_completion_atlas_2026-07-21	7	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27	13	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv:S11-S13	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24	2	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_finite_reciprocal_quotient_lift_audit_2026-07-27	5	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_foundational_semantic_regression_correction_2026-07-26	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_founded_constraint_atlas_p03_2026-07-21	12	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_founded_pair_first_jet_one_form_atlas_2026-07-26	1	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv:S06	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_founded_pair_global_alignment_audit_2026-07-26	5	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv:S07-S08	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_founded_phi_complete_coframe_extension_audit_2026-07-25	4	1	CURRENT_PREMISE_CONTROLLER	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md;udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	The effective current claim is explicitly represented in CURRENT_SCIENTIFIC_PREMISES.tsv and its controlling source is hash-frozen here.
udt_founding_observer_comparison_semantics_audit_2026-07-27	7	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_founding_reciprocity_object_audit_2026-07-27	7	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_frame_bivector_equivariance_audit_2026-07-23	5	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_free_global_seal_transversality_audit_2026-07-21	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_full_equation_variation_p05_2026-07-21	3	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_full_local_jet_strata_p02_2026-07-27	3	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_general_screen_complete_cell_atlas_2026-07-28	13	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_global_functional_dof_constraint_rank_audit_2026-07-26	1	1	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_global_local_relational_closure_audit_2026-07-25	7	2	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_global_metric_assembly_atlas_2026-07-22	3	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_global_reciprocal_bundle_assembly_audit_2026-07-26	9	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_global_reciprocal_closure_audit_2026-07-20	8	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_global_reciprocal_persistence_selector_audit_2026-07-23	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21	4	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_historical_angular_method_salvage_audit_2026-07-28	9	2	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_historical_angular_method_salvage_audit_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_historical_phi_equation_salvage_audit_2026-07-24	6	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G03;udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_hopf_realization_deformation_audit_2026-07-23	9	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv:T06-T18	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_hopf_transport_bootstrap_dependency_audit_2026-07-23	7	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv:S06-S14	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_independent_amplitude_metric_atlas_2026-07-21	4	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_instrument_motif_atlas_2026-07-21	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_intrinsic_clock_transverse_solder_audit_2026-07-24	9	4	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_intrinsic_optical_transport_atlas_2026-07-27	5	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_intrinsic_pair_deformation_neighborhood_audit_2026-07-27	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_intrinsic_pair_lambda_component_atlas_2026-07-27	6	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv:S03-S08	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27	4	1	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_invariant_xmax_asymptotic_boundary_audit_2026-07-23	7	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_joint_invariant_subspace_atlas_2026-07-21	4	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_joint_selector_provenance_audit_2026-07-28	16	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_local_jet_atlas_p02_2026-07-21	8	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_local_selector_holonomy_closure_2026-07-22	3	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_native_nontriviality_connector_audit_2026-07-25	11	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_native_observer_separation_asymptote_audit_2026-07-24	2	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_native_selector_rank_closure_audit_2026-07-27	5	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_metric_native_signed_depth_availability_audit_2026-07-26	4	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_native_two_pair_selector_audit_2026-07-21	13	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_natural_complete_extension_selector_audit_2026-07-27	8	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_metric_natural_joint_selector_nogo_2026-07-28	16	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_metric_orchestra_rehearsal_2026-07-25	4	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_pure_frame_rederivation_2026-07-23	8	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_metric_to_frontier_reference_2026-07-22	9	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_motif_hopf_correspondence_audit_2026-07-22	11	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G09-G13-G15;null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv;angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_native_coframe_composition_law_audit_2026-07-23	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_native_global_coframe_definition_audit_2026-07-28	8	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_native_global_observable_closure_census_2026-07-26	4	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_native_reciprocal_comparison_bundle_audit_2026-07-27	5	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv:reducible_comparison_groupoid-overall	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26	6	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv:S06-S08	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_observer_centered_xmax_frame_correction_2026-07-23	1	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_observer_depth_angle_transition_audit_2026-07-24	2	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_observer_pair_clock_operator_audit_2026-07-24	1	0	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_observer_pair_clock_operator_audit_2026-07-24/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26	4	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_observer_pair_triangle_consistency_audit_2026-07-26	6	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_observer_pair_xmax_bridge_audit_2026-07-27	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_phi_metric_ontology_audit_2026-07-22	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_post_july_offshell_response_availability_audit_2026-07-25	11	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv:S13-S14	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_pre_density_substrate_response_atlas_2026-07-24	8	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv:S16-S25	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_pre_p06_boundary_selector_audit_2026-07-21	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
