attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md	Scoped regular universal F(Y) no-go; C2 escape retained; A6 README quarantine governs	Frozen preregistration/map for wr-l exclusion only in f(y) class	NO-CHANGE: scaffold lead cannot close action fork	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md	Scoped regular universal F(Y) no-go; C2 escape retained; A6 README quarantine governs	Historical verification instructions for wr-l exclusion only in f(y) class	NO-CHANGE: scaffold lead cannot close action fork	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_DERIVATION_RESULTS.md	PROVISIONAL ANALYTIC LEAD; ACTION OPEN; A6 README quarantine governs	Lapse identity/raw flux/inverse functional	NO-CHANGE: no normalized mass/native action	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_MAP.md	PROVISIONAL ANALYTIC LEAD; ACTION OPEN; A6 README quarantine governs	Frozen preregistration/map for lapse identity/raw flux/inverse functional	NO-CHANGE: no normalized mass/native action	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md	PROVISIONAL ANALYTIC LEAD; ACTION OPEN; A6 README quarantine governs	Historical verification instructions for lapse identity/raw flux/inverse functional	NO-CHANGE: no normalized mass/native action	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_bootstrap_background_carrier_coupling.py	PROVISIONAL / CONDITIONAL C2 background; verification OPEN; not banked; A6 README quarantine governs	Mechanical verifier source for background-induced carrier coefficients and scale lead	NO-CHANGE: branch, carrier, scale, and mass stay OPEN	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_bootstrap_background_carrier_coupling_out.txt	PROVISIONAL / CONDITIONAL C2 background; verification OPEN; not banked; A6 README quarantine governs	Captured verifier stdout for background-induced carrier coefficients and scale lead	NO-CHANGE: branch, carrier, scale, and mass stay OPEN	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_common_scale_matter_emergence.py	CONDITIONAL conformal branch; carrier/coupling OPEN; A6 README quarantine governs	Mechanical verifier source for csn trace/scale-weight sieve	NO-CHANGE: class restriction does not derive carrier/source	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_common_scale_matter_emergence_out.txt	CONDITIONAL conformal branch; carrier/coupling OPEN; A6 README quarantine governs	Captured verifier stdout for csn trace/scale-weight sieve	NO-CHANGE: class restriction does not derive carrier/source	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_boundary_charge_selection.py	PROVISIONAL; boundary function/normalization OPEN; A6 README quarantine governs	Mechanical verifier source for inverse-x boundary-charge scaling lead	NO-CHANGE: generator/normalization action-dependent	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_boundary_charge_selection_out.txt	PROVISIONAL; boundary function/normalization OPEN; A6 README quarantine governs	Captured verifier stdout for inverse-x boundary-charge scaling lead	NO-CHANGE: generator/normalization action-dependent	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_dimensionless_action_reference_branch.py	PROVISIONAL conditional reference branch; A6 README quarantine governs	Mechanical verifier source for c2 reference and conditional f2 sieve	NO-CHANGE: rank-one/area selector not forced	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_dimensionless_action_reference_branch_out.txt	PROVISIONAL conditional reference branch; A6 README quarantine governs	Captured verifier stdout for c2 reference and conditional f2 sieve	NO-CHANGE: rank-one/area selector not forced	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_global_scale_selection.py	PROVISIONAL; absolute scale OPEN; A6 README quarantine governs	Mechanical verifier source for common-scale modulus/global datum	NO-CHANGE: covariance does not select X	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_global_scale_selection_out.txt	PROVISIONAL; absolute scale OPEN; A6 README quarantine governs	Captured verifier stdout for common-scale modulus/global datum	NO-CHANGE: covariance does not select X	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_one_mass_global_calibration.py	PROVISIONAL conditional theorem; A6 README quarantine governs	Mechanical verifier source for one-mass calibration bridge	NO-CHANGE: action/charge/branch must precede calibration	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_csn_one_mass_global_calibration_out.txt	PROVISIONAL conditional theorem; A6 README quarantine governs	Captured verifier stdout for one-mass calibration bridge	NO-CHANGE: action/charge/branch must precede calibration	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_deep_positional_relativity.py	FOUNDATIONAL INTERPRETATION SUPERSEDED; algebra retained; A6 README quarantine governs	Mechanical verifier source for historical causal-measure route	CONFIRMS exponential algebra only; NO-CHANGE	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_deep_positional_relativity_out.txt	FOUNDATIONAL INTERPRETATION SUPERSEDED; algebra retained; A6 README quarantine governs	Captured verifier stdout for historical causal-measure route	CONFIRMS exponential algebra only; NO-CHANGE	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_dilation_substrate_action.py	PROVISIONAL action-family audit; verification OPEN; A6 README quarantine governs	Mechanical verifier source for action classification and variation-order analysis	CONFIRMS D0-D5 action/variation forks	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_dilation_substrate_action_out.txt	PROVISIONAL action-family audit; verification OPEN; A6 README quarantine governs	Captured verifier stdout for action classification and variation-order analysis	CONFIRMS D0-D5 action/variation forks	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_electron_calibration_bridge.py	PROVISIONAL; ontology/radius OPEN; A6 README quarantine governs	Mechanical verifier source for one-mass product calibration lead	NO-CHANGE: no electron/absolute mass	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_electron_calibration_bridge_out.txt	PROVISIONAL; ontology/radius OPEN; A6 README quarantine governs	Captured verifier stdout for one-mass product calibration lead	NO-CHANGE: no electron/absolute mass	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_finite_cell_boundary.py	PROVISIONAL CANDIDATE; domain forks distinct; A6 README quarantine governs	Mechanical verifier source for finite-cell boundary census	CONFIRMS boundary/mass generator OPEN	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_finite_cell_boundary_out.txt	PROVISIONAL CANDIDATE; domain forks distinct; A6 README quarantine governs	Captured verifier stdout for finite-cell boundary census	CONFIRMS boundary/mass generator OPEN	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_founding_to_dynamics.py	PROVISIONAL disclosed; no banking; A6 README quarantine governs	Mechanical verifier source for action countermodels and source-route comparison	CONFIRMS D0-D5; covariance classifies chosen completion	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_founding_to_dynamics_out.txt	PROVISIONAL disclosed; no banking; A6 README quarantine governs	Captured verifier stdout for action countermodels and source-route comparison	CONFIRMS D0-D5; covariance classifies chosen completion	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_global_bootstrap.py	PROVISIONAL conditional; closure OPEN; A6 README quarantine governs	Mechanical verifier source for global bootstrap architecture	NO-CHANGE: no unique action/density/carrier	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_global_bootstrap_out.txt	PROVISIONAL conditional; closure OPEN; A6 README quarantine governs	Captured verifier stdout for global bootstrap architecture	NO-CHANGE: no unique action/density/carrier	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_macro_micro_matching_closure.py	CONDITIONAL C2; transition OPEN; A6 README quarantine governs	Mechanical verifier source for scoped smooth-core/wr-l no-go	NO-CHANGE: mismatch does not derive matter/mass	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_macro_micro_matching_closure_out.txt	CONDITIONAL C2; transition OPEN; A6 README quarantine governs	Captured verifier stdout for scoped smooth-core/wr-l no-go	NO-CHANGE: mismatch does not derive matter/mass	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_mutual_dilation_resistance.py	PROVISIONAL; no unique action; A6 README quarantine governs	Mechanical verifier source for reciprocal pair-cost/equilibrium audit	NO-CHANGE: invariant does not force action/carrier/source	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_mutual_dilation_resistance_out.txt	PROVISIONAL; no unique action; A6 README quarantine governs	Captured verifier stdout for reciprocal pair-cost/equilibrium audit	NO-CHANGE: invariant does not force action/carrier/source	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_native_action_noncold.py	DISCLOSED NON-COLD; PROVISIONAL; underdetermined; A6 README quarantine governs	Mechanical verifier source for consolidated countermodels and conditional eh mass route	CONFIRMS all D0-D5 forks	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_native_action_noncold_out.txt	DISCLOSED NON-COLD; PROVISIONAL; underdetermined; A6 README quarantine governs	Captured verifier stdout for consolidated countermodels and conditional eh mass route	CONFIRMS all D0-D5 forks	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_quadratic_dilation_cost.py	CONDITIONAL tangent norm; FULL ACTION NOT DERIVED; A6 README quarantine governs	Mechanical verifier source for depth norm/nonlinear counterfamily	CONFIRMS natural quadratic choice is HABIT	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_quadratic_dilation_cost_out.txt	CONDITIONAL tangent norm; FULL ACTION NOT DERIVED; A6 README quarantine governs	Captured verifier stdout for depth norm/nonlinear counterfamily	CONFIRMS natural quadratic choice is HABIT	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_functional_structure.py	CONDITIONAL reciprocal-axis/C2; verification OPEN; A6 README quarantine governs	Mechanical verifier source for second-jet functional/topology diagnostic	NO-CHANGE: conditional carrier no mass law	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_functional_structure_out.txt	CONDITIONAL reciprocal-axis/C2; verification OPEN; A6 README quarantine governs	Captured verifier stdout for second-jet functional/topology diagnostic	NO-CHANGE: conditional carrier no mass law	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_metric_curvature.py	CONDITIONAL single-axis/C2; verification OPEN; A6 README quarantine governs	Mechanical verifier source for rank-one weyl discriminator	CONFIRMS carrier fork; CHALLENGES automatic metric-to-S2	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_metric_curvature_out.txt	CONDITIONAL single-axis/C2; verification OPEN; A6 README quarantine governs	Captured verifier stdout for rank-one weyl discriminator	CONFIRMS carrier fork; CHALLENGES automatic metric-to-S2	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_c_conformal_action.py	UNIQUE-CONDITIONAL in named minimal class; mass OPEN; A6 README quarantine governs	Mechanical verifier source for conditional c2/bach/wr-l branch	CONFIRMS no EH mass and nonuniqueness outside class	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_c_conformal_action_out.txt	UNIQUE-CONDITIONAL in named minimal class; mass OPEN; A6 README quarantine governs	Captured verifier stdout for conditional c2/bach/wr-l branch	CONFIRMS no EH mass and nonuniqueness outside class	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_loop_closure_matter.py	PROVISIONAL CONDITIONAL; S2 reopened; A6 README quarantine governs	Mechanical verifier source for rank-one countermodel and conditional holonomy f2	CONFIRMS area-only matter/coupling not forced	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_loop_closure_matter_out.txt	PROVISIONAL CONDITIONAL; S2 reopened; A6 README quarantine governs	Captured verifier stdout for rank-one countermodel and conditional holonomy f2	CONFIRMS area-only matter/coupling not forced	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_smooth_bootstrap_substrate_closure.py	CONDITIONAL C2/global substrate; verification OPEN; A6 README quarantine governs	Mechanical verifier source for smooth zero-c2 substrate/geometric flux	NO-CHANGE: density/carrier/mass OPEN	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_smooth_bootstrap_substrate_closure_out.txt	CONDITIONAL C2/global substrate; verification OPEN; A6 README quarantine governs	Captured verifier stdout for smooth zero-c2 substrate/geometric flux	NO-CHANGE: density/carrier/mass OPEN	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_conformal_carrier_scale_closure.py	CONDITIONAL C2; BOUNDARY-ONLY SCALE LEAD; A6 README quarantine governs	Mechanical verifier source for endpoint degeneracy/horizon audit	CONFIRMS bulk does not select scale/boundary/charge	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_conformal_carrier_scale_closure_out.txt	CONDITIONAL C2; BOUNDARY-ONLY SCALE LEAD; A6 README quarantine governs	Captured verifier stdout for endpoint degeneracy/horizon audit	CONFIRMS bulk does not select scale/boundary/charge	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_offshell_provenance.py	PROVISIONAL NEGATIVE ON UNIQUENESS; A6 README quarantine governs	Mechanical verifier source for same-eom/different-boundary counteractions	CONFIRMS action/mass-generator nonuniqueness	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_offshell_provenance_out.txt	PROVISIONAL NEGATIVE ON UNIQUENESS; A6 README quarantine governs	Captured verifier stdout for same-eom/different-boundary counteractions	CONFIRMS action/mass-generator nonuniqueness	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_scaffold_separation.py	Scoped regular universal F(Y) no-go; C2 escape retained; A6 README quarantine governs	Mechanical verifier source for wr-l exclusion only in f(y) class	NO-CHANGE: scaffold lead cannot close action fork	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_scaffold_separation_out.txt	Scoped regular universal F(Y) no-go; C2 escape retained; A6 README quarantine governs	Captured verifier stdout for wr-l exclusion only in f(y) class	NO-CHANGE: scaffold lead cannot close action fork	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_solution_space_closure.py	PROVISIONAL ANALYTIC LEAD; ACTION OPEN; A6 README quarantine governs	Mechanical verifier source for lapse identity/raw flux/inverse functional	NO-CHANGE: no normalized mass/native action	ALGEBRA-ONLY	Claim-limited by its disclaimer and A6 README; not copied as Stage-II proof.
A6 archive	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_solution_space_closure_out.txt	PROVISIONAL ANALYTIC LEAD; ACTION OPEN; A6 README quarantine governs	Captured verifier stdout for lapse identity/raw flux/inverse functional	NO-CHANGE: no normalized mass/native action	ALGEBRA-ONLY	PASS certifies encoded expressions only; never premises, completeness, uniqueness, physics, boundary, carrier provenance, or conclusions.
