path	r0_classification	artifact_role_or_title	size_bytes	git_blob_oid	sha256	first_commit_date	last_commit_date	last_commit	last_commit_subject	inbound_occurrences	inbound_sources	frozen_inbound_sources	prohibited_dependency_edges	unresolved_path_touches	destination	disposition	rationale	corrected_inbound_occurrences	corrected_inbound_sources	corrected_frozen_inbound_sources	corrected_eligibility_recheck
nonstationary_opener_results.md	ARCHIVE_CANDIDATE	The Nonstationary Opener (N1 + N2) — Results: THE FORK ADJUDICATED	7264	3e50022e489a3c87b23a56757d6471e1f69d41df	1347caa34e9cb868246e77dd5e565f37eb3017a0674bd98717ceb46b2d8f8836	2026-06-11	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	47	15	ns_scan_results.md;w_stiffness_results.md	0	0	-	RETAIN_R1A	Retain The Nonstationary Opener (N1 + N2) — Results: THE FORK ADJUDICATED; FROZEN_INBOUND:ns_scan_results.md,w_stiffness_results.md	47	15	ns_scan_results.md;w_stiffness_results.md	RETAIN_UNCHANGED
origin_prompts_screenshot_2025-08-12.png	UNKNOWN/BLOCKED	PROVENANCE_IMAGE	185813	ae0b6eba2787d52abd129daac5628030fcdfd767	524888c8fac497860857677f14893cb4f7f790f9ab6689d8f90ca21876f1330c	2026-06-10	2026-06-10	39b000c56422f1b90021532940f3212900ea6fa5	Archive origin-prompts source screenshot (provenance artifact)	4	3	-	0	0	-	RETAIN_R1A	Retain PROVENANCE_IMAGE; R0_UNKNOWN:PROVENANCE_IMAGE; NOT_MARKDOWN_TEXT_RECORD	4	3	-	RETAIN_UNCHANGED
p1_VERIFIER.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/p1_VERIFIER.md` (pre-native-era census).**	279	34ec6a9280d6165d86a75c2e04ec031f7b71bbed	297c0d8fd02e79f031d3bef3bc8ac1622bb0b97e05ac2b622d5394beae6d5245	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	18	5	p2_matter_fullmetric_results.md	0	0	-	RETAIN_R1A	Retain > **MOVED 2026-07-06 → `archive/pre_native_coupled/p1_VERIFIER.md` (pre-native-era census).**; FROZEN_INBOUND:p2_matter_fullmetric_results.md	19	6	p2_matter_fullmetric_results.md	RETAIN_UNCHANGED
p1_offdiag_wiring_results.md	ARCHIVE_CANDIDATE	P1 -- Off-diagonal wiring to the general Einstein: results	17634	c20baf6642db054959a5e0ad6cbdf5d63c469a50	b93e73e91ade1492147952d383e8296fb67a6c08e8933d8a0967fe9c6d4bad41	2026-06-19	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	14	5	-	0	0	archive/pre_2026-07-01/p1_offdiag_wiring_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (P1 -- Off-diagonal wiring to the general Einstein: results); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	14	5	-	PASS_UNCHANGED
phase3b_descend_m2_out.json	UNKNOWN/BLOCKED	NUMERICAL_JSON	926	03ed136473ce342adfc642e8ad164eac52c1dbe3	99583b4251092be30583ccc5586d6826df3eb6c8be41bc50102df1f22d03be2b	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain NUMERICAL_JSON; R0_UNKNOWN:NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
phase3b_descend_m3_out.json	UNKNOWN/BLOCKED	NUMERICAL_JSON	924	b603765f1fe43e49ba345ad79a3dda87cebf4fe3	84f8cce163d9d28b65889a26a44fdf200cd48b11e1a0d0293b08cc31e2370232	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain NUMERICAL_JSON; R0_UNKNOWN:NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
provenance_origin_prompts_2025-08-12.png	UNKNOWN/BLOCKED	PROVENANCE_IMAGE	185813	ae0b6eba2787d52abd129daac5628030fcdfd767	524888c8fac497860857677f14893cb4f7f790f9ab6689d8f90ca21876f1330c	2026-06-10	2026-06-10	7565f9c6dca739326b288dd471ccaa0993270b40	Archive metric origin prompts (2025-08-12, Grok) with provenance record	4	3	-	0	0	-	RETAIN_R1A	Retain PROVENANCE_IMAGE; R0_UNKNOWN:PROVENANCE_IMAGE; NOT_MARKDOWN_TEXT_RECORD	4	3	-	RETAIN_UNCHANGED
radial_Bfree_depth.out	UNKNOWN/BLOCKED	RUNTIME_OUTPUT	2264	1106b3d57e8691d934483d74ff9157f92170f11f	b0cf97654b6b1234499a4c3f92ba8bcccc8d4753280d89410e9f30a4beb21215	2026-06-15	2026-06-15	e3b173f6034c92c1a35e671afbfb4c6fc3ff0790	RESULT: CORRECTED radial soliton with B=1/A FREED passes full Einstein gate (#55 fix)	7	3	-	1	0	-	RETAIN_R1A	Retain RUNTIME_OUTPUT; R0_UNKNOWN:RUNTIME_OUTPUT; NOT_MARKDOWN_TEXT_RECORD; PROHIBITED_DEPENDENCY:FILE_PATH:legacy/root_oneoffs_2026-07-01/radial_Bfree_depth.py	7	3	-	RETAIN_UNCHANGED
radial_Bfree_diag.out	UNKNOWN/BLOCKED	RUNTIME_OUTPUT	1129	adc6d2d989ff38207b8b65a2fb5c36e0a33b19f1	1b5bcf70fa62007c7c5edb214f9664132ca7499c9679829e7f095e155954c7c5	2026-06-15	2026-06-15	40e03b8c9f2be4c1dd8b105bb48a1f3b4505d5ce	BANK: corrected radial soliton (B=1/A freed) verified — true Einstein solution, no discreteness (#56)	7	3	-	1	0	-	RETAIN_R1A	Retain RUNTIME_OUTPUT; R0_UNKNOWN:RUNTIME_OUTPUT; NOT_MARKDOWN_TEXT_RECORD; PROHIBITED_DEPENDENCY:FILE_PATH:legacy/root_oneoffs_2026-07-01/radial_Bfree_diag.py	7	3	-	RETAIN_UNCHANGED
scale_symmetry_bootstrap_analysis_results.md	ARCHIVE_CANDIDATE	Scale (Dilatation) Symmetry & the Global-Bootstrap Hypothesis — Analytic OBSERVE	31339	2e88bd45ccf1544139471bb35890c90c3033019c	3e2cf8e02dc37b219de5d7defe0e0c6e137e4fa9a0f8304b9cc401b58a6505c5	2026-06-21	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	37	11	F2_matter_action_forcedness_results.md;F5_critical_universe_closure_results.md;F7_scale_bridge_native_results.md	0	0	-	RETAIN_R1A	Retain Scale (Dilatation) Symmetry & the Global-Bootstrap Hypothesis — Analytic OBSERVE; FROZEN_INBOUND:F2_matter_action_forcedness_results.md,F5_critical_universe_closure_results.md,F7_scale_bridge_native_results.md	37	11	F2_matter_action_forcedness_results.md;F5_critical_universe_closure_results.md;F7_scale_bridge_native_results.md	RETAIN_UNCHANGED
simple_metric_kaleidoscope_K1_out.json	UNKNOWN/BLOCKED	MACRO_NUMERICAL_JSON	203	a1632dc229ef88752bee70afb6d40211569f4a92	77bbb6057db77ced9fa4a2c76c98daa7105f1fccef9d65de23a6dde7cc9612a3	2026-07-09	2026-07-09	072e3d50b87808b5cb99f2d9660a0d735f918669	Kaleidoscope residual L, pure BAO AP, and time-live intermediate probes	1	1	-	0	0	-	RETAIN_R1A	Retain MACRO_NUMERICAL_JSON; R0_UNKNOWN:MACRO_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-09	1	1	-	RETAIN_UNCHANGED
simple_metric_kaleidoscope_K2b_out.json	UNKNOWN/BLOCKED	MACRO_NUMERICAL_JSON	254	cb611e8468acd22c835c57bc1f78e27c8bfe66fa	238a9ab03ba51d3b853ea6ffa8094dce6f73ee35a19eea9c3d727d8f73c8576a	2026-07-09	2026-07-09	072e3d50b87808b5cb99f2d9660a0d735f918669	Kaleidoscope residual L, pure BAO AP, and time-live intermediate probes	1	1	-	0	0	-	RETAIN_R1A	Retain MACRO_NUMERICAL_JSON; R0_UNKNOWN:MACRO_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-09	1	1	-	RETAIN_UNCHANGED
static_soliton_rerun_derived_operator_results.md	ARCHIVE_CANDIDATE	Static Charge-1 Soliton, Re-Solved on the Newly-Derived Gravitational Operator — BOUNDED OBSERVE	18826	dc331c35a70240ad9c0bddec1527d00456c4c056	e327dee6f9bf41cba356f923edc84c07b348fa87a6b2a3542b8064de7ba93be7	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	46	14	-	0	0	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (Static Charge-1 Soliton, Re-Solved on the Newly-Derived Gravitational Operator — BOUNDED OBSERVE); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	46	14	-	PASS_UNCHANGED
timelive_nonround_VERIFIER.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/timelive_nonround_VERIFIER.md` (pre-native-era census).**	294	76fdd4bf139d00f6ecaeee2b94e0eae23566e74a	a6271e006f62e5c8332f357d6d9310f8de98f63bf199b7bb5efe3e81b7e1c4c5	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	10	3	-	0	0	archive/pre_2026-07-01/timelive_nonround_VERIFIER.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/timelive_nonround_VERIFIER.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	11	4	-	PASS_UNCHANGED
timelive_nonround_native_solve_results.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/timelive_nonround_native_solve_results.md` (pre-native-era census).**	306	51a75228390093281e021193bb671a4ccd72969c	004f987642c86b4cfd0e4dcf9dd2866a6b36575324af44138d1682e7d3a3cdd9	2026-06-19	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	36	12	-	0	0	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/timelive_nonround_native_solve_results.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	36	12	-	PASS_UNCHANGED
u_plat_m1_18x8x8.json	UNKNOWN/BLOCKED	PLATEAU_NUMERICAL_JSON	785	5130f18579430f95b44dbce4414c3ba8a409a5f1	e8c854090eb519dd1f1d20b9927e6a867cc814c45b1e2a3d91c8918121adf1d1	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain PLATEAU_NUMERICAL_JSON; R0_UNKNOWN:PLATEAU_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
u_plat_m1_18x8x8.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	47305	7d25199e852d48bd5afb10bda89e4cee5d12e62b	07ce7b192aed910cea3fe04eaaf01329040bc423c7155fedbb383370b67bb83d	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
u_plat_m2_18x8x8.json	UNKNOWN/BLOCKED	PLATEAU_NUMERICAL_JSON	777	485132880e08f380452df5aad763d7262f45e41c	ba396691bdba8d7cc18c515802f92d9b230553b96d44fe1373c2006fa173d032	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain PLATEAU_NUMERICAL_JSON; R0_UNKNOWN:PLATEAU_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
u_plat_m3_18x8x8.json	UNKNOWN/BLOCKED	PLATEAU_NUMERICAL_JSON	777	b28f80112f2ea376561db6d0ed6a0d2e83316b35	84c95651c77fca01b595c4e32cf0bc806e07f71ac3735081b73b62a7c0fbc935	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain PLATEAU_NUMERICAL_JSON; R0_UNKNOWN:PLATEAU_NUMERICAL_JSON; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
u_plat_m3_18x8x8.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	47305	99a350c5acbc53537702e5475883204c610784e4	4e371f58cdcb6afacb48399650933b86adcf5c78c4b4002401203c606f4f74e8	2026-06-17	2026-06-17	419bfa078a20b8ef84de197eb3afdaefbf6a9af9	Phase 3b: winding ground-state shapes + stability — m=2 toroidal (Skyrme B=2), m=3 axial (NOT tetrahedral)	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
weld_discriminator_results.md	ARCHIVE_CANDIDATE	Weld Discriminator Results	7662	636b0dc233b5cf00aa5a503a4cf04f2f5f769945	935cb27fd6e15b48d6b7e04289466a9d27ab32dc623f6125c0def3cd2ce6f487	2026-06-10	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	4	3	-	0	0	archive/pre_2026-07-01/weld_discriminator_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (Weld Discriminator Results); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	5	4	-	PASS_UNCHANGED
weld_status_results.md	ARCHIVE_CANDIDATE	Weld Status Results	8041	9ec1f5163719380c0b0dfacb059e5862e68dc69c	6742854ec2e881197487382787a18990a4a994271da8d5499d3ecb8fcf989ab8	2026-06-10	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	19	7	weld_interface_mode_results.md	0	0	-	RETAIN_R1A	Retain Weld Status Results; FROZEN_INBOUND:weld_interface_mode_results.md	21	8	weld_interface_mode_results.md	RETAIN_UNCHANGED
xexplore_field_X10.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35155	e89c7269f0a6ad0de9bcd14eef2dbaa1698fce5b	33374c7c7c0e9efbb21b496d4f14c98426fb46aa5e1623d79baed2a2412eab6a	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
xexplore_field_X100.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35160	41cc15e033e66e24dc23a4fe6acfb02b7bd7a46d	cb8bb36cd09e5c8d3b38364200f12a11cacfc87361ea65ba0a6dd570dd1ef0f6	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
xexplore_field_X1000.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35165	7a479ffcd24c5cb8dd6bb52b9520fe774c22d8d8	0887010c0e9e8570768643f1c8f2c0b6179f554008b2e67a9d9b30329aed9795	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
xexplore_field_X3.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35150	bfd352179305da96a8b28755a0f55a4510ec9a95	68d5355681710df89a585dd533a7d38ce89be486afedb75c99c4f066af095c65	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
xexplore_field_X30.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35155	3ec5c8181a876c91c276b4488be833fed79cea18	1062a2cdf4bfa94a344de7bddd5bafdc307c96d9829e03fca324f87c5308b9c7	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
xexplore_field_X300.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35160	68f68f744e45566cdacd54af82b560779b1f795c	114b6407672d0f01f8264fe8d7febaff26b9623d9e0b76924c5027b0327d88be	2026-06-30	2026-06-30	35e45d22d170f2a22e3c20ee5455a527cf806e51	PIVOT: conditioning wall = the X=-2e5 Cassini KLUGE, not numerics; X is the lone observation-fit number	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD	1	1	-	RETAIN_UNCHANGED
