v_minus	v_plus	signed_determinant	p_abs_determinant	q_representative_convention	topology_class	cap_regularity	coverage_status
(1,3)	(3,-1)	-10	10	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(1,3)	(3,1)	-8	8	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(1,3)	(3,2)	-7	7	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(0,1)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,-3)	-3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,-2)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,-1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,0)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,1)	5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,2)	7	7	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(1,3)	9	9	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(2,-3)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(2,-1)	4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(2,1)	8	8	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(2,3)	12	12	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(3,-2)	5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(3,-1)	7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(3,1)	11	11	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-3)	(3,2)	13	13	8	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(0,1)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,-3)	-5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,-2)	-3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,-1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,0)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,1)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,2)	5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(1,3)	7	7	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(2,-3)	-4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(2,-1)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(2,1)	4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(2,3)	8	8	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(3,-2)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(3,-1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(3,1)	5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,-1)	(3,2)	7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(0,1)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,-3)	-7	7	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,-2)	-5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,-1)	-3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,0)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,2)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(1,3)	5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(2,-3)	-8	8	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(2,-1)	-4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(2,1)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(2,3)	4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(3,-2)	-7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(3,-1)	-5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(3,1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,1)	(3,2)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(0,1)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,-3)	-9	9	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,-2)	-7	7	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,-1)	-5	5	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,0)	-3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,2)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(1,3)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(2,-3)	-12	12	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(2,-1)	-8	8	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(2,1)	-4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(2,3)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(3,-2)	-13	13	8	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(3,-1)	-11	11	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(3,1)	-7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(2,3)	(3,2)	-5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(0,1)	3	3	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,-3)	-7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,-2)	-4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,-1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,0)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,1)	5	5	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,2)	8	8	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(1,3)	11	11	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(2,-3)	-5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(2,-1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(2,1)	7	7	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(2,3)	13	13	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(3,-2)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(3,-1)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(3,1)	9	9	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-2)	(3,2)	12	12	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(0,1)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,-3)	-8	8	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,-2)	-5	5	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,-1)	-2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,0)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,1)	4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,2)	7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(1,3)	10	10	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(2,-3)	-7	7	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(2,-1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(2,1)	5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(2,3)	11	11	8	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(3,-2)	-3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(3,-1)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(3,1)	6	6	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,-1)	(3,2)	9	9	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(0,1)	3	3	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,-3)	-10	10	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,-2)	-7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,-1)	-4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,0)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,1)	2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,2)	5	5	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(1,3)	8	8	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(2,-3)	-11	11	8	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(2,-1)	-5	5	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(2,1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(2,3)	7	7	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(3,-2)	-9	9	7	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(3,-1)	-6	6	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(3,1)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,1)	(3,2)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(0,1)	3	3	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,-3)	-11	11	4	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,-2)	-8	8	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,-1)	-5	5	2	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,0)	-2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,1)	1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,2)	4	4	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(1,3)	7	7	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(2,-3)	-13	13	5	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(3,2)	(2,-1)	-7	7	3	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
