original_path	current_path	fixed_snapshot_owner	fixed_snapshot_evidence	effective_primary_owner	operator_provenance	imported_action_or_coupling	comparison_readout	role	scientific_lifecycle	path_migration_safety	scientific_family	adjudication_source	review_status
cascade_sf_d5b_extra.py	cascade_sf_d5b_extra.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C08_STABILITY_STAGE1	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageA_extra.py	cascade_stageA_extra.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C01_STAGE_A	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageA_lib.py	cascade_stageA_lib.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C01_STAGE_A	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageA_results.json	cascade_stageA_results.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageA_results.md	cascade_stageA_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageA_run.py	cascade_stageA_run.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C01_STAGE_A	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageA_sanity.py	cascade_stageA_sanity.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C01_STAGE_A	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_above.py	cascade_stageB_above.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_analysis.py	cascade_stageB_analysis.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_bisect.py	cascade_stageB_bisect.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_common.py	cascade_stageB_common.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_results.md	cascade_stageB_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageB_rungs.json	cascade_stageB_rungs.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageB_sanity.py	cascade_stageB_sanity.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_sweep.json	cascade_stageB_sweep.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageB_sweep.py	cascade_stageB_sweep.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageB_twomethod.py	cascade_stageB_twomethod.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C02_STAGE_B	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageC_c1_A1m2_Z8.json	cascade_stageC_c1_A1m2_Z8.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_c2_A1m3_Z1.json	cascade_stageC_c2_A1m3_Z1.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_c3_A2k3_Z8.json	cascade_stageC_c3_A2k3_Z8.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_c4_A3_Z8.json	cascade_stageC_c4_A3_Z8.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_c5_A1m4_Z8.json	cascade_stageC_c5_A1m4_Z8.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_lib.py	cascade_stageC_lib.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C03_STAGE_C	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageC_primary_table.json	cascade_stageC_primary_table.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_results.md	cascade_stageC_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageC_run.py	cascade_stageC_run.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C03_STAGE_C	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageC_twomethod.json	cascade_stageC_twomethod.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageD_prereg.md	cascade_stageD_prereg.md	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	FROZEN	IMMUTABLE_PATH_RETAIN	C13_STAGED_PREREG	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageD_results.md	cascade_stageD_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_stageD_sweep_refine.py	cascade_stageD_sweep_refine.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C14_STAGED_DATA	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_stageD_sweep_scan.py	cascade_stageD_sweep_scan.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C14_STAGED_DATA	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_th2_bottom_beta.py	cascade_th2_bottom_beta.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF01_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_th2_bottom_system.py	cascade_th2_bottom_system.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF01_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_th2_cas_checks.py	cascade_th2_cas_checks.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF01_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_th2_cas_kappa.py	cascade_th2_cas_kappa.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF01_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_th2_final_table.json	cascade_th2_final_table.json	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cascade_th2_final_table.py	cascade_th2_final_table.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C06_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_th2_launch.py	cascade_th2_launch.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF01_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_th2_nodewise.py	cascade_th2_nodewise.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C06_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_th2_predict_measure.py	cascade_th2_predict_measure.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C06_THETA0_ACCUMULATION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_tw_cas.py	cascade_tw_cas.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_IMMUTABLE_FAMILY_COMPANION	SF02_TWIN_LADDER_INVOLUTION	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv+R1G:B02_B03_ADJUDICATION.tsv+R1H:B02_B03_SCIENTIFIC_FAMILY_CLOSURE.tsv	R1H_SCIENTIFIC_FAMILY_REVIEWED
cascade_tw_confirm.py	cascade_tw_confirm.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C07_TWIN_LADDER	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_tw_n1twin.py	cascade_tw_n1twin.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C07_TWIN_LADDER	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_tw_pred.py	cascade_tw_pred.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C07_TWIN_LADDER	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_tw_probe.py	cascade_tw_probe.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C07_TWIN_LADDER	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cascade_tw_reshoot.py	cascade_tw_reshoot.py	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	FOUNDATIONS	NATIVE_2026-07-01	NONE	NONE	NONE	HISTORICAL	BLOCKED_PROVENANCE_CORRECTION_REQUIRED	C07_TWIN_LADDER	R1G:AFFECTED_CASCADE_FILE_CENSUS.tsv	R1G_ADJUDICATED
cell_solver_composite.py	cell_solver_composite.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMPORT_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d.py	cell_solver_f2d.py	CROSS_LANE_SHARED	MULTIPLE_ACTIVE_LANE_CONSUMERS+DEPENDENCY_EVIDENCE	CROSS_LANE_SHARED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:RETAIN_ROOT	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_BUILDNOTES.md	cell_solver_f2d_BUILDNOTES.md	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:MOVE_READY	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_N2.py	cell_solver_f2d_N2.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMPORT_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_N2_results.md	cell_solver_f2d_N2_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_classB_run.py	cell_solver_f2d_classB_run.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:POINTER_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_classB_run_results.md	cell_solver_f2d_classB_run_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_embedded_run.py	cell_solver_f2d_embedded_run.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMPORT_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_embedded_run_results.md	cell_solver_f2d_embedded_run_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_embedded_scan.py	cell_solver_f2d_embedded_scan.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:POINTER_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_first_build.py	cell_solver_f2d_first_build.py	LEGACY_FROZEN	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMPORT_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_f2d_first_build_results.md	cell_solver_f2d_first_build_results.md	LEGACY_FROZEN	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	LEGACY_FROZEN	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:IMMUTABLE_PATH	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
cell_solver_round.py	cell_solver_round.py	MACRO	DEPENDENCY_CONSUMER_COHERENCE+CONTENT_OR_COMMIT_PROVENANCE	MACRO	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED	INHERITED_UNREVIEWED:POINTER_MIGRATION_REQUIRED	INHERITED_UNREVIEWED	R1C_FIXED_SNAPSHOT_INHERITANCE	INHERITED_UNREVIEWED
