current_path	primary_owner	migration_readiness	blocking_or_change_requirement	inbound_dependency_categories	inbound_dependency_sources	unresolved_dynamic_touches	recommended_destination_if_migrated
UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	NATIVE_ACTION	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE	NONE	NONE	0	-
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	NATIVE_ACTION	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE	STARTUP;TEXT_REFERENCE	INDEX.md	0	-
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	NATIVE_ACTION	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;archive/native_action_chat_2026-07-14_15/README.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round2_final.md;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_final.md;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_final.md;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_NATURE_LEAN_FRAME.md	MACRO	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	STARTUP;TEXT_REFERENCE	LIVE.md;UDT_ELEGANCE_UNCOVER.md;codex_rehearsal_transcript.txt;simple_metric_J1_honesty_skeleton_results.md;simple_metric_relational_rooms_continue_results.md;simple_metric_rooms_filled_local.py;simple_metric_rooms_filled_local_results.md;simple_metric_skeleton_reach_closure.py;simple_metric_skeleton_reach_closure_results.md	0	-
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	FOUNDATIONS	IMMUTABLE_PATH	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;archive/native_action_chat_2026-07-14_15/README.md;archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round1_final.md;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_final.md;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_final.md;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_final.md;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_final.md;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	FOUNDATIONS	MANIFEST_MIGRATION_REQUIRED	MANIFEST_DEPENDENCY_REQUIRES_SEPARATE_AUTHORITY	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	FOUNDATIONS	MANIFEST_MIGRATION_REQUIRED	MANIFEST_DEPENDENCY_REQUIRES_SEPARATE_AUTHORITY	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	FOUNDATIONS	IMMUTABLE_PATH	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MUTUAL_DILATION_RESISTANCE_VERIFY_DISPATCH.md;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_final.md;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_final.md;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	NATIVE_ACTION	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE;MANIFEST_EDGE_TARGET;ROOT_MANIFEST	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	FOUNDATIONS	IMMUTABLE_PATH	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	MANIFEST;TEXT_REFERENCE	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_final.md;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;native_action_sync_audit_2026-07-17/source_SHA256SUMS.txt	0	-
angular_completeness_results.md	LEGACY_FROZEN	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE	TEXT_REFERENCE	NEGATIVES_REGISTRY.md;archive/sf_scan_results.md;legacy/root_oneoffs_2026-07-01/offdiag_gateB_character.py;legacy/root_oneoffs_2026-07-01/sf_scan_symcheck.py;legacy/root_oneoffs_2026-07-01/w_stiffness_routeA_enlarged_class.py;solution_space_map.md	0	-
angular_lagrangian_results.md	LEGACY_FROZEN	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	TEXT_REFERENCE	CANON.md;F2_matter_action_forcedness_results.md;MATTER_SECTOR_MAP_new_foundation.md;STATE.md;angular_lagrangian_verifier_results.md;archive/RECON_B_microphysics.md;archive/coupled_cell_soliton_results.md;archive/fermion_forcing_results.md;d1_charge_channel_projection_MAP.md;i_flow_hbar_clock_MAP.md;legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B1.py;legacy/root_oneoffs_2026-07-01/coupled_cell_soliton_B2.py;matter_amplitude_native_MAP_2026-06-29.md;matter_regrade_derived_operator_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;no_selector_audit_results.md;node1_seal_spin_verdict_results.md	0	-
angular_lagrangian_verifier_results.md	LEGACY_FROZEN	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	TEXT_REFERENCE	CANON.md;STATE.md;angular_lagrangian_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	0	-
artifact_manifest.json	PARTICLE_MASS	MANIFEST_MIGRATION_REQUIRED	MANIFEST_DEPENDENCY_REQUIRES_SEPARATE_AUTHORITY	FILE_PATH;STARTUP;TEXT_REFERENCE	INDEX.md;LIVE.md;UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md;codex_rehearsal_transcript.txt;noNull_artifact_manifest.py	0	-
b1prime_3d_offround_residual.py	LEGACY_FROZEN	IMPORT_MIGRATION_REQUIRED	PYTHON_IMPORT_OR_TEST_PATH_CLOSURE_REQUIRED	PYTHON_IMPORT;TEXT_REFERENCE	HANDOFF_ARCHIVE.md;archive/COMPLETION_PROGRAM.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/branch_operator_results.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;b1prime_3d_offround_residual.py;branch_operator.py;branch_operator_contamination_ledger.md;free_s2_matter.py;legacy/root_oneoffs_2026-07-01/b1prime_3d_offround_validate.py;p1_residual_general_einstein.py;prototype/branchGP_native_s2_coupled_OBSERVE.py	0	-
basin_audit_manifest.json	LEGACY_FROZEN	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE;ROOT_MANIFEST	FILE_PATH;TEXT_REFERENCE	legacy/root_oneoffs_2026-07-01/basin_audit.py	0	-
branchP_solver_floor_xcontinuation_results.md	LEGACY_FROZEN	IMMUTABLE_PATH	R0_FROZEN_EVIDENCE	TEXT_REFERENCE	NEGATIVES_REGISTRY.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;branch_operator_contamination_ledger.md	0	-
branch_operator.py	NATIVE_ACTION	IMMUTABLE_PATH	REFERENCED_BY_SIX_FROZEN_PACKAGES	PYTHON_IMPORT;TEST;TEXT_REFERENCE	HANDOFF_ARCHIVE.md;N5d_solver_build_plan.md;NEGATIVES_REGISTRY.md;STATE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md;archive/MIGRATION.md;archive/branch_operator_results.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;branchP_solver_floor_xcontinuation_results.md;branch_operator.py;branch_operator_contamination_ledger.md;legacy/root_oneoffs_2026-07-01/d1_radial_localize.py;legacy/root_oneoffs_2026-07-01/x_solution_space_explore.py;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;p1_residual_general_einstein.py;pre_native_era_census.md;prototype/branchGP_native_s2_coupled_OBSERVE.py;tests/test_branch_operator.py;tests/test_solver_integrity.py	0	-
branch_operator_contamination_ledger.md	CROSS_LANE_SHARED	RETAIN_ROOT	ROOT_CONTROL_OR_SHARED_INTERFACE	NONE	NONE	0	-
cascade_bv10_E2_period.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv10_E2_period.py
cascade_bv10_E2_symbolic.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv10_E2_symbolic.py
cascade_bv10_E3_bottom.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv10_E3_bottom.py
cascade_bv10_assembly.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt;stageD_forecast_gen.py;stageD_frozen_forecast.md	0	-
cascade_bv10_cas.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv10_cas.py
cascade_bv10_reshoot.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv10_reshoot.py
cascade_bv11_lib.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_lib.py
cascade_bv11_v1_root.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_v1_root.py
cascade_bv11_v1_scan.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv11_v1_tolcheck.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_v1_tolcheck.py
cascade_bv11_v2_desert.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_v2_desert.py
cascade_bv11_v3_cap.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_v3_cap.py
cascade_bv11_v4_cas.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv11_v4_cas.py
cascade_bv11_v5_product.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv13_backgrounds.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv13_matrices.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv13_matrices2.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	cascade_s2_core.py	0	-
cascade_bv13_su_trans.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv13_su_trans.py
cascade_bv13_vhat_probe.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv13_vhat_probe.py
cascade_bv13_w1_classes.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv13_w1_classes.py
cascade_bv13_w1_machinery.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv13_w2_w3cas.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv13_w2_w3cas.py
cascade_bv13_w5_homothety.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv13_w5_homothety.py
cascade_bv14_counts.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_counts.py
cascade_bv14_lib.py	LEGACY_FROZEN	IMPORT_MIGRATION_REQUIRED	PYTHON_IMPORT_OR_TEST_PATH_CLOSURE_REQUIRED	PYTHON_IMPORT;TEXT_REFERENCE	cascade_s3_lib.py;cascade_s3_predictions.md	0	-
cascade_bv14_shoot.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv14_spare_a_sens.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_spare_a_sens.py
cascade_bv14_su.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_su.py
cascade_bv14_summary.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_summary.py
cascade_bv14_tolsweep.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_tolsweep.py
cascade_bv14_validate.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv14_validate.py
cascade_bv15_asm.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv15_asm.py
cascade_bv15_bg.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv15_x1_ladder.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv15_x1_ladder.py
cascade_bv15_x1_validate.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv15_x1_validate.py
cascade_bv15_x2_anatomy.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv15_x2_anatomy.py
cascade_bv15_x3_c2.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv15_x3_c2.py
cascade_bv15_x3_ray.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv16_cas.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv16_cas.py
cascade_bv16_rungs.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv5_c1_scan.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_c1_scan.py
cascade_bv5_c1c2c3_roots.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_c1c2c3_roots.py
cascade_bv5_c4_bigN.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_c4_bigN.py
cascade_bv5_c4_floor_audit.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_c4_floor_audit.py
cascade_bv5_c4_refine.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv5_c5_stuck.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_c5_stuck.py
cascade_bv5_common.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv5_common.py
cascade_bv6_c1_refine.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv6_c1_refine.py
cascade_bv6_c1_sweep.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv6_c1_sweep.py
cascade_bv6_c2.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv6_c4.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv6_lib.py	LEGACY_FROZEN	IMPORT_MIGRATION_REQUIRED	PYTHON_IMPORT_OR_TEST_PATH_CLOSURE_REQUIRED	PYTHON_IMPORT;TEXT_REFERENCE	cascade_stageD_sweep_refine.py;stageD_sweep_results_raw.md	0	-
cascade_bv6_probe.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv6_probe.py
cascade_bv6_xcheck.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv6_xcheck.py
cascade_bv7_core.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
cascade_bv7_t1_refine.py	LEGACY_FROZEN	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	NONE	NONE	0	archive/pre_2026-07-01/cascade_bv7_t1_refine.py
cascade_bv7_t1_sweep.py	LEGACY_FROZEN	POINTER_MIGRATION_REQUIRED	EXACT_MUTABLE_POINTER_CLOSURE_REQUIRED	TEXT_REFERENCE	codex_rehearsal_transcript.txt	0	-
