current_path	artifact_type	first_commit_date	last_commit_date	physics_status_source	frozen_manifest_status	runtime_import_test_dependencies	primary_owner	secondary_consumers	ownership_evidence	current_frontier_target
cell_solver_f2d_first_build_results.md	MARKDOWN	2026-07-01	2026-07-01	SELF_STATUS_BANNER:cell_solver_f2d_first_build_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
cell_solver_round.py	PYTHON	2026-07-01	2026-07-09	DEPENDENCY_STATUS_SOURCE:HANDOFF_ARCHIVE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;f_rtheta_free_field_MAP.md;matter_filled_background_closure_DESIGN.md;simple_metric_alpha_restoring_probe_results.md;threadB_WORKSTATION_DISPATCH.md;threadB_coupled_cell_flatness_Lselector_CHARTER.md	NOT_FROZEN_OR_MANIFEST	NONE	MACRO	NONE	DEPENDENCY_CONSUMER_COHERENCE+CONTENT_OR_COMMIT_PROVENANCE	NO
cell_solver_universe_T3.py	PYTHON	2026-07-02	2026-07-02	DEPENDENCY_STATUS_SOURCE:archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;d2a_switch_criterion_interior.md;d2c_gp_composite_conditions.md;microphysics_E0_ambient_tables.md;microphysics_E1_composite_closure_results.md;r1_route_fork_native_derivation.md;stageD_sweep_results_raw.md;udt_no_homogeneous_universe_results.md	NOT_FROZEN_OR_MANIFEST	PYTHON_IMPORT[29]=cascade_bv10_reshoot.py;cascade_bv16_rungs.py;cascade_bv9_fluxlaw_char.py;cascade_bv9_reshoot.py;cascade_bv9_reshoot_Z1.py;cascade_lemD_bessel.py;cascade_lemD_final.py;cascade_lemD_reshoot.py;cascade_or_energy_numeric.py;cascade_or_energy_rung1_and_alignment.py;cascade_s2_core.py;cascade_sf_d5_spotcheck.py;cascade_stageA_lib.py;cascade_stageB_above.py;cascade_stageB_bisect.py;cascade_stageB_sanity.py;cascade_stageB_sweep.py;cascade_stageB_twomethod.py;cascade_stageC_lib.py;cascade_stageD_sweep_refine.py;cascade_stageD_sweep_scan.py;cascade_th2_nodewise.py;cascade_th2_predict_measure.py;cascade_tw_confirm.py;cascade_tw_n1twin.py;cascade_tw_probe.py;cascade_tw_reshoot.py;explore_universe_T3_risefall_scan.py;microphysics_E0_extract.py	LEGACY_FROZEN	NATIVE_ACTION	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
check_winding_survival.py	PYTHON	2026-06-27	2026-06-27	DEPENDENCY_STATUS_SOURCE:archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;branch_operator_contamination_ledger.md;kap8_characterization_complete_solver_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	PRE_JULY_PROVENANCE+R0_MOVE_OR_ARCHIVE_CLASS	NO
classB_embedded_rung_gatecheck_results.md	MARKDOWN	2026-07-07	2026-07-07	SELF_STATUS_BANNER:classB_embedded_rung_gatecheck_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
classB_rung_resonance_classification_results.md	MARKDOWN	2026-07-07	2026-07-07	SELF_STATUS_BANNER:classB_rung_resonance_classification_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
classB_rung_resonance_owed_first_adjudication.md	MARKDOWN	2026-07-07	2026-07-07	SELF_STATUS_BANNER:classB_rung_resonance_owed_first_adjudication.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
classB_rung_resonance_prebuild_test_DESIGN.md	MARKDOWN	2026-07-07	2026-07-07	SELF_STATUS_BANNER:classB_rung_resonance_prebuild_test_DESIGN.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
classify_rung_resonance.py	PYTHON	2026-07-07	2026-07-07	DEPENDENCY_STATUS_SOURCE:classB_rung_resonance_classification_results.md;stageD_frozen_forecast.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
codex_rehearsal_final.md	MARKDOWN	2026-07-17	2026-07-17	SELF_STATUS_BANNER:codex_rehearsal_final.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
codex_rehearsal_transcript.txt	TEXT	2026-07-17	2026-07-17	DEPENDENCY_STATUS_SOURCE:AGENTS.md;CANON.md;CLAUDE.md;CODEX_STARTUP_REHEARSAL_2026-07-17.md;CROSS_MODEL_VERIFY.md;H4_N4rev_sign_certification_results.md;HANDOFF.md;HANDOFF_ARCHIVE.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
cognitive_corral_triggers_results.md	MARKDOWN	2026-06-27	2026-06-27	SELF_STATUS_BANNER:cognitive_corral_triggers_results.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	NONE	LEGACY_FROZEN	NONE	R1B_INDIVIDUAL_HISTORICAL_OR_FROZEN_RULING	NO
complete_metric_sweep_stageB_data.json	JSON	2026-06-15	2026-06-15	DEPENDENCY_STATUS_SOURCE:archive/complete_metric_sweep_stageB_results.md	R0_FROZEN_EVIDENCE	FILE_PATH[1]=legacy/root_oneoffs_2026-07-01/complete_metric_sweep_stageB.py	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
control_offdiagOFF_cold_nr10_G_kap8_1.pt	OPAQUE_DATA	2026-06-29	2026-06-29	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
control_offdiagOFF_cold_nr8_G_kap8_1.pt	OPAQUE_DATA	2026-06-29	2026-06-29	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
controlled_relax_hessian.py	PYTHON	2026-07-11	2026-07-11	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	NOT_FROZEN_OR_MANIFEST	NONE	PARTICLE_MASS	NONE	STABILITY_ARC_SUPPORT_SCRIPT+PAIRED_CURRENT_RECORD	NO
controlled_relax_hessian_out.json	JSON	2026-07-11	2026-07-11	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	FILE_PATH[1]=controlled_relax_hessian.py	LEGACY_FROZEN	PARTICLE_MASS	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
cosine_native_reconciliation_results.md	MARKDOWN	2026-07-08	2026-07-10	SELF_STATUS_BANNER:cosine_native_reconciliation_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	MACRO	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
cosine_reconciliation_check.py	PYTHON	2026-07-08	2026-07-08	DEPENDENCY_STATUS_SOURCE:cosine_native_reconciliation_results.md;matter_filled_background_closure_DESIGN.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_angular_constants_native_rederivation.md	MARKDOWN	2026-07-04	2026-07-04	SELF_STATUS_BANNER:d1_angular_constants_native_rederivation.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_bv_n3_attack.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d1_angular_constants_native_rederivation.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_bv_q13_steelman.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d1_angular_constants_native_rederivation.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_charge_channel_projection_MAP.md	MARKDOWN	2026-07-05	2026-07-06	SELF_STATUS_BANNER:d1_charge_channel_projection_MAP.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NATIVE_ACTION	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_charge_channel_projection_cas.py	PYTHON	2026-07-05	2026-07-05	DEPENDENCY_STATUS_SOURCE:d1_charge_channel_projection_MAP.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_rederive_eta18.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d1_angular_constants_native_rederivation.md;microphysics_E1_composite_closure_results.md;universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_rederive_n3.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d1_angular_constants_native_rederivation.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d1_rederive_q13.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d1_angular_constants_native_rederivation.md;negative_phi_native_geometry.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2_bv_algebra.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:native_field_equations_constrained_two_player_results.md;native_geometric_action_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2_bv_e0_numeric.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2a_switch_criterion_interior.md	MARKDOWN	2026-07-04	2026-07-04	SELF_STATUS_BANNER:d2a_switch_criterion_interior.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2a_switch_criterion_interior.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2a_switch_criterion_interior.md;gp_switch_criterion_results.md;microphysics_D2_two_regime_MAP.md;native_field_equations_constrained_two_player_results.md;native_geometric_action_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2b_closure_endcases_cas.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2b_no_structure_in_G.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	PARTICLE_MASS	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2b_matter_escape_cas.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2b_no_structure_in_G.md;round_matter_reduction_results.md;universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	PARTICLE_MASS	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2b_no_structure_in_G.md	MARKDOWN	2026-07-04	2026-07-18	SELF_STATUS_BANNER:d2b_no_structure_in_G.md	NOT_FROZEN_OR_MANIFEST	NONE	PARTICLE_MASS	NONE	DEPENDENCY_CONSUMER_COHERENCE+CONTENT_OR_COMMIT_PROVENANCE	NO
d2b_reduction_flux_cas.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2b_no_structure_in_G.md;native_field_equations_constrained_two_player_results.md;round_matter_reduction_results.md;universe_cell_vacuum_impossibility_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	PARTICLE_MASS	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2b_routeB_mixing_cas.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2b_no_structure_in_G.md;universe_cell_fold_jc_sigma_results.md;universe_cell_vacuum_impossibility_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	PARTICLE_MASS	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2c_gp_composite_conditions.md	MARKDOWN	2026-07-04	2026-07-04	SELF_STATUS_BANNER:d2c_gp_composite_conditions.md	REFERENCED_BY_SIX_FROZEN_PACKAGES	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2c_part1_mixing.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:PURSUIT_CHARTER_2026-07-04.md;d2c_gp_composite_conditions.md;f2d_virial_step0_results.md;f_rtheta_free_field_MAP.md;microphysics_D2_two_regime_MAP.md;native_geometric_action_results.md;universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
d2c_part2_gp_conditions.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:d2c_gp_composite_conditions.md;embedded_cell_closure_H_amb_results.md;f2d_virial_step0_results.md;microphysics_E1_composite_closure_results.md;seal_matching_junction_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
derive_universe_einstein_d3.py	PYTHON	2026-07-02	2026-07-02	DEPENDENCY_STATUS_SOURCE:microphysics_E0_ambient_tables.md;universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
derive_universe_fold_d1.py	PYTHON	2026-07-02	2026-07-02	DEPENDENCY_STATUS_SOURCE:universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
derive_universe_sigma_d3.py	PYTHON	2026-07-02	2026-07-02	DEPENDENCY_STATUS_SOURCE:universe_cell_fold_jc_sigma_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
derive_xmax_boost.py	PYTHON	2026-07-07	2026-07-09	DEPENDENCY_STATUS_SOURCE:archive/udt_xmax_boost_derivation_results.md;simple_metric_hyperbolic_derive.md;simple_metric_near_miss_explore_results.md;simple_metric_operator_inspiration_SEARCH.md;simple_metric_xmax_POSTULATE.md	NOT_FROZEN_OR_MANIFEST	NONE	MACRO	NONE	DEPENDENCY_CONSUMER_COHERENCE+CONTENT_OR_COMMIT_PROVENANCE	NO
derived_background_and_phi_coupling_DESIGN.md	MARKDOWN	2026-07-07	2026-07-09	SELF_STATUS_BANNER:derived_background_and_phi_coupling_DESIGN.md	NOT_FROZEN_OR_MANIFEST	NONE	FOUNDATIONS	NONE	DEPENDENCY_CONSUMER_COHERENCE+CONTENT_OR_COMMIT_PROVENANCE	NO
dimension_ladder_null_audit.md	MARKDOWN	2026-06-10	2026-06-10	SELF_STATUS_BANNER:dimension_ladder_null_audit.md	NOT_FROZEN_OR_MANIFEST	NONE	CROSS_LANE_SHARED	NONE	R1B_ACTIVE_CROSS_ERA+MULTI_LANE_PROVENANCE	NO
discreteness_preregistration.md	MARKDOWN	2026-07-01	2026-07-01	SELF_STATUS_BANNER:discreteness_preregistration.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2c_bv_gauge.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2c_bv_gauntlet.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2c_mms_certification.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2c_optimizer_hardening_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2d_bv_cert.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2d_bv_checks.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2d_continuation_driver.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:HANDOFF_ARCHIVE.md;PURSUIT_CHARTER_2026-07-04.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_route_fork_E2_arc_2026-07-04.md;microphysics_E2d_resweep_A1Z8_results.md	NOT_FROZEN_OR_MANIFEST	PYTHON_IMPORT[7]=e2d_bv_cert.py;e2d_bv_checks.py;e2d_gridhomotopy_probe.py;e2d_mms_fieldaxis_certification.py;e2e_bv_null_and_stiffness.py;e2e_mms_combinedcell_certification.py;e2e_physinformed_sweep.py	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2d_gridhomotopy_probe.json	JSON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	FILE_PATH[1]=e2d_gridhomotopy_probe.py	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
e2d_gridhomotopy_probe.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2d_resweep_A1Z8_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2d_mms_fieldaxis_certification.json	JSON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	R0_FROZEN_EVIDENCE	FILE_PATH[1]=e2d_mms_fieldaxis_certification.py	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
e2d_mms_fieldaxis_certification.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2d_resweep_A1Z8_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2e_bv_null_and_stiffness.py	PYTHON	2026-07-04	2026-07-04	reorganization_r1b/postmove_forensic_census/ROOT_FILE_INVENTORY.tsv	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2e_mms_combinedcell_certification.json	JSON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2e_physinformed_seed_results.md	R0_FROZEN_EVIDENCE	FILE_PATH[1]=e2e_mms_combinedcell_certification.py	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
e2e_mms_combinedcell_certification.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2e_physinformed_seed_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2e_physinformed_seed.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2e_physinformed_seed_results.md	NOT_FROZEN_OR_MANIFEST	PYTHON_IMPORT[3]=e2e_bv_null_and_stiffness.py;e2e_mms_combinedcell_certification.py;e2e_physinformed_sweep.py	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
e2e_physinformed_sweep.json	JSON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2e_physinformed_seed_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
e2e_physinformed_sweep.py	PYTHON	2026-07-04	2026-07-04	DEPENDENCY_STATUS_SOURCE:microphysics_E2e_physinformed_seed_results.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
einstein_3d_eval.py	PYTHON	2026-06-16	2026-06-16	NEGATIVES_REGISTRY.md:1926	NOT_FROZEN_OR_MANIFEST	PYTHON_IMPORT[8]=b1prime_3d_offround_residual.py;full3d_spectral.py;legacy/p2c_shear_observe.py;legacy/root_oneoffs_2026-07-01/p2_round_s2_solver.py;legacy/root_oneoffs_2026-07-01/p3_validate_baseline.py;legacy/root_oneoffs_2026-07-01/p4_time_live.py;legacy/root_oneoffs_2026-07-01/p5d_timelive.py;prototype/branchGP_native_s2_coupled_OBSERVE.py	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
einstein_3d_general_eval.py	PYTHON	2026-06-21	2026-06-21	DEPENDENCY_STATUS_SOURCE:archive/complete_solver_stage1_general_einstein_results.md	NOT_FROZEN_OR_MANIFEST	PYTHON_IMPORT[5]=legacy/root_oneoffs_2026-07-01/b1prime_shear_twist_energy_hess.py;legacy/root_oneoffs_2026-07-01/b1prime_shear_twist_hessian.py;legacy/root_oneoffs_2026-07-01/b1prime_shear_twist_verdict.py;solver_action.py;tests/test_operator_from_action.py|TEST[1]=tests/test_operator_from_action.py	LEGACY_FROZEN	NATIVE_ACTION	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
einstein_3d_general_gen.py	PYTHON	2026-06-21	2026-06-21	DEPENDENCY_STATUS_SOURCE:P1_PURITY_HARNESS_MAP.md;archive/complete_solver_stage1_general_einstein_results.md	NOT_FROZEN_OR_MANIFEST	FILE_PATH[1]=legacy/root_oneoffs_2026-07-01/gen_einstein_3d_general.py|PYTHON_IMPORT[1]=einstein_3d_general_eval.py	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
einstein_3d_weyl_gen.py	PYTHON	2026-06-16	2026-06-16	NEGATIVES_REGISTRY.md:1926	NOT_FROZEN_OR_MANIFEST	FILE_PATH[1]=legacy/root_oneoffs_2026-07-01/gen_einstein_3d_weyl.py|PYTHON_IMPORT[1]=einstein_3d_eval.py	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
embedded_cell_closure_H_amb_results.md	MARKDOWN	2026-07-01	2026-07-01	SELF_STATUS_BANNER:embedded_cell_closure_H_amb_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
embedded_cell_scan_results.md	MARKDOWN	2026-07-01	2026-07-01	SELF_STATUS_BANNER:embedded_cell_scan_results.md	R0_FROZEN_EVIDENCE	NONE	LEGACY_FROZEN	NONE	R0_FROZEN_EVIDENCE+FIXED_BASE_PROVENANCE	NO
embedded_classB_mini_MAP.md	MARKDOWN	2026-07-02	2026-07-02	SELF_STATUS_BANNER:embedded_classB_mini_MAP.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
embedded_run_gate_rulings.md	MARKDOWN	2026-07-02	2026-07-02	SELF_STATUS_BANNER:embedded_run_gate_rulings.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
embedded_run_mini_MAP.md	MARKDOWN	2026-07-02	2026-07-02	SELF_STATUS_BANNER:embedded_run_mini_MAP.md	NOT_FROZEN_OR_MANIFEST	NONE	LEGACY_FROZEN	NONE	LIVE_PRIOR_CELL_OR_PRE_SIMPLE_METRIC_HISTORY+COMMIT_ERA	NO
