edge_id	direction_id	bank	point_id	from_configuration	to_configuration	from_radius	to_radius	delta_determinant	delta_scalar_curvature	delta_riemann_max_abs	ricci_rank_change	curvature_rank_change	shear_rank_change	twist_rank_change	from_geometry_class	to_geometry_class	from_dphi_class	to_dphi_class	diagnostic_tuple_changed	physical_transition_claimed
D02_B1_P5_E4	D02	B1	P5	R02_3_B1_P5	R02_4_B1_P5	0.75	1.0	-0.09958920099856283	-0.1966795293560149	0.08282191117336707	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P2_E0	D02	B2	P2	O00_B2_P2	R02_0_B2_P2	0.0	0.125	-0.02840344327876876	-0.051474364435092776	0.026541442808348536	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B2_P2_E1	D02	B2	P2	R02_0_B2_P2	R02_1_B2_P2	0.125	0.25	-0.02895515229349699	-0.058017937949039214	0.024319779511748085	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P2_E2	D02	B2	P2	R02_1_B2_P2	R02_2_B2_P2	0.25	0.5	-0.05960850541183871	-0.1356032925143135	0.0456311343846677	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P2_E3	D02	B2	P2	R02_2_B2_P2	R02_3_B2_P2	0.5	0.75	-0.06194666870733423	-0.1615907448931103	0.04739402220803236	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P2_E4	D02	B2	P2	R02_3_B2_P2	R02_4_B2_P2	0.75	1.0	-0.06437654722968733	-0.18745488649390019	0.04703330245362616	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P6_E0	D02	B2	P6	O00_B2_P6	R02_0_B2_P6	0.0	0.125	0.060204130112009535	-0.05320472635016486	0.027087060997156447	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D02_B2_P6_E1	D02	B2	P6	R02_0_B2_P6	R02_1_B2_P6	0.125	0.25	0.057725448938225066	-0.06332260323197049	0.026073509882657848	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P6_E2	D02	B2	P6	R02_1_B2_P6	R02_2_B2_P6	0.25	0.5	0.10841885472512525	-0.15767299021507725	0.04969442135962762	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P6_E3	D02	B2	P6	R02_2_B2_P6	R02_3_B2_P6	0.5	0.75	0.0996751464270087	-0.2003124140910933	0.04816873222123161	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B2_P6_E4	D02	B2	P6	R02_3_B2_P6	R02_4_B2_P6	0.75	1.0	0.091636596239965	-0.24467595032272854	0.06991429428389295	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D02_B3_P3_E0	D02	B3	P3	O00_B3_P3	R02_0_B3_P3	0.0	0.125	-0.005207202723819915	0.050697018914135264	0.025193986503769625	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D02_B3_P3_E1	D02	B3	P3	R02_0_B3_P3	R02_1_B3_P3	0.125	0.25	-0.005225745598719911	0.05345374902378691	0.025474377538905503	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P3_E2	D02	B3	P3	R02_1_B3_P3	R02_2_B3_P3	0.25	0.5	-0.010507384182348867	0.11519774361947473	0.05206330291144446	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P3_E3	D02	B3	P3	R02_2_B3_P3	R02_3_B3_P3	0.5	0.75	-0.010582351118997968	0.12628106446748102	0.05350191310278471	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P3_E4	D02	B3	P3	R02_3_B3_P3	R02_4_B3_P3	0.75	1.0	-0.010657852921557076	0.13739477362933594	0.05498376421037576	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P7_E0	D02	B3	P7	O00_B3_P7	R02_0_B3_P7	0.0	0.125	-0.03332049572914664	0.04746482398831011	0.02533209511859371	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D02_B3_P7_E1	D02	B3	P7	R02_0_B3_P7	R02_1_B3_P7	0.125	0.25	-0.03407975657594564	0.04400469212114332	0.025832687322505342	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P7_E2	D02	B3	P7	R02_1_B3_P7	R02_2_B3_P7	0.25	0.5	-0.07050689381907493	0.07909498903347288	0.053430388413028426	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P7_E3	D02	B3	P7	R02_2_B3_P7	R02_3_B3_P7	0.5	0.75	-0.07375672799430255	0.06956728521222202	0.05628474605227152	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D02_B3_P7_E4	D02	B3	P7	R02_3_B3_P7	R02_4_B3_P7	0.75	1.0	-0.07715635492871331	0.06277874405553799	0.05983891204429129	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B0_P0_E0	D03	B0	P0	O00_B0_P0	R03_0_B0_P0	0.0	0.125	0.0	-0.05578534857888834	0.029321035501022857	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B0_P0_E1	D03	B0	P0	R03_0_B0_P0	R03_1_B0_P0	0.125	0.25	0.0	-0.05686210438950384	0.030992619470712558	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P0_E2	D03	B0	P0	R03_1_B0_P0	R03_2_B0_P0	0.25	0.5	0.0	-0.11695447621085436	0.06699999085049427	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P0_E3	D03	B0	P0	R03_2_B0_P0	R03_3_B0_P0	0.5	0.75	0.0	-0.12126149945331666	0.07368632672925315	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P0_E4	D03	B0	P0	R03_3_B0_P0	R03_4_B0_P0	0.75	1.0	0.0	-0.12556852269577884	0.08037266260801201	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P4_E0	D03	B0	P4	O00_B0_P4	R03_0_B0_P4	0.0	0.125	-0.013650589656519108	-0.05505699848675719	0.02964960429711572	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B0_P4_E1	D03	B0	P4	R03_0_B0_P4	R03_1_B0_P4	0.125	0.25	-0.013778019432718835	-0.05456609579082821	0.03203415722902177	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P4_E2	D03	B0	P4	R03_1_B0_P4	R03_2_B0_P4	0.25	0.5	-0.027943097583479348	-0.10699664805674539	0.07156256527868458	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P4_E3	D03	B0	P4	R03_2_B0_P4	R03_3_B0_P4	0.5	0.75	-0.028467236527360384	-0.10305191326259588	0.08213678132624774	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B0_P4_E4	D03	B0	P4	R03_3_B0_P4	R03_4_B0_P4	0.75	1.0	-0.029001206937909974	-0.09780089055577468	0.09342959811627216	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P1_E0	D03	B1	P1	O00_B1_P1	R03_0_B1_P1	0.0	0.125	-0.008065857429279344	-0.0344074684468149	0.025642890068819594	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B1_P1_E1	D03	B1	P1	R03_0_B1_P1	R03_1_B1_P1	0.125	0.25	-0.008110348123183009	-0.028485111102056954	0.025157725172877513	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P1_E2	D03	B1	P1	R03_1_B1_P1	R03_2_B1_P1	0.25	0.5	-0.016355151311699512	-0.03905185223539791	0.05069781025412242	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P1_E3	D03	B1	P1	R03_2_B1_P1	R03_3_B1_P1	0.5	0.75	-0.016536076619516837	-0.014871029389863483	0.05134567930185027	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P1_E4	D03	B1	P1	R03_3_B1_P1	R03_4_B1_P1	0.75	1.0	-0.01671900337424015	0.009712940790188973	0.05207589977021923	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P5_E0	D03	B1	P5	O00_B1_P5	R03_0_B1_P5	0.0	0.125	0.0952831663541962	-0.034636868715502464	0.025214636627392744	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B1_P5_E1	D03	B1	P5	R03_0_B1_P5	R03_1_B1_P5	0.125	0.25	0.08907446945888475	-0.029165720640612375	0.023864774828789393	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P5_E2	D03	B1	P5	R03_1_B1_P5	R03_2_B1_P5	0.25	0.5	0.16111473348875416	-0.04180334920666033	0.04383197758451038	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P5_E3	D03	B1	P5	R03_2_B1_P5	R03_3_B1_P5	0.5	0.75	0.14080218176300874	-0.019745375610803112	0.03881421556075784	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B1_P5_E4	D03	B1	P5	R03_3_B1_P5	R03_4_B1_P5	0.75	1.0	0.12305053647131159	0.0020968566592118876	0.03392163375071644	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P2_E0	D03	B2	P2	O00_B2_P2	R03_0_B2_P2	0.0	0.125	-0.0027054603522016496	0.03745035805814974	0.02993185362214326	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B2_P2_E1	D03	B2	P2	R03_0_B2_P2	R03_1_B2_P2	0.125	0.25	-0.0027104658865353404	0.0380294285524843	0.028463616212041017	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P2_E2	D03	B2	P2	R03_1_B2_P2	R03_2_B2_P2	0.25	0.5	-0.005435985437361124	0.07929511764249658	0.05216460782716662	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P2_E3	D03	B2	P2	R03_2_B2_P2	R03_3_B2_P2	0.5	0.75	-0.00545611893010034	0.08606877361954088	0.05465501316867974	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P2_E4	D03	B2	P2	R03_3_B2_P2	R03_4_B2_P2	0.75	1.0	-0.005476326992119418	0.09573453454507033	0.08070177946680068	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P6_E0	D03	B2	P6	O00_B2_P6	R03_0_B2_P6	0.0	0.125	-0.014385683648732384	0.0379487290818151	0.030991175025702953	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D03_B2_P6_E1	D03	B2	P6	R03_0_B2_P6	R03_1_B2_P6	0.125	0.25	-0.014527207327187153	0.03922218367639546	0.0317082319014753	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P6_E2	D03	B2	P6	R03_1_B2_P6	R03_2_B2_P6	0.25	0.5	-0.029484568521196186	0.0819787428819693	0.06560319295737081	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P6_E3	D03	B2	P6	R03_2_B2_P6	R03_3_B2_P6	0.5	0.75	-0.030067549509498193	0.08623395620181909	0.06854605413027934	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B2_P6_E4	D03	B2	P6	R03_3_B2_P6	R03_4_B2_P6	0.75	1.0	-0.030662057437135237	0.0899394802313668	0.0714669910084221	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D03_B3_P3_E0	D03	B3	P3	O00_B3_P3	R03_0_B3_P3	0.0	0.125	-0.008666901823735751	0.06689157334885559	0.027155697923595033	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D03_B3_P3_E1	D03	B3	P3	R03_0_B3_P3	R03_1_B3_P3	0.125	0.25	-0.008718270201524714	0.0672699770347841	0.029188952681865672	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P3_E2	D03	B3	P3	R03_1_B3_P3	R03_2_B3_P3	0.25	0.5	-0.017591865174139132	0.13567648155699236	0.06448909097854477	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P3_E3	D03	B3	P3	R03_2_B3_P3	R03_3_B3_P3	0.5	0.75	-0.017801015707836987	0.13719350102427552	0.07265720776273032	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P3_E4	D03	B3	P3	R03_3_B3_P3	R03_4_B3_P3	0.75	1.0	-0.0180126528423199	0.13871175822834658	0.0808503379035849	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P7_E0	D03	B3	P7	O00_B3_P7	R03_0_B3_P7	0.0	0.125	-0.0013545942426240742	0.06782490020705566	0.02641730553852401	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D03_B3_P7_E1	D03	B3	P7	R03_0_B3_P7	R03_1_B3_P7	0.125	0.25	-0.0013558490774046028	0.06989886984253275	0.026969449466775004	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P7_E2	D03	B3	P7	R03_1_B3_P7	R03_2_B3_P7	0.25	0.5	-0.0027154673099185622	0.14495652771330197	0.05554674797019859	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P7_E3	D03	B3	P7	R03_2_B3_P7	R03_3_B3_P7	0.5	0.75	-0.00272050061211071	0.1499519007684591	0.05753171079099788	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D03_B3_P7_E4	D03	B3	P7	R03_3_B3_P7	R03_4_B3_P7	0.75	1.0	-0.002725543243870421	0.15250162957621582	0.059227266943999324	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B0_P0_E0	D04	B0	P0	O00_B0_P0	R04_0_B0_P0	0.0	0.125	0.0	-0.051978879485044344	0.021462681317214287	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B0_P0_E1	D04	B0	P0	R04_0_B0_P0	R04_1_B0_P0	0.125	0.25	0.0	-0.048136920363101465	0.02134423385676653	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P0_E2	D04	B0	P0	R04_1_B0_P0	R04_2_B0_P0	0.25	0.5	0.0	-0.08474796336037435	0.04233312533218979	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P0_E3	D04	B0	P0	R04_2_B0_P0	R04_3_B0_P0	0.5	0.75	0.0	-0.06938012687260281	0.04185933549039883	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P0_E4	D04	B0	P0	R04_3_B0_P0	R04_4_B0_P0	0.75	1.0	0.0	-0.05401229038483141	0.0413855456486078	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P4_E0	D04	B0	P4	O00_B0_P4	R04_0_B0_P4	0.0	0.125	-0.011914059605334648	-0.05002196440047528	0.021410796858831255	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B0_P4_E1	D04	B0	P4	R04_0_B0_P4	R04_1_B0_P4	0.125	0.25	-0.01201113018742661	-0.04219159094398184	0.021176908977593497	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P4_E2	D04	B0	P4	R04_1_B0_P4	R04_2_B0_P4	0.25	0.5	-0.024316642120684406	-0.060442832961564594	0.04157889279209634	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P4_E3	D04	B0	P4	R04_2_B0_P4	R04_3_B0_P4	0.5	0.75	-0.024714499201353046	-0.027769534728041917	0.04902955070478375	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B0_P4_E4	D04	B0	P4	R04_3_B0_P4	R04_4_B0_P4	0.75	1.0	-0.02511886582622136	0.0058125696217850575	0.05776097989063267	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P1_E0	D04	B1	P1	O00_B1_P1	R04_0_B1_P1	0.0	0.125	-0.0015782228668821396	-0.05282776373034227	0.021427187722344122	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B1_P1_E1	D04	B1	P1	R04_0_B1_P1	R04_1_B1_P1	0.125	0.25	-0.0015799262202744746	-0.04945429400438703	0.021909786884824332	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P1_E2	D04	B1	P1	R04_1_B1_P1	R04_2_B1_P1	0.25	0.5	-0.003164969856336297	-0.08997192171108769	0.0463028475395806	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P1_E3	D04	B1	P1	R04_2_B1_P1	R04_3_B1_P1	0.5	0.75	-0.0031718053565761295	-0.08009853607671538	0.059844283924223904	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P1_E4	D04	B1	P1	R04_3_B1_P1	R04_4_B1_P1	0.75	1.0	-0.003178655619694659	-0.07277590663733813	0.07021052868065497	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P5_E0	D04	B1	P5	O00_B1_P5	R04_0_B1_P5	0.0	0.125	0.07187981774228613	-0.053196463572256	0.02106357905955106	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B1_P5_E1	D04	B1	P5	R04_0_B1_P5	R04_1_B1_P5	0.125	0.25	0.06834650539255827	-0.05129507019178472	0.020882028274962456	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P5_E2	D04	B1	P5	R04_1_B1_P5	R04_2_B1_P5	0.25	0.5	0.12677926786120208	-0.10240192567919976	0.0414064003192906	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P5_E3	D04	B1	P5	R04_2_B1_P5	R04_3_B1_P5	0.5	0.75	0.11462172294117767	-0.1112252937653703	0.04119184101763315	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B1_P5_E4	D04	B1	P5	R04_3_B1_P5	R04_4_B1_P5	0.75	1.0	0.1036300303010742	-0.1307814861012821	0.04123362793291398	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P2_E0	D04	B2	P2	O00_B2_P2	R04_0_B2_P2	0.0	0.125	-0.00882357110975529	-0.04063603851544734	0.02915354047046374	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B2_P2_E1	D04	B2	P2	R04_0_B2_P2	R04_1_B2_P2	0.125	0.25	-0.008876813418189355	-0.02756602750790313	0.02610055587494121	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P2_E2	D04	B2	P2	R04_1_B2_P2	R04_2_B2_P2	0.25	0.5	-0.01791464077785787	-0.01763651071385977	0.062291439534963515	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P2_E3	D04	B2	P2	R04_2_B2_P2	R04_3_B2_P2	0.5	0.75	-0.018131490516096305	0.029440240376865143	0.07786250680572916	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P2_E4	D04	B2	P2	R04_3_B2_P2	R04_4_B2_P2	0.75	1.0	-0.018350965135822905	0.07293005056988855	0.09090182674237562	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P6_E0	D04	B2	P6	O00_B2_P6	R04_0_B2_P6	0.0	0.125	-0.0260247703773675	-0.04658810476681294	0.030431376707154865	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	SPACELIKE	YES	NO
D04_B2_P6_E1	D04	B2	P6	R04_0_B2_P6	R04_1_B2_P6	0.125	0.25	-0.026487941963863504	-0.04513281344653633	0.030079551314990238	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P6_E2	D04	B2	P6	R04_1_B2_P6	R04_2_B2_P6	0.25	0.5	-0.054398518276243646	-0.08577351745542999	0.05945443256405624	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P6_E3	D04	B2	P6	R04_2_B2_P6	R04_3_B2_P6	0.5	0.75	-0.05635204617544498	-0.07938112075045684	0.05910371267183519	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B2_P6_E4	D04	B2	P6	R04_3_B2_P6	R04_4_B2_P6	0.75	1.0	-0.05837572803055657	-0.07225259172851733	0.05947319375310123	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	SPACELIKE	SPACELIKE	NO	NO
D04_B3_P3_E0	D04	B3	P3	O00_B3_P3	R04_0_B3_P3	0.0	0.125	-0.0031346142482233663	0.12901305600252755	0.03822347293470948	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D04_B3_P3_E1	D04	B3	P3	R04_0_B3_P3	R04_1_B3_P3	0.125	0.25	-0.003141333738094776	0.12962262349919146	0.03948604497049545	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P3_E2	D04	B3	P3	R04_1_B3_P3	R04_2_B3_P3	0.25	0.5	-0.0063028835933889304	0.2613142575737282	0.08273383191189472	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P3_E3	D04	B3	P3	R04_2_B3_P3	R04_3_B3_P3	0.5	0.75	-0.006329934804818027	0.26447080473152884	0.08770339845506073	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P3_E4	D04	B3	P3	R04_3_B3_P3	R04_4_B3_P3	0.75	1.0	-0.006357102116761215	0.2681010918436134	0.09261365085860801	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P7_E0	D04	B3	P7	O00_B3_P7	R04_0_B3_P7	0.0	0.125	0.02638704031442307	0.12964399285871211	0.03872599020537518	4	6	2	1	R0_K0_S0_T0_M0	R4_K6_S2_T1_M1	ZERO	TIMELIKE	YES	NO
D04_B3_P7_E1	D04	B3	P7	R04_0_B3_P7	R04_1_B3_P7	0.125	0.25	0.025910884098604647	0.1317180292674854	0.04097000656840814	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P7_E2	D04	B3	P7	R04_1_B3_P7	R04_2_B3_P7	0.25	0.5	0.050427513606762675	0.27113916578285147	0.08850038967658742	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
D04_B3_P7_E3	D04	B3	P7	R04_2_B3_P7	R04_3_B3_P7	0.5	0.75	0.04862399716817278	0.2839429688909948	0.09694334480390573	0	0	0	0	R4_K6_S2_T1_M1	R4_K6_S2_T1_M1	TIMELIKE	TIMELIKE	NO	NO
