group_index	group_id	carrier_id	mask_id	identity_b0	identity_b1	identity_b2	identity_b3
224	R14_1_M8	R14_1	M8	B0_R14_1_M8	B1_R14_1_M8	B2_R14_1_M8	B3_R14_1_M8
225	R14_1_M9	R14_1	M9	B0_R14_1_M9	B1_R14_1_M9	B2_R14_1_M9	B3_R14_1_M9
226	R14_1_MA	R14_1	MA	B0_R14_1_MA	B1_R14_1_MA	B2_R14_1_MA	B3_R14_1_MA
227	R14_1_MB	R14_1	MB	B0_R14_1_MB	B1_R14_1_MB	B2_R14_1_MB	B3_R14_1_MB
228	R14_1_MC	R14_1	MC	B0_R14_1_MC	B1_R14_1_MC	B2_R14_1_MC	B3_R14_1_MC
229	R14_1_MD	R14_1	MD	B0_R14_1_MD	B1_R14_1_MD	B2_R14_1_MD	B3_R14_1_MD
230	R14_1_ME	R14_1	ME	B0_R14_1_ME	B1_R14_1_ME	B2_R14_1_ME	B3_R14_1_ME
231	R14_1_MF	R14_1	MF	B0_R14_1_MF	B1_R14_1_MF	B2_R14_1_MF	B3_R14_1_MF
232	R14_3_M8	R14_3	M8	B0_R14_3_M8	B1_R14_3_M8	B2_R14_3_M8	B3_R14_3_M8
233	R14_3_M9	R14_3	M9	B0_R14_3_M9	B1_R14_3_M9	B2_R14_3_M9	B3_R14_3_M9
234	R14_3_MA	R14_3	MA	B0_R14_3_MA	B1_R14_3_MA	B2_R14_3_MA	B3_R14_3_MA
235	R14_3_MB	R14_3	MB	B0_R14_3_MB	B1_R14_3_MB	B2_R14_3_MB	B3_R14_3_MB
236	R14_3_MC	R14_3	MC	B0_R14_3_MC	B1_R14_3_MC	B2_R14_3_MC	B3_R14_3_MC
237	R14_3_MD	R14_3	MD	B0_R14_3_MD	B1_R14_3_MD	B2_R14_3_MD	B3_R14_3_MD
238	R14_3_ME	R14_3	ME	B0_R14_3_ME	B1_R14_3_ME	B2_R14_3_ME	B3_R14_3_ME
239	R14_3_MF	R14_3	MF	B0_R14_3_MF	B1_R14_3_MF	B2_R14_3_MF	B3_R14_3_MF
240	R15_1_M8	R15_1	M8	B0_R15_1_M8	B1_R15_1_M8	B2_R15_1_M8	B3_R15_1_M8
241	R15_1_M9	R15_1	M9	B0_R15_1_M9	B1_R15_1_M9	B2_R15_1_M9	B3_R15_1_M9
242	R15_1_MA	R15_1	MA	B0_R15_1_MA	B1_R15_1_MA	B2_R15_1_MA	B3_R15_1_MA
243	R15_1_MB	R15_1	MB	B0_R15_1_MB	B1_R15_1_MB	B2_R15_1_MB	B3_R15_1_MB
244	R15_1_MC	R15_1	MC	B0_R15_1_MC	B1_R15_1_MC	B2_R15_1_MC	B3_R15_1_MC
245	R15_1_MD	R15_1	MD	B0_R15_1_MD	B1_R15_1_MD	B2_R15_1_MD	B3_R15_1_MD
246	R15_1_ME	R15_1	ME	B0_R15_1_ME	B1_R15_1_ME	B2_R15_1_ME	B3_R15_1_ME
247	R15_1_MF	R15_1	MF	B0_R15_1_MF	B1_R15_1_MF	B2_R15_1_MF	B3_R15_1_MF
248	R15_3_M8	R15_3	M8	B0_R15_3_M8	B1_R15_3_M8	B2_R15_3_M8	B3_R15_3_M8
249	R15_3_M9	R15_3	M9	B0_R15_3_M9	B1_R15_3_M9	B2_R15_3_M9	B3_R15_3_M9
250	R15_3_MA	R15_3	MA	B0_R15_3_MA	B1_R15_3_MA	B2_R15_3_MA	B3_R15_3_MA
251	R15_3_MB	R15_3	MB	B0_R15_3_MB	B1_R15_3_MB	B2_R15_3_MB	B3_R15_3_MB
252	R15_3_MC	R15_3	MC	B0_R15_3_MC	B1_R15_3_MC	B2_R15_3_MC	B3_R15_3_MC
253	R15_3_MD	R15_3	MD	B0_R15_3_MD	B1_R15_3_MD	B2_R15_3_MD	B3_R15_3_MD
254	R15_3_ME	R15_3	ME	B0_R15_3_ME	B1_R15_3_ME	B2_R15_3_ME	B3_R15_3_ME
255	R15_3_MF	R15_3	MF	B0_R15_3_MF	B1_R15_3_MF	B2_R15_3_MF	B3_R15_3_MF
256	V001_M8	V001	M8	B0_V001_M8	B1_V001_M8	B2_V001_M8	B3_V001_M8
257	V001_M9	V001	M9	B0_V001_M9	B1_V001_M9	B2_V001_M9	B3_V001_M9
258	V001_MA	V001	MA	B0_V001_MA	B1_V001_MA	B2_V001_MA	B3_V001_MA
259	V001_MB	V001	MB	B0_V001_MB	B1_V001_MB	B2_V001_MB	B3_V001_MB
260	V001_MC	V001	MC	B0_V001_MC	B1_V001_MC	B2_V001_MC	B3_V001_MC
261	V001_MD	V001	MD	B0_V001_MD	B1_V001_MD	B2_V001_MD	B3_V001_MD
262	V001_ME	V001	ME	B0_V001_ME	B1_V001_ME	B2_V001_ME	B3_V001_ME
263	V001_MF	V001	MF	B0_V001_MF	B1_V001_MF	B2_V001_MF	B3_V001_MF
264	V002_M8	V002	M8	B0_V002_M8	B1_V002_M8	B2_V002_M8	B3_V002_M8
265	V002_M9	V002	M9	B0_V002_M9	B1_V002_M9	B2_V002_M9	B3_V002_M9
266	V002_MA	V002	MA	B0_V002_MA	B1_V002_MA	B2_V002_MA	B3_V002_MA
267	V002_MB	V002	MB	B0_V002_MB	B1_V002_MB	B2_V002_MB	B3_V002_MB
268	V002_MC	V002	MC	B0_V002_MC	B1_V002_MC	B2_V002_MC	B3_V002_MC
269	V002_MD	V002	MD	B0_V002_MD	B1_V002_MD	B2_V002_MD	B3_V002_MD
270	V002_ME	V002	ME	B0_V002_ME	B1_V002_ME	B2_V002_ME	B3_V002_ME
271	V002_MF	V002	MF	B0_V002_MF	B1_V002_MF	B2_V002_MF	B3_V002_MF
272	V003_M8	V003	M8	B0_V003_M8	B1_V003_M8	B2_V003_M8	B3_V003_M8
273	V003_M9	V003	M9	B0_V003_M9	B1_V003_M9	B2_V003_M9	B3_V003_M9
274	V003_MA	V003	MA	B0_V003_MA	B1_V003_MA	B2_V003_MA	B3_V003_MA
275	V003_MB	V003	MB	B0_V003_MB	B1_V003_MB	B2_V003_MB	B3_V003_MB
276	V003_MC	V003	MC	B0_V003_MC	B1_V003_MC	B2_V003_MC	B3_V003_MC
277	V003_MD	V003	MD	B0_V003_MD	B1_V003_MD	B2_V003_MD	B3_V003_MD
278	V003_ME	V003	ME	B0_V003_ME	B1_V003_ME	B2_V003_ME	B3_V003_ME
279	V003_MF	V003	MF	B0_V003_MF	B1_V003_MF	B2_V003_MF	B3_V003_MF
280	V004_M8	V004	M8	B0_V004_M8	B1_V004_M8	B2_V004_M8	B3_V004_M8
281	V004_M9	V004	M9	B0_V004_M9	B1_V004_M9	B2_V004_M9	B3_V004_M9
282	V004_MA	V004	MA	B0_V004_MA	B1_V004_MA	B2_V004_MA	B3_V004_MA
283	V004_MB	V004	MB	B0_V004_MB	B1_V004_MB	B2_V004_MB	B3_V004_MB
284	V004_MC	V004	MC	B0_V004_MC	B1_V004_MC	B2_V004_MC	B3_V004_MC
285	V004_MD	V004	MD	B0_V004_MD	B1_V004_MD	B2_V004_MD	B3_V004_MD
286	V004_ME	V004	ME	B0_V004_ME	B1_V004_ME	B2_V004_ME	B3_V004_ME
287	V004_MF	V004	MF	B0_V004_MF	B1_V004_MF	B2_V004_MF	B3_V004_MF
288	V005_M8	V005	M8	B0_V005_M8	B1_V005_M8	B2_V005_M8	B3_V005_M8
289	V005_M9	V005	M9	B0_V005_M9	B1_V005_M9	B2_V005_M9	B3_V005_M9
290	V005_MA	V005	MA	B0_V005_MA	B1_V005_MA	B2_V005_MA	B3_V005_MA
291	V005_MB	V005	MB	B0_V005_MB	B1_V005_MB	B2_V005_MB	B3_V005_MB
292	V005_MC	V005	MC	B0_V005_MC	B1_V005_MC	B2_V005_MC	B3_V005_MC
293	V005_MD	V005	MD	B0_V005_MD	B1_V005_MD	B2_V005_MD	B3_V005_MD
294	V005_ME	V005	ME	B0_V005_ME	B1_V005_ME	B2_V005_ME	B3_V005_ME
295	V005_MF	V005	MF	B0_V005_MF	B1_V005_MF	B2_V005_MF	B3_V005_MF
296	V006_M8	V006	M8	B0_V006_M8	B1_V006_M8	B2_V006_M8	B3_V006_M8
297	V006_M9	V006	M9	B0_V006_M9	B1_V006_M9	B2_V006_M9	B3_V006_M9
298	V006_MA	V006	MA	B0_V006_MA	B1_V006_MA	B2_V006_MA	B3_V006_MA
299	V006_MB	V006	MB	B0_V006_MB	B1_V006_MB	B2_V006_MB	B3_V006_MB
300	V006_MC	V006	MC	B0_V006_MC	B1_V006_MC	B2_V006_MC	B3_V006_MC
301	V006_MD	V006	MD	B0_V006_MD	B1_V006_MD	B2_V006_MD	B3_V006_MD
302	V006_ME	V006	ME	B0_V006_ME	B1_V006_ME	B2_V006_ME	B3_V006_ME
303	V006_MF	V006	MF	B0_V006_MF	B1_V006_MF	B2_V006_MF	B3_V006_MF
304	V007_M8	V007	M8	B0_V007_M8	B1_V007_M8	B2_V007_M8	B3_V007_M8
305	V007_M9	V007	M9	B0_V007_M9	B1_V007_M9	B2_V007_M9	B3_V007_M9
306	V007_MA	V007	MA	B0_V007_MA	B1_V007_MA	B2_V007_MA	B3_V007_MA
307	V007_MB	V007	MB	B0_V007_MB	B1_V007_MB	B2_V007_MB	B3_V007_MB
308	V007_MC	V007	MC	B0_V007_MC	B1_V007_MC	B2_V007_MC	B3_V007_MC
309	V007_MD	V007	MD	B0_V007_MD	B1_V007_MD	B2_V007_MD	B3_V007_MD
310	V007_ME	V007	ME	B0_V007_ME	B1_V007_ME	B2_V007_ME	B3_V007_ME
311	V007_MF	V007	MF	B0_V007_MF	B1_V007_MF	B2_V007_MF	B3_V007_MF
312	V008_M8	V008	M8	B0_V008_M8	B1_V008_M8	B2_V008_M8	B3_V008_M8
313	V008_M9	V008	M9	B0_V008_M9	B1_V008_M9	B2_V008_M9	B3_V008_M9
314	V008_MA	V008	MA	B0_V008_MA	B1_V008_MA	B2_V008_MA	B3_V008_MA
315	V008_MB	V008	MB	B0_V008_MB	B1_V008_MB	B2_V008_MB	B3_V008_MB
316	V008_MC	V008	MC	B0_V008_MC	B1_V008_MC	B2_V008_MC	B3_V008_MC
317	V008_MD	V008	MD	B0_V008_MD	B1_V008_MD	B2_V008_MD	B3_V008_MD
318	V008_ME	V008	ME	B0_V008_ME	B1_V008_ME	B2_V008_ME	B3_V008_ME
319	V008_MF	V008	MF	B0_V008_MF	B1_V008_MF	B2_V008_MF	B3_V008_MF
320	V009_M8	V009	M8	B0_V009_M8	B1_V009_M8	B2_V009_M8	B3_V009_M8
321	V009_M9	V009	M9	B0_V009_M9	B1_V009_M9	B2_V009_M9	B3_V009_M9
322	V009_MA	V009	MA	B0_V009_MA	B1_V009_MA	B2_V009_MA	B3_V009_MA
323	V009_MB	V009	MB	B0_V009_MB	B1_V009_MB	B2_V009_MB	B3_V009_MB
324	V009_MC	V009	MC	B0_V009_MC	B1_V009_MC	B2_V009_MC	B3_V009_MC
325	V009_MD	V009	MD	B0_V009_MD	B1_V009_MD	B2_V009_MD	B3_V009_MD
326	V009_ME	V009	ME	B0_V009_ME	B1_V009_ME	B2_V009_ME	B3_V009_ME
327	V009_MF	V009	MF	B0_V009_MF	B1_V009_MF	B2_V009_MF	B3_V009_MF
328	V010_M8	V010	M8	B0_V010_M8	B1_V010_M8	B2_V010_M8	B3_V010_M8
329	V010_M9	V010	M9	B0_V010_M9	B1_V010_M9	B2_V010_M9	B3_V010_M9
330	V010_MA	V010	MA	B0_V010_MA	B1_V010_MA	B2_V010_MA	B3_V010_MA
331	V010_MB	V010	MB	B0_V010_MB	B1_V010_MB	B2_V010_MB	B3_V010_MB
332	V010_MC	V010	MC	B0_V010_MC	B1_V010_MC	B2_V010_MC	B3_V010_MC
333	V010_MD	V010	MD	B0_V010_MD	B1_V010_MD	B2_V010_MD	B3_V010_MD
334	V010_ME	V010	ME	B0_V010_ME	B1_V010_ME	B2_V010_ME	B3_V010_ME
335	V010_MF	V010	MF	B0_V010_MF	B1_V010_MF	B2_V010_MF	B3_V010_MF
336	V011_M8	V011	M8	B0_V011_M8	B1_V011_M8	B2_V011_M8	B3_V011_M8
337	V011_M9	V011	M9	B0_V011_M9	B1_V011_M9	B2_V011_M9	B3_V011_M9
338	V011_MA	V011	MA	B0_V011_MA	B1_V011_MA	B2_V011_MA	B3_V011_MA
339	V011_MB	V011	MB	B0_V011_MB	B1_V011_MB	B2_V011_MB	B3_V011_MB
340	V011_MC	V011	MC	B0_V011_MC	B1_V011_MC	B2_V011_MC	B3_V011_MC
341	V011_MD	V011	MD	B0_V011_MD	B1_V011_MD	B2_V011_MD	B3_V011_MD
342	V011_ME	V011	ME	B0_V011_ME	B1_V011_ME	B2_V011_ME	B3_V011_ME
343	V011_MF	V011	MF	B0_V011_MF	B1_V011_MF	B2_V011_MF	B3_V011_MF
344	V012_M8	V012	M8	B0_V012_M8	B1_V012_M8	B2_V012_M8	B3_V012_M8
345	V012_M9	V012	M9	B0_V012_M9	B1_V012_M9	B2_V012_M9	B3_V012_M9
346	V012_MA	V012	MA	B0_V012_MA	B1_V012_MA	B2_V012_MA	B3_V012_MA
347	V012_MB	V012	MB	B0_V012_MB	B1_V012_MB	B2_V012_MB	B3_V012_MB
348	V012_MC	V012	MC	B0_V012_MC	B1_V012_MC	B2_V012_MC	B3_V012_MC
349	V012_MD	V012	MD	B0_V012_MD	B1_V012_MD	B2_V012_MD	B3_V012_MD
350	V012_ME	V012	ME	B0_V012_ME	B1_V012_ME	B2_V012_ME	B3_V012_ME
351	V012_MF	V012	MF	B0_V012_MF	B1_V012_MF	B2_V012_MF	B3_V012_MF
352	V013_M8	V013	M8	B0_V013_M8	B1_V013_M8	B2_V013_M8	B3_V013_M8
353	V013_M9	V013	M9	B0_V013_M9	B1_V013_M9	B2_V013_M9	B3_V013_M9
354	V013_MA	V013	MA	B0_V013_MA	B1_V013_MA	B2_V013_MA	B3_V013_MA
355	V013_MB	V013	MB	B0_V013_MB	B1_V013_MB	B2_V013_MB	B3_V013_MB
356	V013_MC	V013	MC	B0_V013_MC	B1_V013_MC	B2_V013_MC	B3_V013_MC
357	V013_MD	V013	MD	B0_V013_MD	B1_V013_MD	B2_V013_MD	B3_V013_MD
358	V013_ME	V013	ME	B0_V013_ME	B1_V013_ME	B2_V013_ME	B3_V013_ME
359	V013_MF	V013	MF	B0_V013_MF	B1_V013_MF	B2_V013_MF	B3_V013_MF
360	V014_M8	V014	M8	B0_V014_M8	B1_V014_M8	B2_V014_M8	B3_V014_M8
361	V014_M9	V014	M9	B0_V014_M9	B1_V014_M9	B2_V014_M9	B3_V014_M9
362	V014_MA	V014	MA	B0_V014_MA	B1_V014_MA	B2_V014_MA	B3_V014_MA
363	V014_MB	V014	MB	B0_V014_MB	B1_V014_MB	B2_V014_MB	B3_V014_MB
364	V014_MC	V014	MC	B0_V014_MC	B1_V014_MC	B2_V014_MC	B3_V014_MC
365	V014_MD	V014	MD	B0_V014_MD	B1_V014_MD	B2_V014_MD	B3_V014_MD
366	V014_ME	V014	ME	B0_V014_ME	B1_V014_ME	B2_V014_ME	B3_V014_ME
367	V014_MF	V014	MF	B0_V014_MF	B1_V014_MF	B2_V014_MF	B3_V014_MF
368	V015_M8	V015	M8	B0_V015_M8	B1_V015_M8	B2_V015_M8	B3_V015_M8
369	V015_M9	V015	M9	B0_V015_M9	B1_V015_M9	B2_V015_M9	B3_V015_M9
370	V015_MA	V015	MA	B0_V015_MA	B1_V015_MA	B2_V015_MA	B3_V015_MA
371	V015_MB	V015	MB	B0_V015_MB	B1_V015_MB	B2_V015_MB	B3_V015_MB
372	V015_MC	V015	MC	B0_V015_MC	B1_V015_MC	B2_V015_MC	B3_V015_MC
373	V015_MD	V015	MD	B0_V015_MD	B1_V015_MD	B2_V015_MD	B3_V015_MD
374	V015_ME	V015	ME	B0_V015_ME	B1_V015_ME	B2_V015_ME	B3_V015_ME
375	V015_MF	V015	MF	B0_V015_MF	B1_V015_MF	B2_V015_MF	B3_V015_MF
376	V016_M8	V016	M8	B0_V016_M8	B1_V016_M8	B2_V016_M8	B3_V016_M8
377	V016_M9	V016	M9	B0_V016_M9	B1_V016_M9	B2_V016_M9	B3_V016_M9
378	V016_MA	V016	MA	B0_V016_MA	B1_V016_MA	B2_V016_MA	B3_V016_MA
379	V016_MB	V016	MB	B0_V016_MB	B1_V016_MB	B2_V016_MB	B3_V016_MB
380	V016_MC	V016	MC	B0_V016_MC	B1_V016_MC	B2_V016_MC	B3_V016_MC
381	V016_MD	V016	MD	B0_V016_MD	B1_V016_MD	B2_V016_MD	B3_V016_MD
382	V016_ME	V016	ME	B0_V016_ME	B1_V016_ME	B2_V016_ME	B3_V016_ME
383	V016_MF	V016	MF	B0_V016_MF	B1_V016_MF	B2_V016_MF	B3_V016_MF
