top_group	tracked_paths	hit_files	match_count	rule_ids	audit_report	audit_report_sha256	first_commit	first_commit_date	last_commit	last_commit_date	scientific_disposition
udt_cap_gluing_selector_2026-07-28	6	6	21	D03;D06	udt_cap_gluing_selector_2026-07-28/AUDIT_REPORT.md	b6c1b373175896c4e8f857421b5c39e70a4466315a42c55db3d509cbb21053a3	5291b63165facd9d90e01cbdbe9c321e2131ef80	2026-07-28T20:58:03-04:00	5291b63165facd9d90e01cbdbe9c321e2131ef80	2026-07-28T20:58:03-04:00	SIX_GATE_SOURCE
udt_center_free_observer_optical_correspondence_audit_2026-07-24	37	12	23	D03;D04;D05;D06	udt_center_free_observer_optical_correspondence_audit_2026-07-24/AUDIT_REPORT.md	fdcbf11804f83b3ab5a67b0a08962746f5144ce15a7b8ab076a3eb23a98e5cf8	d000d9caace162723084941816077aa97dbf3c78	2026-07-24T16:05:54-04:00	d000d9caace162723084941816077aa97dbf3c78	2026-07-24T16:05:54-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_century_adjacent_mathematics_survey_2026-07-22	22	14	78	D03;D04;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_REFERENCE_OR_REVIEW
udt_chart_coframe_invariance_atlas_2026-07-21	68	9	164	D03;D04;D05;D06	udt_chart_coframe_invariance_atlas_2026-07-21/AUDIT_REPORT.md	2fe285e5d2c1180d4f40798b17984621436c3ee4f6b7c5b393cee0ca79709b10	e237b589d7604426df0a19e1362e2e77387834a2	2026-07-21T18:19:56-04:00	e237b589d7604426df0a19e1362e2e77387834a2	2026-07-21T18:19:56-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_cleanroom_metric_reduction_readiness_audit_2026-07-27	42	16	50	D03;D04;D06	udt_cleanroom_metric_reduction_readiness_audit_2026-07-27/AUDIT_REPORT.md	64b949cf1ad17dfc4fb16bdd263df7775b4b89b777afef93c3026d0b9b90170f	6c89b7a5fbe702e57060de7aeeaafb347578c3af	2026-07-27T21:11:38-04:00	6c89b7a5fbe702e57060de7aeeaafb347578c3af	2026-07-27T21:11:38-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_clock_anchor_scale_threading_audit_2026-07-22	26	9	13	D03;D04;D05;D06	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	26c3034d4a029ebcb53501abb5e4cb78fad7173c26557572aea3346bdf8a1545	73b33e2c9f11e897976d571810a8e98dc3a2e644	2026-07-22T18:01:40-04:00	73b33e2c9f11e897976d571810a8e98dc3a2e644	2026-07-22T18:01:40-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_clock_angular_solder_regularity_audit_2026-07-24	36	11	32	D05;D06	udt_clock_angular_solder_regularity_audit_2026-07-24/AUDIT_REPORT.md	d37a1ce3c609f6b715404b59fe460e8bb9d490a57d8184595a1d6d89917e110b	c63ae3e14963df18e86c4bf4dff82451684b404a	2026-07-24T12:37:15-04:00	c63ae3e14963df18e86c4bf4dff82451684b404a	2026-07-24T12:37:15-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_clock_ruler_soldering_selector_audit_2026-07-20	22	11	95	D03;D04;D05;D06	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	c372e1d98f84c3843ac16b647d9be5e327c14e2bf618e3d5797711389f00a080	21557285261b0813f10e1e7dfafc73d46105f9f3	2026-07-20T23:19:53-04:00	21557285261b0813f10e1e7dfafc73d46105f9f3	2026-07-20T23:19:53-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_cmb_polarization_observable_typing_audit_2026-07-27	48	23	49	D04;D05;D06	udt_cmb_polarization_observable_typing_audit_2026-07-27/AUDIT_REPORT.md	f7fa43d5341ea8735c7c16d5bf16e95782af12b7d5e5d5c323d1ec9ca63102c3	1e95a5f531ab3140239e6df220b8b48e2e1f311d	2026-07-27T17:34:44-04:00	1e95a5f531ab3140239e6df220b8b48e2e1f311d	2026-07-27T17:34:44-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_coframe_hopf_bridge_audit_2026-07-23	38	14	878	D03;D04;D05;D06	udt_coframe_hopf_bridge_audit_2026-07-23/AUDIT_REPORT.md	6c0260a8539fd80f9191ed6a7948b5b84ab75d25af5af2955b7275e880f8e2a1	70cfb1220fc68ea0d635284aa5840593e0db5b4b	2026-07-23T09:47:11-04:00	70cfb1220fc68ea0d635284aa5840593e0db5b4b	2026-07-23T09:47:11-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_common_scale_neutrality_provenance_audit_2026-07-24	35	12	290	D03;D04;D05;D06	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md	98e8fd166e8257e4ad4e40695d05b198c6fc4c1342e39bcfeb013c230a14321d	25ab620363e07b49dc5268f8714ea2314523d2d1	2026-07-24T11:33:52-04:00	25ab620363e07b49dc5268f8714ea2314523d2d1	2026-07-24T11:33:52-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_complete_branch_founded_pair_pullback_audit_2026-07-26	38	14	27	D03;D05;D06	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/AUDIT_REPORT.md	e1e25c39cec76910ca9a96a5b9b2b13447de76a34b64deb74e3cf7ace3dbca5d	12472c9a7333840e63c262cf2f7a49323ead2cb7	2026-07-26T19:48:49-04:00	12472c9a7333840e63c262cf2f7a49323ead2cb7	2026-07-26T19:48:49-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_complete_coframe_metric_telescope_p01_2026-07-27	57	32	995	D03;D04;D06	udt_complete_coframe_metric_telescope_p01_2026-07-27/AUDIT_REPORT.md	3bd6089df2b7ac27ab285d3f3ab383d43fafdc6d47f8da31e0a1bcdb49ec5a02	04248c2ffdbfa6a5a46b413456baf97de0f52810	2026-07-27T22:01:17-04:00	04248c2ffdbfa6a5a46b413456baf97de0f52810	2026-07-27T22:01:17-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_coframe_native_selector_audit_2026-07-26	24	16	39	D03;D04;D05;D06	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	260979d6e5449844c5ed4676f3cebc331934dfa17d9df3e92f6fabeb86ada507	4f29786d456a3230cdff9370e463b7ba5510d91b	2026-07-26T13:49:39-04:00	4f29786d456a3230cdff9370e463b7ba5510d91b	2026-07-26T13:49:39-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_complete_coframe_physical_comparison_functor_audit_2026-07-27	40	24	150	D03;D04;D05;D06	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md	b2cb8ca000964e4a42a30f575ce3db7a2c7dfe0bedbbf45fff1e6f739ceb09e0	36773d2e98f4f715d7cebb794beb02c9565aa8ae	2026-07-27T17:01:56-04:00	36773d2e98f4f715d7cebb794beb02c9565aa8ae	2026-07-27T17:01:56-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_connector_assembly_audit_2026-07-22	34	23	385	D03;D04;D05;D06	udt_complete_connector_assembly_audit_2026-07-22/AUDIT_REPORT.md	419f797aaa0e9a98a8f9d187cc0d27202de9f85737b920016def07a2f0558cfe	d7a2469ae3a76a099e78656c9357710bf8645843	2026-07-22T19:43:20-04:00	d7a2469ae3a76a099e78656c9357710bf8645843	2026-07-22T19:43:20-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_lift_mu_closure_audit_2026-07-20	21	12	54	D04;D05;D06	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	674118b0818fbc4bab1ef3b3d00e2eee104862d207aa0a0b39e932462850d148	9f052b8a407e1448367a48e8b7e0030465970bf2	2026-07-20T23:44:20-04:00	9f052b8a407e1448367a48e8b7e0030465970bf2	2026-07-20T23:44:20-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_metric_intrinsic_object_audit_2026-07-23	39	26	1658	D03;D04;D05;D06	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	67553529e79514aa79607dee859ae7d084ea37d6	2026-07-23T11:01:10-04:00	67553529e79514aa79607dee859ae7d084ea37d6	2026-07-23T11:01:10-04:00	SIX_GATE_SOURCE
udt_complete_metric_realization_zoomout_2026-07-23	40	18	484	D03;D04;D05;D06	udt_complete_metric_realization_zoomout_2026-07-23/AUDIT_REPORT.md	920201892b7902f8a84de8096b3c0c05ba9457404e3f7445915ac4ab016f1b6f	3fdb28946f0dfc580e3166dc9886c67968b9aec4	2026-07-23T10:16:49-04:00	3fdb28946f0dfc580e3166dc9886c67968b9aec4	2026-07-23T10:16:49-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_metric_solution_space_map_2026-07-21	27	19	57	D03;D04;D05;D06	udt_complete_metric_solution_space_map_2026-07-21/AUDIT_REPORT.md	890d074276533d6ffb035584406fe249ca68d50cd838f2aa9f6fa85d1b78cde4	6b3a45e11993683ca42c58cabf42835d0260d939	2026-07-21T09:31:49-04:00	6b3a45e11993683ca42c58cabf42835d0260d939	2026-07-21T09:31:49-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	37	9	21	D05;D06	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	1e007a15b7071ebe2be45ad2f81a19c4d39a3c0617fe5cf65064ab6e076a976d	cacfaa178d2199ecb13d5196545ff36797c82177	2026-07-27T01:11:00-04:00	cacfaa178d2199ecb13d5196545ff36797c82177	2026-07-27T01:11:00-04:00	SIX_GATE_SOURCE
udt_complete_physical_comparison_map_audit_2026-07-27	42	15	50	D04;D05;D06	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	9be7ec15352a672eea3bd9e463264c72098359ce7b038fd2d7b781000310ea45	c239adceadad0464da6bf43ab7980a8aa3c2108d	2026-07-27T14:03:07-04:00	c239adceadad0464da6bf43ab7980a8aa3c2108d	2026-07-27T14:03:07-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_complete_relational_configuration_variation_domain_audit_2026-07-26	43	17	43	D03;D04;D05;D06	udt_complete_relational_configuration_variation_domain_audit_2026-07-26/AUDIT_REPORT.md	b3cbbd3af7901fda7758b174ba4d90f3f7deabdbbf36b1723c3af5181609cf6a	0bb7719324e9547cf189c6b72cb9d8348d3f9ee4	2026-07-26T22:22:32-04:00	0bb7719324e9547cf189c6b72cb9d8348d3f9ee4	2026-07-26T22:22:32-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_complete_screen_response_branch_atlas_2026-07-28	60	26	2735	D03;D04;D05;D06	udt_complete_screen_response_branch_atlas_2026-07-28/AUDIT_REPORT.md	c67c8d05ca12b17171987f43ba941ffb8cd93daab91c4ba7e4b284f78cde3bde	8dbdfc9f30f0e7452f44e08656399088b13374a9	2026-07-28T09:27:32-04:00	8dbdfc9f30f0e7452f44e08656399088b13374a9	2026-07-28T09:27:32-04:00	SIX_GATE_SOURCE
udt_complete_seal_fixed_set_selector_audit_2026-07-21	23	15	69	D03;D04;D05;D06	udt_complete_seal_fixed_set_selector_audit_2026-07-21/AUDIT_REPORT.md	8d26df753a58eca36a95892551dff509b883f1ca35a23830926cd465f9f7c00a	647d82f2248bfaf7a6f3c85ef23c02e7b9157548	2026-07-21T08:50:31-04:00	647d82f2248bfaf7a6f3c85ef23c02e7b9157548	2026-07-21T08:50:31-04:00	SIX_GATE_SOURCE
udt_completion_scoped_realized_observable_map_2026-07-26	44	32	444	D03;D04;D05;D06	udt_completion_scoped_realized_observable_map_2026-07-26/AUDIT_REPORT.md	e4778643deb79e90cc6b433b4801bb97baccb7e0096ed38afeea20614c3c1da6	bb5949a5a2bce59a10e5f8227ceeef8615f3d8af	2026-07-26T09:18:38-04:00	bb5949a5a2bce59a10e5f8227ceeef8615f3d8af	2026-07-26T09:18:38-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_configuration_space_adjacency_atlas_2026-07-22	42	12	56	D03;D04;D05;D06	udt_configuration_space_adjacency_atlas_2026-07-22/AUDIT_REPORT.md	7ba43341feb17ab93b40d26fb99cd8bad7d2f3a8ee28a5c5690cebd3d93337ae	bbe1ab047ff12db819c3a05f5492209059c568b9	2026-07-23T00:20:58-04:00	eadf683e32e7c7d16a17b84777fba7d05240aa4c	2026-07-23T00:45:29-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_constructive_metric_family_atlas_2026-07-21	35	13	40	D03;D04;D05;D06	udt_constructive_metric_family_atlas_2026-07-21/AUDIT_REPORT.md	345f3f6d05ddb12d7192034dff82601fa99e46a983e43188d990866ce391161f	155a6430df21a55861c41d9913bccd0ccc5efa95	2026-07-21T14:18:25-04:00	155a6430df21a55861c41d9913bccd0ccc5efa95	2026-07-21T14:18:25-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26	28	21	120	D03;D04;D06	udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	b338fa5538e54951d3bcea8325b7c3a00940a45b2287805f766bf772ab2713ef	af8c9939fa7a771d1665daff4e99f93623ab6721	2026-07-26T14:50:46-04:00	af8c9939fa7a771d1665daff4e99f93623ab6721	2026-07-26T14:50:46-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_csn_dphi_transport_selector_audit_2026-07-23	17	15	133	D03;D04;D05;D06	udt_csn_dphi_transport_selector_audit_2026-07-23/AUDIT_REPORT.md	c2ddc90ad25e13bd3c9fcb497630ad4510d36079c3be44ba47fb6a91a25a5471	54388486c3d878280c32ec7d40e8b1dea2f833c8	2026-07-23T21:09:57-04:00	54388486c3d878280c32ec7d40e8b1dea2f833c8	2026-07-23T21:09:57-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_directional_observer_pair_distance_audit_2026-07-24	43	11	18	D03;D05;D06	udt_directional_observer_pair_distance_audit_2026-07-24/AUDIT_REPORT.md	f99b49deef14258ed43da2bc8e8de1700ca656f334ac4ab59be08a5ffd0ddd56	408c13bec160923d1e5c34e78a7cc636de7a626b	2026-07-24T12:54:12-04:00	408c13bec160923d1e5c34e78a7cc636de7a626b	2026-07-24T12:54:12-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_dual_systole_global_transport_audit_2026-07-24	35	17	67	D03;D04;D05;D06	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582	ac7e792e9493f0c31e64aba39212d7ed4158e05f	2026-07-24T05:40:13-04:00	ac7e792e9493f0c31e64aba39212d7ed4158e05f	2026-07-24T05:40:13-04:00	SIX_GATE_SOURCE
udt_dual_systole_wall_crossing_selector_audit_2026-07-24	38	19	70	D03;D04;D05;D06	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	af46acd9d3a400861155762ee2ae4a7b1166b41ebf6a6810e5069ca50dc6a97a	0e9f09943eb68367fbdca84f69ca3024c23c2a93	2026-07-24T06:52:08-04:00	0e9f09943eb68367fbdca84f69ca3024c23c2a93	2026-07-24T06:52:08-04:00	SIX_GATE_SOURCE
udt_dynamics_branch_ruling_p04_2026-07-21	23	6	18	D03;D04;D06	udt_dynamics_branch_ruling_p04_2026-07-21/AUDIT_REPORT.md	a3ac03714a70e1959dca65bbef5baeff4eed42367fe3765c3fc6791b4c989576	130e659a94198d551fffd1a9866ff87b9563c700	2026-07-21T11:50:33-04:00	130e659a94198d551fffd1a9866ff87b9563c700	2026-07-21T11:50:33-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_exceptional_stratum_remainder_2026-07-28	9	4	5	D04;D06	udt_exceptional_stratum_remainder_2026-07-28/AUDIT_REPORT.md	00f31efdb883c4c33e4ba5abfb5a84056e45ec21261b1bc5e80bdaf5766e7026	3964cec5e162b63f13bbae01793aa70b1b67b928	2026-07-28T21:53:25-04:00	3964cec5e162b63f13bbae01793aa70b1b67b928	2026-07-28T21:53:25-04:00	SIX_GATE_SOURCE
udt_f01_lambda_schur_check_2026-08-01	31	3	4	D03;D05;D06	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md	be7e07d2db43081c28d13120cf6a17131026845b0290de04c4f4645919b8f5c1	42aed8440e776211d37b178e4e15a8d4f293d526	2026-08-01T17:45:02-04:00	42aed8440e776211d37b178e4e15a8d4f293d526	2026-08-01T17:45:02-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_f01_second_wall_inverse_stability_2026-08-01	34	12	26	D03;D06	udt_f01_second_wall_inverse_stability_2026-08-01/AUDIT_REPORT.md	8f841762a88bbec3dc234e18af13745d8a51dc7ed029b6bb6cdd21546cb0eda2	c765dbcc63e53a977da464066c873d7c09b38a29	2026-08-01T18:33:39-04:00	c765dbcc63e53a977da464066c873d7c09b38a29	2026-08-01T18:33:39-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_f02_global_completion_admissibility_2026-08-01	23	5	9	D06	udt_f02_global_completion_admissibility_2026-08-01/AUDIT_REPORT.md	f16739d47a073db84ce7db4f43d587663db6bb217cc6763fb376ca3724804ff0	bafc5d7da667f72b01da24d7df8822e04d9104d5	2026-08-01T19:29:12-04:00	bafc5d7da667f72b01da24d7df8822e04d9104d5	2026-08-01T19:29:12-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_f02_global_completion_admissibility_review_2026-08-01	12	8	85	D03;D04;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_REFERENCE_OR_REVIEW
udt_f02_stationary_simultaneous_realization_2026-08-01	24	1	1	D06	udt_f02_stationary_simultaneous_realization_2026-08-01/AUDIT_REPORT.md	197429b6285b82280039c9248a7c269a1156f0ff3db601a3929aff5cc10c1116	df9f1cdc4524480d843d232c1617c7ac33adc5e8	2026-08-01T19:14:15-04:00	df9f1cdc4524480d843d232c1617c7ac33adc5e8	2026-08-01T19:14:15-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_finite_cell_cartan_transport_atlas_2026-07-23	27	18	268	D03;D04;D05;D06	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	422a96a0b8ce50b1b74c0e7ea78ac9b0f6ec2d5ef8ea59c69c2b3f9941f25df7	e0c6958f9cae7766757ec6466a9659bba1a55f0d	2026-07-23T16:30:39-04:00	e0c6958f9cae7766757ec6466a9659bba1a55f0d	2026-07-23T16:30:39-04:00	SIX_GATE_SOURCE
udt_finite_cell_completion_atlas_2026-07-21	37	16	78	D03;D04;D06	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	354047b6cac9406c75b700912e2a3aab402f7dd1c32a73adc229ee2054a1502e	17781740118201effd43523ce035571b1a72b646	2026-07-21T13:37:10-04:00	17781740118201effd43523ce035571b1a72b646	2026-07-21T13:37:10-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27	32	21	123	D03;D04;D05;D06	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/AUDIT_REPORT.md	277855752d21e51cd5caf0abcc566ec747b46614394d4e0d8ca7d88a47dae2f3	012bf78457df5a1576b6873a5100affd93c12e2c	2026-07-27T20:48:12-04:00	012bf78457df5a1576b6873a5100affd93c12e2c	2026-07-27T20:48:12-04:00	SIX_GATE_SOURCE
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23	28	16	695	D03;D04;D05;D06	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	25e6b85882d27e746826d124baf61235a22360ccc28ae4f545bd24d6da48c433	576c6bbd9cccf7662f4043ed6a00cccf99afe6e7	2026-07-23T11:34:13-04:00	576c6bbd9cccf7662f4043ed6a00cccf99afe6e7	2026-07-23T11:34:13-04:00	SIX_GATE_SOURCE
udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24	33	14	52	D03;D05;D06	udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24/AUDIT_REPORT.md	6c5a2d9d699f8e72927ab82fa22490ba64b67483c08581c6d38c8e44cb9216c9	aa654ce4eb696f5170a6b8366350071ff30134dd	2026-07-24T12:18:51-04:00	aa654ce4eb696f5170a6b8366350071ff30134dd	2026-07-24T12:18:51-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_finite_reciprocal_quotient_lift_audit_2026-07-27	30	5	6	D04;D05	udt_finite_reciprocal_quotient_lift_audit_2026-07-27/AUDIT_REPORT.md	9414214d032f9ab7f1a7e12096f4a1a6c0db91a021062288d4bc4a1829efdf59	10638c7371954b2883c325b430125f4f9b0d335c	2026-07-27T20:06:22-04:00	10638c7371954b2883c325b430125f4f9b0d335c	2026-07-27T20:06:22-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_foundational_semantic_regression_correction_2026-07-26	28	15	114	D03;D04;D06	udt_foundational_semantic_regression_correction_2026-07-26/AUDIT_REPORT.md	9edf86756c223384156d9fd0872f9c9030b05ceb5ea39ac6b22ef337dc2f68b4	31ef26ea1516ce78e4cbed346535a2d7da6251a8	2026-07-26T10:17:12-04:00	31ef26ea1516ce78e4cbed346535a2d7da6251a8	2026-07-26T10:17:12-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_founded_constraint_atlas_p03_2026-07-21	32	19	82	D03;D04;D05;D06	udt_founded_constraint_atlas_p03_2026-07-21/AUDIT_REPORT.md	be295b9a45c64900c0d35e3430524584078fa020982da2d0fc6ef644b5f714bf	c89708eec3e415e4f0a052d93c02ab4ad1088512	2026-07-21T11:03:12-04:00	c89708eec3e415e4f0a052d93c02ab4ad1088512	2026-07-21T11:03:12-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_founded_pair_first_jet_one_form_atlas_2026-07-26	39	15	30	D03;D05;D06	udt_founded_pair_first_jet_one_form_atlas_2026-07-26/AUDIT_REPORT.md	6c3462a1f469e01753f9fe8b456598182716527048816cbf875db0e6ce905c98	75b13ca7e7ea1be81dc4346d742322905fc123ce	2026-07-26T19:06:20-04:00	75b13ca7e7ea1be81dc4346d742322905fc123ce	2026-07-26T19:06:20-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_founded_pair_global_alignment_audit_2026-07-26	34	17	45	D03;D04;D05;D06	udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	bd3792bea6746c41a9edb7fd3d6ab8cb839c5cec69db4f15369a6c5c01fe4757	36acac6e954a3e368f997225bf9d80ad857f2889	2026-07-26T18:03:02-04:00	36acac6e954a3e368f997225bf9d80ad857f2889	2026-07-26T18:03:02-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_founded_phi_complete_coframe_extension_audit_2026-07-25	26	12	533	D03;D04;D06	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	3ff555b4a48a70067313afef0cf10eba2e17fd49	2026-07-25T21:36:15-04:00	3ff555b4a48a70067313afef0cf10eba2e17fd49	2026-07-25T21:36:15-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
udt_founding_observer_comparison_semantics_audit_2026-07-27	39	11	15	D04;D05;D06	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	e912c0992b3c1dfdc7fc522d1822ea759b6c2de1	2026-07-27T00:48:51-04:00	e912c0992b3c1dfdc7fc522d1822ea759b6c2de1	2026-07-27T00:48:51-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_founding_reciprocity_object_audit_2026-07-27	41	20	84	D04;D05;D06	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	3159287f02d1127721f6e0a08cbd72c5cb4a1bdc	2026-07-27T13:20:04-04:00	3159287f02d1127721f6e0a08cbd72c5cb4a1bdc	2026-07-27T13:20:04-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
udt_frame_bivector_equivariance_audit_2026-07-23	24	17	361	D03;D04;D05;D06	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	030812cf6903a41bac26005326e1104c5dfeb54c5995194de1474bb33b4afa28	029e9d134bec1e992849f3051fcfe249411784aa	2026-07-23T16:15:25-04:00	029e9d134bec1e992849f3051fcfe249411784aa	2026-07-23T16:15:25-04:00	SIX_GATE_SOURCE
udt_free_global_seal_transversality_audit_2026-07-21	30	6	11	D03;D04;D05;D06	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	6c7d08e797c99335c1506973cfc8a9acaad7fb17	2026-07-21T13:06:14-04:00	6c7d08e797c99335c1506973cfc8a9acaad7fb17	2026-07-21T13:06:14-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_full_equation_variation_p05_2026-07-21	34	5	10	D03;D04;D05;D06	udt_full_equation_variation_p05_2026-07-21/AUDIT_REPORT.md	fb963a93bd14dc1ff765be334c56574750d3c91b7f78d6996cf920bd57405615	dc2e99fbab14ee7a7b2c607685bc55dbac4324b6	2026-07-21T12:06:25-04:00	fad7fd602087f1e4e609ba15e502470995e9f4db	2026-07-21T12:11:35-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_full_local_jet_strata_p02_2026-07-27	48	18	43	D04;D05;D06	udt_full_local_jet_strata_p02_2026-07-27/AUDIT_REPORT.md	f0ae27e21b7492c09a6ae8e5124414345b172700cb47e07f866f11f48a7a91e3	49bbdbe018e6b62c83104c24dc81a83a8202212f	2026-07-27T22:44:06-04:00	49bbdbe018e6b62c83104c24dc81a83a8202212f	2026-07-27T22:44:06-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
udt_full_screen_hopf_toric_rederivation_2026-07-28	39	31	208	D03;D05;D06	udt_full_screen_hopf_toric_rederivation_2026-07-28/AUDIT_REPORT.md	3b88c51e602c05318da92fb7bce1e42f0f4844367cc00ea700d8ae76ca827837	f528d8b1e358a99f9b98de473957ec6b6cc4d25f	2026-07-28T12:10:14-04:00	f528d8b1e358a99f9b98de473957ec6b6cc4d25f	2026-07-28T12:10:14-04:00	SIX_GATE_SOURCE
udt_general_screen_complete_cell_atlas_2026-07-28	52	11	32	D03;D04;D05;D06	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	e5528bbba16a349739f7ff2d501271ba61e8f856	2026-07-28T09:55:26-04:00	e5528bbba16a349739f7ff2d501271ba61e8f856	2026-07-28T09:55:26-04:00	SIX_GATE_SOURCE
