unit_id	package	exploded_claim_count	clause_source_stamp_count	source_anchor_group_count	semantic_premise_profile_count	clause_source_stamps	shared_source_premise_ids	semantic_premise_ids	source_anchor_ranges	domain_and_premises	quantifier_guard	epistemic_labels	excluded_or_open_scope	primary_evidence	audit_result
P4-26	udt_p4_angular_stage_A1_2026-07-31	13	13	5	5	P4-26:metric_opening:377bbe718bc1|P4-26:metric_opening:377bbe718bc1|P4-26:metric_opening:377bbe718bc1|P4-26:metric_opening:377bbe718bc1|P4-26:residual_group:d06e23524fb5|P4-26:residual_group:d06e23524fb5|P4-26:residual_group:d06e23524fb5|P4-26:spatial_fork:b7c95b77b367|P4-26:spatial_fork:b7c95b77b367|P4-26:requirements:5ad2e874fb04|P4-26:controls_and_registry:61a1c4c29f6b|P4-26:controls_and_registry:61a1c4c29f6b|P4-26:controls_and_registry:61a1c4c29f6b	P4-26:controls_and_registry|P4-26:metric_opening|P4-26:requirements|P4-26:residual_group|P4-26:spatial_fork	SEM:70942262bd6d7e4b|SEM:86c4710b84e0e084|SEM:893250f70c09570f|SEM:9223fb604d2a977b|SEM:d262f9ef03c3f51b	udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md:158-170|udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md:173-230|udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md:20-60|udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md:286-313|udt_p4_angular_stage_A1_2026-07-31/EXACT_DERIVATION.md:82-140	angular-live posing on covariant metric rows, registered chart, both spatial readings	POSED_DOMAIN; RESIDUAL_GROUP_WITH_AMENDMENTS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	a selected reading, KK ansatz, response law, or on-shell solution	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-27	udt_p4_angular_stage_A2_2026-07-31	10	10	6	3	P4-27:pointwise_scope:e0c4e4d1f611|P4-27:forcing_and_rm:97dacb4826f9|P4-27:forcing_and_rm:97dacb4826f9|P4-27:mode_uniform_module:fa67705d53d6|P4-27:mode_zero_embedding:fefc9d511fde|P4-27:angular_identity:5b238550d41c|P4-27:angular_identity:5b238550d41c|P4-27:mode_uniform_module:fa67705d53d6|P4-27:forcing_and_rm:97dacb4826f9|P4-27:controls:d6cf87b501a5	P4-27:angular_identity|P4-27:controls|P4-27:forcing_and_rm|P4-27:mode_uniform_module|P4-27:mode_zero_embedding|P4-27:pointwise_scope	SEM:4c1a148313fa65ed|SEM:b3bbc4b94973eace|SEM:cc2fdba07e2e7591	udt_p4_angular_stage_A2_2026-07-31/AUDIT_REPORT.md:158-178|udt_p4_angular_stage_A2_2026-07-31/AUDIT_REPORT.md:64-81|udt_p4_angular_stage_A2_2026-07-31/AUDIT_REPORT.md:90-93|udt_p4_angular_stage_A2_2026-07-31/EXACT_DERIVATION.md:179-197|udt_p4_angular_stage_A2_2026-07-31/EXACT_DERIVATION.md:201-212|udt_p4_angular_stage_A2_2026-07-31/EXACT_DERIVATION.md:240-252	pointwise tri-graded jet<=2 module, unconditional layers plus named conditional character strata	MODE_UNIFORM_FORMAL_MODULE; NOT_EACH_MODE_ON_SHELL	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	mode selection, integration-layer closure, or realized angular-live solution	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
P4-28	udt_p4_angular_stage_A3_2026-07-31	10	10	4	6	P4-28:mixed_verdict:864339a4ea87|P4-28:verified_status:ea7bc6273e19|P4-28:verified_status:ea7bc6273e19|P4-28:smooth_scope:4d76aa9542b2|P4-28:mixed_verdict:864339a4ea87|P4-28:mixed_verdict:864339a4ea87|P4-28:mixed_verdict:864339a4ea87|P4-28:massive_carriers:56fd96ad7e48|P4-28:massive_carriers:56fd96ad7e48|P4-28:massive_carriers:56fd96ad7e48	P4-28:massive_carriers|P4-28:mixed_verdict|P4-28:smooth_scope|P4-28:verified_status	SEM:0b42454b564ecb64|SEM:3155a3bf0813a5f0|SEM:47e3369ad91ccab3|SEM:6139a1da7562f089|SEM:e6be32e7da8d9bca|SEM:e8b075ecfe61e27c	udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md:15-27|udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md:154-166|udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md:29-34|udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md:3-13	frozen smooth-regular positive-metric target census across registered completion rows, linear time and theta absent	CENSUS_COMPLETENESS_NOT_SOLUTION_SPACE_COMPLETENESS	DERIVED/CHOSE/OPEN/CONDITIONAL carried from package; no label promoted	singular/distributional fields, exotic completions, completion joins, or angular-live on-shell coexistence	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q1	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q1:governing_anchor:db52c17f6383	Q1:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:31-32	all frozen packages	EXISTENTIAL_DOMAIN_POSING_NOT_UNIQUE_METRIC_DERIVATION	cross-cutting regrade only	Only the reciprocal anchor, chart constraints, and some transformation laws are derived; the 16-object domain explicitly carries CHOSE/OPEN alphabet, pairing, posture, census, completion, and variation forks.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q2	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q2:governing_anchor:1c0d2273b74c	Q2:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:33-34	all frozen packages	FORMAL_MODULE_FOR_ALL_MEMBERS; BANK_CONTROL_PLUS_COLD_PARSER_REGRESSION; FIXED_REALIZED_SOLUTION_OPEN	cross-cutting regrade only	The banked package controls and this cold parser regression recover the formal pointwise module pullbacks exactly; this is not a cold different-method proof, and no fixed realized time/angular-live on-shell metric family was constructed, so solution-level embedding remains open.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q3	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q3:governing_anchor:7ac78b4be144	Q3:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:35-36	all frozen packages	CONDITIONAL_DEFINITIONS_AND_SECTOR_STABILITY_ONLY	cross-cutting regrade only	The algebra survives only as conditional mass definitions and reduced-sector Hessian results; full dynamical stability, unpinned wall-germ curvature, lambda-Schur closure, and physical mass ownership remain open.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q4	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q4:governing_anchor:bbb7c11f04f3	Q4:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:37-38	all frozen packages	TARGET_KERNEL_THEOREM; TARGET_OWNERSHIP_OPEN	cross-cutting regrade only	Yes for the explicitly admitted targets: real additive kernels give no lattice and an S1 target gives 2pi Z; which compact transition/field targets belong to the physical domain remains a topology/ownership choice.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q5	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q5:governing_anchor:20695e24586f	Q5:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:39-40	all frozen packages	FROZEN_SMOOTH_CENSUS_ONLY	cross-cutting regrade only	A3 exhausts its 126-row smooth-regular registered census and its target-contraction argument is all-mode/all-finite-jet; singular fields, exotic completions, transitive dependency freeze, completion joins, and on-shell solution space are not exhausted.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q6	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q6:governing_anchor:d7ddab04805d	Q6:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:41-42	all frozen packages	UNCONDITIONAL_POINTWISE_MODULE; CONDITIONAL_STRATA_STAMPED	cross-cutting regrade only	Fresh Schur-complement algebra confirms identical unconditional pointwise module coordinates; they differ already in interpretation of N and m as physical content versus chart-slack, and can become equation-distinguishable only at integration/on-shell layers.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q7	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q7:governing_anchor:1d1ced776f72	Q7:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:43-44	all frozen packages	METHOD_BY_METHOD_INDEPENDENCE_NOT_PACKAGE_LABEL	cross-cutting regrade only	Package verifiers usually use separate scripts but share the same frozen definitions, symbolic conventions, generated ledgers, and same-session context; cold checks independently confirm selected algebra, while many completeness/embedding checks remain parser or replay evidence.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
Q8	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md	1	1	1	1	Q8:governing_anchor:b264082c49e7	Q8:governing_anchor	SEM:724307cf12513cdd	P4_COLD_ADVERSARIAL_REVIEW_SUGGESTION_2026-08-01.md:45-46	all frozen packages	CORRECTION_LAYER_PRECEDENCE; NO_NUCLEAR_PROMOTION	cross-cutting regrade only	The governing correction separates banked structural theorems, textbook/SEMF reimplementation, and conditional identifications; the ladder is CONSISTENCY-DEMO and the a_F-lambda test remains unresolved, not a prediction.	machine-local ranges in source_anchor_ranges	PASS_SOURCE_LOCAL_ANCHORED_WITH_LEGITIMATE_SHARED_GROUPS
