attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_dimensionless_action_reference_branch_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_global_scale_selection.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_global_scale_selection_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_one_mass_global_calibration.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_csn_one_mass_global_calibration_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_deep_positional_relativity.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_deep_positional_relativity_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_dilation_substrate_action.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_dilation_substrate_action_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_electron_calibration_bridge.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_electron_calibration_bridge_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_finite_cell_boundary.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_finite_cell_boundary_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_founding_to_dynamics.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_founding_to_dynamics_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_global_bootstrap.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_global_bootstrap_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_macro_micro_matching_closure.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_macro_micro_matching_closure_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_mutual_dilation_resistance.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_mutual_dilation_resistance_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_native_action_noncold.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_native_action_noncold_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_quadratic_dilation_cost.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_quadratic_dilation_cost_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_functional_structure.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_functional_structure_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_metric_curvature.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_axis_metric_curvature_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_c_conformal_action.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_c_conformal_action_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_loop_closure_matter.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_reciprocal_loop_closure_matter_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_smooth_bootstrap_substrate_closure.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_smooth_bootstrap_substrate_closure_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_conformal_carrier_scale_closure.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_conformal_carrier_scale_closure_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_offshell_provenance.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_offshell_provenance_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_scaffold_separation.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_scaffold_separation_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_solution_space_closure.py	README rule: verifies only encoded algebra/consistency assertions	historical verifier script	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	Passing the script does not certify premise completeness, uniqueness, boundary legality, carrier emergence, or canon status.
A6	archive/native_action_chat_2026-07-14_15/verify_udt_wrl_solution_space_closure_out.txt	README rule: captured pass log for encoded checks only	historical verifier stdout evidence	mechanical check only; cannot upgrade premises or conclusions	ALGEBRA-ONLY	A pass log certifies only the script's encoded checks and inherits the same certification limit.
