path	root_requirement	reason	release_gate	source_basis
simple_metric_hard_explore_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_hyperbolic_J1.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
simple_metric_hyperbolic_derive.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_hyperbolic_refine_AGENDA.md	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
simple_metric_kaleidoscope_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_kaleidoscope_MINE_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_kinetic_ledger.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_local_cavity_HG_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_lowz_linear_native_derive.md	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
simple_metric_macro_elegance_ZOOM.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_mass_xmax_cascade.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_mine_junction_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_near_miss_explore_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_operator_inspiration_SEARCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_operator_inventory.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_pantheon_xmax_fit_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_path_areal_split_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_promising_candidates_ZOOM.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_relational_rooms_continue_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_rooms_filled_local_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_root_upstream_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_session_self_audit_2026-07-09.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_skeleton_reach_closure_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_sne_validator_reconstruct_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_solution_space_ZOOM.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_sourced_profile_observe_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_sphere_ceiling.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
simple_metric_third_path_derive.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_timelive_AP_exact_derive_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_timelive_AP_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_timelive_residual_appearance_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
simple_metric_xmax_POSTULATE.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT
solver_action.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
solver_pack.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
spectral_cheb.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
spectral_radial_soliton.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
spectral_sph.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
spectral_sph_exact.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
stability_branch_follow_256_DECISION.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
sweep_E2b_A1Z1.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
sweep_E2b_A1Z8.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
sweep_E2b_A3Z1.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
sweep_E2b_A3Z8.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
threadB_WORKSTATION_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_WORKSTATION_DISPATCH_mirror_vs_wall.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_coupled_cell_flatness_Lselector_CHARTER.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_coupled_cell_flatness_Lselector_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_f2d_drain_solver_first_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_f2d_mirror_vs_wall_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_f2d_nonround_topological_audit_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
threadB_timelive_linear_nogo_and_finite_amp_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
udt_canonical_geometry.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_alpha_coeff_ANCHORED.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_lorentz_light_clue.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_noNull_behavioral_F.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_noNull_boundary_virial.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_noNull_phaseG_mass.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
verify_virial_identity_cas.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
whole_metric_3d_core.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
whole_metric_3d_matter.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
